date,전산회계1급
2020-03-20,4.40248
2020-03-21,2.72455
2020-03-22,2.86299
2020-03-23,4.60183
2020-03-24,4.63506
2020-03-25,4.33049
2020-03-26,4.35264
2020-03-27,4.0093
2020-03-28,2.4975
2020-03-29,2.7467
2020-03-30,4.62952
2020-03-31,4.83996
2020-04-01,5.0227
2020-04-02,4.24742
2020-04-03,3.81548
2020-04-04,2.72455
2020-04-05,2.99036
2020-04-06,5.19991
2020-04-07,5.14453
2020-04-08,4.87318
2020-04-09,5.01162
2020-04-10,4.08683
2020-04-11,2.85745
2020-04-12,3.48875
2020-04-13,5.49894
2020-04-14,5.19437
2020-04-15,3.47768
2020-04-16,5.33835
2020-04-17,5.18329
2020-04-18,3.38907
2020-04-19,4.01484
2020-04-20,6.98859
2020-04-21,5.80905
2020-04-22,6.07486
2020-04-23,5.6983
2020-04-24,5.38265
2020-04-25,3.378
2020-04-26,3.79887
2020-04-27,6.40159
2020-04-28,5.77029
2020-04-29,5.53771
2020-04-30,3.44445
2020-05-01,4.05914
2020-05-02,3.66596
2020-05-03,4.52984
2020-05-04,5.79244
2020-05-05,5.07254
2020-05-06,9.25905
2020-05-07,6.94982
2020-05-08,5.34389
2020-05-09,3.85978
2020-05-10,4.26403
2020-05-11,7.23225
2020-05-12,6.54003
2020-05-13,5.75922
2020-05-14,5.73706
2020-05-15,5.51002
2020-05-16,3.51644
2020-05-17,3.92069
2020-05-18,7.57558
2020-05-19,12.95824
2020-05-20,27.83807
2020-05-21,11.25816
2020-05-22,7.35408
2020-05-23,4.87872
2020-05-24,5.03931
2020-05-25,10.206
2020-05-26,8.70528
2020-05-27,6.05825
2020-05-28,5.45464
2020-05-29,4.88979
2020-05-30,3.62166
2020-05-31,3.99822
2020-06-01,6.40713
2020-06-02,6.26868
2020-06-03,5.97519
2020-06-04,5.59862
2020-06-05,4.91195
2020-06-06,3.64381
2020-06-07,4.45232
2020-06-08,7.10488
2020-06-09,6.85014
2020-06-10,6.63971
2020-06-11,6.30191
2020-06-12,6.66186
2020-06-13,4.89533
2020-06-14,5.57647
2020-06-15,10.42197
2020-06-16,8.61667
2020-06-17,8.47823
2020-06-18,10.2503
2020-06-19,10.72654
2020-06-20,10.44412
2020-06-21,32.06335
2020-06-22,14.53095
2020-06-23,9.40303
2020-06-24,8.58899
2020-06-25,8.04629
2020-06-26,7.16026
2020-06-27,5.9475
2020-06-28,6.11363
2020-06-29,11.18064
2020-06-30,10.61579
2020-07-01,9.69099
2020-07-02,9.40857
2020-07-03,8.02968
2020-07-04,5.85889
2020-07-05,6.88891
2020-07-06,12.46538
2020-07-07,12.00022
2020-07-08,13.70029
2020-07-09,27.33414
2020-07-10,10.38874
2020-07-11,6.83353
2020-07-12,7.4316
2020-07-13,15.23978
2020-07-14,30.00332
2020-07-15,100.0
2020-07-16,13.70029
2020-07-17,9.96234
2020-07-18,6.38498
2020-07-19,7.32085
2020-07-20,11.62919
2020-07-21,12.33248
2020-07-22,8.19581
2020-07-23,6.68955
2020-07-24,6.15239
2020-07-25,4.08683
2020-07-26,4.49662
2020-07-27,8.2678
2020-07-28,7.80817
2020-07-29,6.89998
2020-07-30,6.40159
2020-07-31,5.74814
2020-08-01,3.86532
2020-08-02,4.61291
2020-08-03,7.73618
2020-08-04,7.30977
2020-08-05,7.34854
2020-08-06,6.96644
2020-08-07,6.39605
2020-08-08,5.5654
2020-08-09,6.67848
2020-08-10,12.89179
2020-08-11,11.05881
2020-08-12,9.96234
2020-08-13,9.53593
2020-08-14,10.57149
2020-08-15,12.11097
2020-08-16,82.31808
2020-08-17,13.17975
2020-08-18,11.02004
2020-08-19,8.19027
2020-08-20,7.4316
2020-08-21,6.30191
2020-08-22,4.16435
2020-08-23,5.29405
2020-08-24,7.96322
2020-08-25,7.6808
2020-08-26,7.01074
2020-08-27,7.12149
2020-08-28,6.73385
2020-08-29,4.60737
2020-08-30,5.05593
2020-08-31,13.2905
2020-09-01,33.03798
2020-09-02,16.18673
2020-09-03,9.30335
2020-09-04,7.28209
2020-09-05,4.66829
2020-09-06,5.98072
2020-09-07,11.49075
2020-09-08,22.80983
2020-09-09,50.45409
2020-09-10,10.62133
2020-09-11,7.61989
2020-09-12,4.2585
2020-09-13,5.16668
2020-09-14,10.9259
2020-09-15,7.18241
2020-09-16,6.78369
2020-09-17,5.54324
2020-09-18,5.26636
2020-09-19,3.26171
2020-09-20,4.15328
2020-09-21,6.45697
2020-09-22,5.7426
2020-09-23,5.73706
2020-09-24,5.41034
2020-09-25,5.13345
2020-09-26,3.32816
2020-09-27,3.91516
2020-09-28,6.36836
2020-09-29,4.63506
2020-09-30,2.89622
2020-10-01,2.71347
2020-10-02,3.03466
2020-10-03,4.09236
2020-10-04,5.47125
2020-10-05,10.77638
2020-10-06,9.96788
2020-10-07,9.13168
2020-10-08,8.72743
2020-10-09,6.66186
2020-10-10,10.28906
2020-10-11,54.28065
2020-10-12,14.23745
2020-10-13,8.66098
2020-10-14,7.4316
2020-10-15,7.01628
2020-10-16,5.57647
2020-10-17,4.50215
2020-10-18,5.28297
2020-10-19,8.44501
2020-10-20,7.81924
2020-10-21,7.36515
2020-10-22,7.47591
2020-10-23,5.60416
2020-10-24,4.81227
2020-10-25,4.88426
2020-10-26,10.48842
2020-10-27,12.88071
2020-10-28,35.76808
2020-10-29,45.23203
2020-10-30,11.90054
2020-10-31,6.37944
2020-11-01,6.99413
2020-11-02,12.22726
2020-11-03,10.66009
2020-11-04,10.26691
2020-11-05,6.36283
2020-11-06,5.12238
2020-11-07,3.50537
2020-11-08,3.93731
2020-11-09,6.52896
2020-11-10,6.34621
2020-11-11,5.57093
2020-11-12,5.59308
2020-11-13,4.57968
2020-11-14,3.4666
2020-11-15,3.76564
2020-11-16,7.13811
2020-11-17,6.54557
2020-11-18,6.30745
2020-11-19,6.50127
2020-11-20,5.49341
2020-11-21,4.1422
2020-11-22,6.04164
2020-11-23,10.49396
2020-11-24,8.73297
2020-11-25,9.13722
2020-11-26,10.51057
2020-11-27,14.19315
2020-11-28,70.57259
2020-11-29,8.45054
2020-11-30,8.83818
2020-12-01,5.95304
2020-12-02,6.21331
2020-12-03,5.32727
2020-12-04,5.28851
2020-12-05,4.26403
2020-12-06,4.28618
2020-12-07,7.27101
2020-12-08,6.06379
2020-12-09,6.20777
2020-12-10,5.83674
2020-12-11,4.75135
2020-12-12,3.77671
2020-12-13,4.31941
2020-12-14,6.72278
2020-12-15,7.23225
2020-12-16,8.23457
2020-12-17,19.27677
2020-12-18,7.52021
2020-12-19,4.73474
2020-12-20,5.29959
2020-12-21,8.12936
2020-12-22,7.94107
2020-12-23,8.53361
2020-12-24,4.7735
2020-12-25,3.46106
2020-12-26,4.49108
2020-12-27,6.32406
2020-12-28,9.09292
2020-12-29,9.71868
2020-12-30,7.7694
2020-12-31,6.97751
2021-01-01,7.35961
2021-01-02,8.37302
2021-01-03,9.7076
2021-01-04,14.96843
2021-01-05,13.66153
2021-01-06,19.33215
2021-01-07,14.74138
2021-01-08,8.58899
2021-01-09,6.04718
2021-01-10,6.82246
2021-01-11,12.0999
2021-01-12,9.61346
2021-01-13,9.17045
2021-01-14,9.08738
2021-01-15,7.2987
2021-01-16,5.06146
2021-01-17,6.01949
2021-01-18,11.03112
2021-01-19,25.62299
2021-01-20,74.54313
2021-01-21,13.01362
2021-01-22,9.59131
2021-01-23,6.50681
2021-01-24,6.82799
2021-01-25,11.5129
2021-01-26,11.22494
2021-01-27,7.04396
2021-01-28,6.89998
2021-01-29,6.05825
2021-01-30,4.07021
2021-01-31,5.13345
2021-02-01,7.33193
2021-02-02,7.63096
2021-02-03,6.89445
2021-02-04,6.17454
2021-02-05,5.73706
2021-02-06,5.19437
2021-02-07,5.39373
2021-02-08,8.82711
2021-02-09,7.48698
2021-02-10,6.11917
2021-02-11,3.64935
2021-02-12,4.28065
2021-02-13,5.21652
2021-02-14,6.23546
2021-02-15,10.86499
2021-02-16,10.31121
2021-02-17,10.75977
2021-02-18,10.55487
2021-02-19,10.02879
2021-02-20,13.06346
2021-02-21,73.88968
2021-02-22,14.19315
2021-02-23,9.16491
2021-02-24,8.24011
2021-02-25,7.40392
2021-02-26,6.26315
2021-02-27,4.61845
2021-02-28,5.24421
