date,의정부롯데캐슬
2020-03-20,30.0268
2020-03-21,31.30026
2020-03-22,24.59785
2020-03-23,35.8579
2020-03-24,28.95442
2020-03-25,30.16085
2020-03-26,33.78016
2020-03-27,31.03217
2020-03-28,26.94369
2020-03-29,28.21715
2020-03-30,34.04825
2020-03-31,27.68096
2020-04-01,30.22788
2020-04-02,29.75871
2020-04-03,26.74262
2020-04-04,25.0
2020-04-05,24.66487
2020-04-06,30.16085
2020-04-07,30.69705
2020-04-08,34.31635
2020-04-09,36.72922
2020-04-10,33.24396
2020-04-11,30.83109
2020-04-12,27.01072
2020-04-13,34.58445
2020-04-14,31.90348
2020-04-15,30.563
2020-04-16,34.58445
2020-04-17,35.05361
2020-04-18,33.37801
2020-04-19,38.20375
2020-04-20,38.94101
2020-04-21,42.96246
2020-04-22,38.3378
2020-04-23,37.66756
2020-04-24,63.60589
2020-04-25,51.20643
2020-04-26,43.43163
2020-04-27,49.66487
2020-04-28,51.54155
2020-04-29,51.54155
2020-04-30,39.34316
2020-05-01,38.13672
2020-05-02,37.53351
2020-05-03,42.56032
2020-05-04,73.72654
2020-05-05,41.55495
2020-05-06,52.41286
2020-05-07,56.70241
2020-05-08,42.29222
2020-05-09,27.61394
2020-05-10,21.71581
2020-05-11,31.09919
2020-05-12,26.4075
2020-05-13,24.26273
2020-05-14,45.91152
2020-05-15,27.27882
2020-05-16,24.4638
2020-05-17,27.41286
2020-05-18,27.41286
2020-05-19,27.47989
2020-05-20,27.94906
2020-05-21,24.32975
2020-05-22,25.46916
2020-05-23,24.66487
2020-05-24,25.60321
2020-05-25,29.89276
2020-05-26,27.07774
2020-05-27,24.19571
2020-05-28,26.4075
2020-05-29,24.19571
2020-05-30,21.84986
2020-05-31,21.17962
2020-06-01,23.72654
2020-06-02,26.13941
2020-06-03,23.32439
2020-06-04,22.65415
2020-06-05,21.24664
2020-06-06,20.8445
2020-06-07,23.92761
2020-06-08,32.90884
2020-06-09,28.75335
2020-06-10,23.59249
2020-06-11,26.4075
2020-06-12,25.0
2020-06-13,27.68096
2020-06-14,22.7882
2020-06-15,28.15013
2020-06-16,31.03217
2020-06-17,27.81501
2020-06-18,36.126
2020-06-19,31.56836
2020-06-20,27.81501
2020-06-21,24.4638
2020-06-22,32.70777
2020-06-23,29.95978
2020-06-24,27.07774
2020-06-25,34.1823
2020-06-26,34.24932
2020-06-27,29.62466
2020-06-28,33.04289
2020-06-29,35.12064
2020-06-30,29.35656
2020-07-01,29.55764
2020-07-02,30.76407
2020-07-03,31.50134
2020-07-04,36.3941
2020-07-05,35.18766
2020-07-06,63.20375
2020-07-07,48.39142
2020-07-08,47.5201
