date,시간외단일가
2020-03-20,7.5691
2020-03-21,1.1713
2020-03-22,0.9539
2020-03-23,8.5718
2020-03-24,7.32064
2020-03-25,13.05293
2020-03-26,12.40516
2020-03-27,9.82297
2020-03-28,1.31327
2020-03-29,1.57061
2020-03-30,11.5888
2020-03-31,11.40245
2020-04-01,9.42366
2020-04-02,8.36328
2020-04-03,6.69062
2020-04-04,0.93615
2020-04-05,0.75868
2020-04-06,9.02879
2020-04-07,9.00661
2020-04-08,7.85305
2020-04-09,6.91246
2020-04-10,5.33297
2020-04-11,0.63001
2020-04-12,0.83854
2020-04-13,7.46705
2020-04-14,5.27973
2020-04-15,0.93171
2020-04-16,4.21047
2020-04-17,4.03744
2020-04-18,0.57677
2020-04-19,0.91397
2020-04-20,7.67114
2020-04-21,6.0961
2020-04-22,7.10324
2020-04-23,9.19295
2020-04-24,5.05789
2020-04-25,0.57234
2020-04-26,0.57677
2020-04-27,5.47939
2020-04-28,5.12001
2020-04-29,3.9354
2020-04-30,0.69213
2020-05-01,0.39043
2020-05-02,0.32388
2020-05-03,0.39043
2020-05-04,4.63197
2020-05-05,0.67438
2020-05-06,4.87599
2020-05-07,5.61693
2020-05-08,4.80944
2020-05-09,0.6167
2020-05-10,0.69213
2020-05-11,6.14046
2020-05-12,6.62851
2020-05-13,6.33568
2020-05-14,6.76604
2020-05-15,6.54421
2020-05-16,0.90066
2020-05-17,1.02489
2020-05-18,6.70393
2020-05-19,7.73326
2020-05-20,6.26025
2020-05-21,8.27454
2020-05-22,6.33568
2020-05-23,0.78974
2020-05-24,0.72319
2020-05-25,6.77048
2020-05-26,7.11655
2020-05-27,7.11211
2020-05-28,6.98345
2020-05-29,6.10497
2020-05-30,0.82967
2020-05-31,0.67882
2020-06-01,6.17152
2020-06-02,8.08376
2020-06-03,7.82643
2020-06-04,6.81041
2020-06-05,5.39509
2020-06-06,0.71875
2020-06-07,0.67882
2020-06-08,7.22303
2020-06-09,7.58684
2020-06-10,7.03669
2020-06-11,7.08993
2020-06-12,6.0606
2020-06-13,0.57677
2020-06-14,0.4836
2020-06-15,7.15648
2020-06-16,100.0
