date,미니나스닥
2020-03-20,8.73287
2020-03-21,3.42465
2020-03-22,1.71232
2020-03-23,9.9315
2020-03-24,9.24657
2020-03-25,10.10273
2020-03-26,7.61986
2020-03-27,4.88013
2020-03-28,3.1678
2020-03-29,1.62671
2020-03-30,5.56506
2020-03-31,3.76712
2020-04-01,4.53767
2020-04-02,5.65068
2020-04-03,3.59589
2020-04-04,1.71232
2020-04-05,1.11301
2020-04-06,4.79452
2020-04-07,5.13698
2020-04-08,4.7089
2020-04-09,4.02397
2020-04-10,2.99657
2020-04-12,0.59931
2020-04-13,4.10958
2020-04-14,3.76712
2020-04-15,2.99657
2020-04-16,2.73972
2020-04-17,4.53767
2020-04-18,1.62671
2020-04-19,0.77054
2020-04-20,2.82534
2020-04-21,4.1952
2020-04-22,4.7089
2020-04-23,2.6541
2020-04-24,3.1678
2020-04-25,1.02739
2020-04-26,0.68493
2020-04-27,2.99657
2020-04-28,2.91095
2020-04-29,2.6541
2020-04-30,2.6541
2020-05-01,2.56849
2020-05-02,1.19863
2020-05-03,0.51369
2020-05-04,1.88356
2020-05-05,3.42465
2020-05-06,2.05479
2020-05-07,2.82534
2020-05-08,1.54109
2020-05-09,1.11301
2020-05-10,0.42808
2020-05-11,1.96917
2020-05-12,1.36986
2020-05-13,1.88356
2020-05-14,3.51027
2020-05-15,2.05479
2020-05-16,1.28424
2020-05-17,0.51369
2020-05-18,1.19863
2020-05-19,1.11301
2020-05-20,0.59931
2020-05-21,3.51027
2020-05-22,1.45547
2020-05-23,0.59931
2020-05-24,0.51369
2020-05-25,0.77054
2020-05-26,0.94178
2020-05-27,0.42808
2020-05-28,1.88356
2020-05-29,0.59931
2020-05-30,0.59931
2020-06-01,1.71232
2020-06-02,2.31164
2020-06-03,1.19863
2020-06-04,0.94178
2020-06-05,1.36986
2020-06-06,0.59931
2020-06-08,0.59931
2020-06-09,1.96917
2020-06-10,1.88356
2020-06-11,2.14041
2020-06-12,3.76712
2020-06-13,0.68493
2020-06-14,0.51369
2020-06-15,4.62328
2020-06-16,3.08219
2020-06-17,2.56849
2020-06-18,1.96917
2020-06-19,1.88356
2020-06-20,0.42808
2020-06-22,2.22602
2020-06-23,3.42465
2020-06-24,1.88356
2020-06-25,2.91095
2020-06-26,2.39726
2020-06-27,1.28424
2020-06-28,0.51369
2020-06-29,2.22602
2020-06-30,2.56849
2020-07-01,2.82534
2020-07-02,3.6815
2020-07-03,2.05479
2020-07-04,0.94178
2020-07-06,2.05479
2020-07-07,2.6541
2020-07-08,2.31164
2020-07-09,2.56849
2020-07-10,1.71232
2020-07-11,1.11301
2020-07-12,0.59931
2020-07-13,1.54109
2020-07-14,4.62328
2020-07-15,2.56849
2020-07-16,3.59589
2020-07-17,2.22602
2020-07-18,0.59931
2020-07-19,0.68493
2020-07-20,2.14041
2020-07-21,2.6541
2020-07-22,2.48287
2020-07-23,2.05479
2020-07-24,2.91095
2020-07-25,0.94178
2020-07-26,0.42808
2020-07-27,1.11301
2020-07-28,2.31164
2020-07-29,1.45547
2020-07-30,2.82534
2020-07-31,1.45547
2020-08-01,0.85616
2020-08-02,0.42808
2020-08-03,1.62671
2020-08-04,1.96917
2020-08-05,1.54109
2020-08-06,1.45547
2020-08-07,2.82534
2020-08-08,2.22602
2020-08-09,0.59931
2020-08-10,0.94178
2020-08-11,1.71232
2020-08-12,2.39726
2020-08-13,2.31164
2020-08-14,0.85616
2020-08-15,0.51369
2020-08-17,1.88356
2020-08-18,1.28424
2020-08-19,2.14041
2020-08-20,3.1678
2020-08-21,3.33904
2020-08-22,1.28424
2020-08-23,0.59931
2020-08-24,4.88013
2020-08-25,2.91095
2020-08-26,4.7089
2020-08-27,7.10616
2020-08-28,2.91095
2020-08-29,2.22602
2020-08-31,2.48287
2020-09-01,3.33904
2020-09-02,4.28082
2020-09-03,6.42123
2020-09-04,11.55821
2020-09-05,4.28082
2020-09-06,1.96917
2020-09-07,4.62328
2020-09-08,16.60958
2020-09-09,19.52054
2020-09-10,16.09589
2020-09-11,9.33219
2020-09-12,4.36643
2020-09-13,2.31164
2020-09-14,14.12671
2020-09-15,11.64383
2020-09-16,13.27054
2020-09-17,17.7226
2020-09-18,13.01369
2020-09-19,7.70547
2020-09-20,1.96917
2020-09-21,21.4041
2020-09-22,30.7363
2020-09-23,23.28767
2020-09-24,26.36986
2020-09-25,17.63698
2020-09-26,5.82191
2020-09-27,1.54109
2020-09-28,14.29794
2020-09-29,15.49657
2020-09-30,13.09931
2020-10-01,12.24315
2020-10-02,36.13013
2020-10-03,9.50342
2020-10-04,2.82534
2020-10-05,11.90068
2020-10-06,12.32876
2020-10-07,9.24657
2020-10-08,7.96232
2020-10-09,5.13698
2020-10-10,2.82534
2020-10-11,1.71232
2020-10-12,12.24315
2020-10-13,13.18493
2020-10-14,12.5
2020-10-15,22.26027
2020-10-16,15.1541
2020-10-17,3.51027
2020-10-18,2.05479
2020-10-19,15.23972
2020-10-20,18.15068
2020-10-21,17.63698
2020-10-22,20.03424
2020-10-23,9.67465
2020-10-24,3.08219
2020-10-25,0.51369
2020-10-26,12.32876
