date,채권압류및추심명령
2020-03-20,63.15789
2020-03-21,18.55955
2020-03-22,10.80332
2020-03-23,70.0831
2020-03-24,78.39335
2020-03-25,85.31855
2020-03-26,70.36011
2020-03-27,59.55678
2020-03-28,19.11357
2020-03-29,16.8975
2020-03-30,64.54293
2020-03-31,76.7313
2020-04-01,66.20498
2020-04-02,84.21052
2020-04-03,65.09695
2020-04-04,27.42382
2020-04-05,23.26869
2020-04-06,74.23822
2020-04-07,81.16343
2020-04-08,78.67036
2020-04-09,78.39335
2020-04-10,58.44875
2020-04-11,18.83656
2020-04-12,22.43767
2020-04-13,74.51523
2020-04-14,72.29916
2020-04-15,27.70083
2020-04-16,73.68421
2020-04-17,78.67036
2020-04-18,27.70083
2020-04-19,17.72853
2020-04-20,85.87257
2020-04-21,85.04155
2020-04-22,76.17728
2020-04-23,69.52908
2020-04-24,77.83933
2020-04-25,23.82271
2020-04-26,17.45152
2020-04-27,80.0554
2020-04-28,85.87257
2020-04-29,81.44044
2020-04-30,31.57894
2020-05-01,29.08587
2020-05-02,16.8975
2020-05-03,12.74238
2020-05-04,73.96121
2020-05-05,35.45706
2020-05-06,84.21052
2020-05-07,100.0
2020-05-08,63.71191
2020-05-09,20.2216
2020-05-10,22.99168
2020-05-11,71.19113
2020-05-12,63.98891
2020-05-13,74.23822
2020-05-14,75.90027
2020-05-15,55.95567
2020-05-16,23.26869
2020-05-17,20.49861
2020-05-18,72.85318
2020-05-19,70.0831
2020-05-20,76.7313
2020-05-21,69.25207
2020-05-22,70.36011
2020-05-23,30.1939
2020-05-24,14.12742
2020-05-25,77.28531
2020-05-26,72.02216
2020-05-27,82.54847
2020-05-28,70.63711
2020-05-29,68.14404
2020-05-30,22.99168
2020-05-31,24.37673
2020-06-01,72.57617
2020-06-02,69.52908
2020-06-03,71.46814
2020-06-04,72.02216
2020-06-05,62.04986
2020-06-06,21.32963
2020-06-07,23.82271
2020-06-08,73.96121
2020-06-09,78.39335
2020-06-10,72.57617
2020-06-11,80.88642
2020-06-12,73.96121
2020-06-13,26.31578
2020-06-14,14.40443
2020-06-15,73.96121
2020-06-16,79.77839
