date,전고체관련주
2020-03-20,0.65934
2020-03-27,0.65934
2020-03-28,0.98901
2020-03-29,0.54945
2020-03-31,0.54945
2020-04-02,2.1978
2020-04-03,1.53846
2020-04-05,0.65934
2020-04-07,0.87912
2020-04-08,0.54945
2020-04-09,0.54945
2020-04-10,0.76923
2020-04-12,0.54945
2020-04-16,0.54945
2020-04-18,0.98901
2020-04-19,0.65934
2020-04-22,0.87912
2020-05-13,10.10989
2020-05-14,7.14285
2020-05-15,6.04395
2020-05-16,4.94505
2020-05-17,1.97802
2020-05-18,2.41758
2020-05-19,3.73626
2020-05-20,2.52747
2020-05-21,0.76923
2020-05-22,1.31868
2020-05-23,1.42857
2020-05-24,5.82417
2020-05-25,8.68131
2020-05-26,9.12087
2020-05-27,5.38461
2020-05-28,3.40659
2020-05-29,2.63736
2020-05-30,1.97802
2020-05-31,1.53846
2020-06-01,1.53846
2020-06-02,1.64835
2020-06-03,1.75824
2020-06-04,2.08791
2020-06-05,2.41758
2020-06-06,1.75824
2020-06-07,0.87912
2020-06-08,2.30769
2020-06-09,3.95604
2020-06-10,2.52747
2020-06-11,9.56043
2020-06-12,7.80219
2020-06-13,29.01098
2020-06-14,26.92307
2020-06-15,11.0989
2020-06-16,8.02197
2020-06-17,13.84615
2020-06-18,18.13186
2020-06-19,20.0
2020-06-20,9.56043
2020-06-21,11.86813
2020-06-22,28.7912
2020-06-23,9.34065
2020-06-24,5.38461
2020-06-25,3.07692
2020-06-26,2.74725
2020-06-27,2.41758
2020-06-28,0.87912
2020-06-29,0.54945
2020-06-30,1.20879
2020-07-02,0.87912
2020-07-03,2.08791
2020-07-04,0.98901
2020-07-05,1.97802
2020-07-06,4.94505
2020-07-07,5.16483
2020-07-08,5.4945
2020-07-09,19.12087
2020-07-10,15.4945
2020-07-11,15.93406
2020-07-12,13.07692
2020-07-13,12.85714
2020-07-14,7.6923
2020-07-15,8.13186
2020-07-16,7.80219
2020-07-17,5.82417
2020-07-18,5.60439
2020-07-19,5.16483
2020-07-20,9.12087
2020-07-21,5.82417
2020-07-22,4.06593
2020-07-23,6.48351
2020-07-24,4.06593
2020-07-25,0.76923
2020-07-26,6.04395
2020-07-27,3.84615
2020-07-28,6.92307
2020-07-29,9.01098
2020-07-30,2.96703
2020-07-31,0.98901
2020-08-01,1.97802
2020-08-02,5.82417
2020-08-03,3.95604
2020-08-04,2.96703
2020-08-05,3.73626
2020-08-06,4.3956
2020-08-07,4.3956
2020-08-08,8.57142
2020-08-09,8.35164
2020-08-10,9.01098
2020-08-11,5.60439
2020-08-12,7.03296
2020-08-13,4.06593
2020-08-14,3.84615
2020-08-15,4.17582
2020-08-16,2.85714
2020-08-17,3.62637
2020-08-18,3.2967
2020-08-19,3.18681
2020-08-20,1.0989
2020-08-21,1.75824
2020-08-22,2.52747
2020-08-23,0.98901
2020-08-24,2.08791
2020-08-25,3.07692
2020-08-26,3.18681
2020-08-27,3.62637
2020-08-28,2.63736
2020-08-29,3.84615
2020-08-30,7.03296
2020-08-31,5.82417
2020-09-01,5.27472
2020-09-02,2.63736
2020-09-03,3.51648
2020-09-04,3.07692
2020-09-05,3.62637
2020-09-06,4.28571
2020-09-07,3.40659
2020-09-08,10.0
2020-09-09,5.4945
2020-09-10,4.17582
2020-09-11,2.85714
2020-09-12,3.2967
2020-09-13,3.73626
2020-09-14,4.61538
2020-09-15,4.61538
2020-09-16,5.16483
2020-09-17,2.30769
2020-09-18,3.84615
2020-09-19,4.3956
2020-09-20,7.36263
2020-09-21,5.60439
