date,KODEX코스닥150선물인버스
2020-03-20,23.71619
2020-03-21,6.97097
2020-03-22,4.96154
2020-03-23,21.55792
2020-03-24,16.39791
2020-03-25,12.8504
2020-03-26,21.85561
2020-03-27,25.08062
2020-03-28,7.34309
2020-03-29,7.41751
2020-03-30,23.66658
2020-03-31,28.97544
2020-04-01,41.40411
2020-04-02,31.03448
2020-04-03,27.66063
2020-04-04,9.52617
2020-04-05,9.69982
2020-04-06,25.70081
2020-04-07,26.24658
2020-04-08,28.65293
2020-04-09,30.04217
2020-04-10,38.57603
2020-04-11,10.96502
2020-04-12,11.58521
2020-04-13,44.92681
2020-04-14,40.63507
2020-04-15,11.41156
2020-04-16,49.44182
2020-04-17,37.45968
2020-04-18,13.49541
2020-04-19,13.74348
2020-04-20,39.02257
2020-04-21,43.98412
2020-04-22,36.09526
2020-04-23,23.22004
2020-04-24,27.04043
2020-04-25,7.14462
2020-04-26,6.92135
2020-04-27,23.79062
2020-04-28,25.22947
2020-04-29,18.13445
2020-04-30,5.92904
2020-05-01,5.58174
2020-05-02,5.38327
2020-05-03,4.8127
2020-05-04,25.40312
2020-05-05,6.57405
2020-05-06,20.36715
2020-05-07,24.95658
2020-05-08,28.95063
2020-05-09,11.73406
2020-05-10,10.19598
2020-05-11,31.25775
2020-05-12,29.12428
2020-05-13,27.9087
2020-05-14,28.10716
2020-05-15,21.53311
2020-05-16,4.71347
2020-05-17,5.03597
2020-05-18,20.34234
2020-05-19,19.5733
2020-05-20,14.09079
2020-05-21,10.66732
2020-05-22,12.35425
2020-05-23,2.35673
2020-05-24,2.45596
2020-05-25,7.66559
2020-05-26,7.29347
2020-05-27,8.11213
2020-05-28,12.10617
2020-05-29,7.51674
2020-05-30,0.9675
2020-05-31,1.01711
2020-06-01,7.91366
2020-06-02,6.02828
2020-06-03,7.14462
2020-06-04,7.02059
2020-06-05,6.07789
2020-06-06,1.56288
2020-06-07,1.58769
2020-06-08,6.45001
2020-06-09,7.36789
2020-06-10,7.56636
2020-06-11,8.80674
2020-06-12,10.22078
2020-06-13,1.33961
2020-06-14,1.16596
2020-06-15,12.97444
2020-06-16,12.25502
2020-06-17,9.9479
2020-06-18,7.46712
2020-06-19,7.88886
2020-06-20,1.98461
2020-06-21,1.86058
2020-06-22,11.90771
2020-06-23,12.62713
2020-06-24,9.79905
2020-06-25,12.92483
2020-06-26,10.71694
2020-06-27,2.53038
2020-06-28,2.43115
2020-06-29,13.64425
2020-06-30,12.8504
2020-07-01,15.82733
2020-07-02,13.91714
2020-07-03,12.47829
2020-07-04,2.10865
2020-07-05,1.86058
2020-07-06,10.14636
2020-07-07,11.28752
2020-07-08,10.34482
2020-07-09,8.21136
2020-07-10,10.09675
2020-07-11,1.78615
2020-07-12,1.51327
2020-07-13,10.89059
2020-07-14,10.29521
2020-07-15,9.12924
2020-07-16,9.77424
2020-07-17,9.65021
2020-07-18,1.53807
2020-07-19,1.41404
2020-07-20,9.6254
2020-07-21,10.89059
2020-07-22,9.15405
2020-07-23,14.04118
2020-07-24,14.01637
2020-07-25,2.87769
2020-07-26,1.98461
2020-07-27,10.22078
2020-07-28,9.52617
2020-07-29,8.9804
2020-07-30,8.43463
2020-07-31,9.20367
2020-08-01,1.81096
2020-08-02,1.66211
2020-08-03,12.77598
2020-08-04,12.5031
2020-08-05,14.90945
2020-08-06,11.13867
2020-08-07,12.03175
2020-08-08,3.00173
2020-08-09,2.38154
2020-08-10,11.08905
2020-08-11,11.2379
2020-08-12,19.74696
2020-08-13,14.26445
2020-08-14,14.68618
2020-08-15,2.50558
2020-08-16,2.33192
2020-08-17,3.29942
2020-08-18,25.10543
2020-08-19,16.32349
2020-08-20,25.40312
2020-08-21,19.72215
2020-08-22,2.72885
2020-08-23,2.53038
2020-08-24,15.18233
2020-08-25,13.52021
2020-08-26,14.1156
2020-08-27,14.23964
2020-08-28,11.33713
2020-08-29,1.98461
2020-08-30,1.53807
2020-08-31,12.5279
2020-09-01,9.79905
2020-09-02,14.93425
2020-09-03,12.57752
2020-09-04,21.73158
2020-09-05,3.27462
2020-09-06,2.10865
2020-09-07,14.23964
2020-09-08,16.64599
2020-09-09,19.22599
2020-09-10,15.52964
2020-09-11,18.6058
2020-09-12,3.12577
2020-09-13,2.13346
2020-09-14,12.8256
2020-09-15,15.75291
2020-09-16,18.70503
2020-09-17,18.48176
2020-09-18,16.19945
2020-09-19,3.05135
2020-09-20,3.05135
2020-09-21,26.42024
2020-09-22,35.30141
2020-09-23,25.031
2020-09-24,42.47085
2020-09-25,23.07119
2020-09-26,4.8375
2020-09-27,4.8127
2020-09-28,19.92061
2020-09-29,12.10617
2020-09-30,2.72885
2020-10-01,1.81096
2020-10-02,4.11808
2020-10-03,2.87769
2020-10-04,3.00173
2020-10-05,12.32944
2020-10-06,10.74175
2020-10-07,11.98213
