date,국내채권ETF
2020-03-21,4.5045
2020-03-26,5.4054
2020-03-28,9.009
2020-03-30,7.2072
2020-03-31,7.2072
2020-04-02,8.1081
2020-04-05,6.3063
2020-04-06,13.51351
2020-04-07,4.5045
2020-04-08,12.61261
2020-04-10,6.3063
2020-04-11,7.2072
2020-04-12,18.91891
2020-04-13,10.81081
2020-04-14,12.61261
2020-04-15,5.4054
2020-04-16,11.71171
2020-04-18,5.4054
2020-04-19,9.9099
2020-04-20,5.4054
2020-04-21,6.3063
2020-04-22,7.2072
2020-04-23,4.5045
2020-04-24,10.81081
2020-04-25,15.31531
2020-04-26,4.5045
2020-04-27,24.32432
2020-04-28,4.5045
2020-04-29,13.51351
2020-04-30,7.2072
2020-05-02,8.1081
2020-05-04,10.81081
2020-05-05,4.5045
2020-05-06,11.71171
2020-05-07,14.41441
2020-05-08,4.5045
2020-05-09,9.9099
2020-05-10,5.4054
2020-05-11,32.43243
2020-05-12,13.51351
2020-05-13,18.91891
2020-05-14,20.72072
2020-05-15,8.1081
2020-05-16,9.9099
2020-05-17,15.31531
2020-05-18,10.81081
2020-05-19,7.2072
2020-05-20,4.5045
2020-05-21,16.21621
2020-05-22,11.71171
2020-05-23,10.81081
2020-05-24,11.71171
2020-05-25,14.41441
2020-05-26,12.61261
2020-05-27,14.41441
2020-05-28,7.2072
2020-05-29,7.2072
2020-05-30,7.2072
2020-05-31,4.5045
2020-06-01,12.61261
2020-06-02,6.3063
2020-06-03,7.2072
2020-06-04,4.5045
2020-06-05,10.81081
2020-06-06,5.4054
2020-06-07,7.2072
2020-06-08,13.51351
2020-06-09,18.01801
2020-06-10,14.41441
2020-06-11,7.2072
2020-06-13,15.31531
2020-06-14,12.61261
2020-06-15,18.91891
2020-06-16,8.1081
2020-06-17,4.5045
2020-06-18,12.61261
2020-07-04,7.2072
2020-07-05,5.4054
2020-07-08,4.5045
2020-07-12,4.5045
2020-07-14,10.81081
2020-07-15,6.3063
2020-07-17,4.5045
2020-07-20,5.4054
2020-07-23,6.3063
2020-07-24,4.5045
2020-07-27,14.41441
2020-07-28,10.81081
2020-07-29,4.5045
2020-07-30,9.9099
2020-07-31,7.2072
2020-08-01,10.81081
2020-08-02,9.009
2020-08-03,13.51351
2020-08-04,8.1081
2020-08-05,4.5045
2020-08-07,4.5045
