date,청년고용지원금
2020-03-20,46.24697
2020-03-21,18.76513
2020-03-22,19.00726
2020-03-23,52.4213
2020-03-24,51.33171
2020-03-25,61.01694
2020-03-26,55.81113
2020-03-27,50.96852
2020-03-28,18.28087
2020-03-29,18.40193
2020-03-30,70.70217
2020-03-31,54.72154
2020-04-01,59.56416
2020-04-02,46.97336
2020-04-03,50.60532
2020-04-04,14.89104
2020-04-05,15.49636
2020-04-06,50.36319
2020-04-07,55.32687
2020-04-08,57.26392
2020-04-09,48.42615
2020-04-10,43.09927
2020-04-11,15.98062
2020-04-12,10.89588
2020-04-13,58.83777
2020-04-14,50.0
2020-04-15,19.85472
2020-04-16,50.96852
2020-04-17,52.17917
2020-04-18,19.12832
2020-04-19,22.51815
2020-04-20,61.50121
2020-04-21,57.99031
2020-04-22,68.64406
2020-04-23,68.1598
2020-04-24,48.42615
2020-04-25,13.43825
2020-04-26,22.15496
2020-04-27,59.56416
2020-04-28,53.99515
2020-04-29,50.24213
2020-04-30,19.12832
2020-05-01,25.78692
2020-05-02,15.25423
2020-05-03,14.16464
2020-05-04,43.82566
2020-05-05,19.61259
2020-05-06,50.84745
2020-05-07,64.16464
2020-05-08,46.1259
2020-05-09,17.07021
2020-05-10,17.79661
2020-05-11,61.98547
2020-05-12,53.51089
2020-05-13,54.35835
2020-05-14,53.87409
2020-05-15,46.00484
2020-05-16,16.22276
2020-05-17,18.76513
2020-05-18,53.75302
2020-05-19,47.33656
2020-05-20,57.26392
2020-05-21,54.72154
2020-05-22,41.52542
2020-05-23,17.07021
2020-05-24,14.16464
2020-05-25,53.14769
2020-05-26,48.06295
2020-05-27,48.42615
2020-05-28,39.22518
2020-05-29,36.31961
2020-05-30,14.04358
2020-05-31,16.82808
2020-06-01,64.89104
2020-06-02,57.02179
2020-06-03,57.99031
2020-06-04,49.03147
2020-06-05,41.40435
2020-06-06,15.49636
2020-06-07,15.25423
2020-06-08,55.32687
2020-06-09,54.60048
2020-06-10,58.95883
2020-06-11,50.60532
2020-06-12,47.09443
2020-06-13,14.76997
2020-06-14,18.1598
2020-06-15,52.30024
2020-06-16,49.39467
2020-06-17,52.05811
2020-06-18,50.36319
2020-06-19,38.49878
2020-06-20,17.67554
2020-06-21,13.31719
2020-06-22,47.09443
2020-06-23,50.60532
2020-06-24,52.4213
2020-06-25,48.78934
2020-06-26,47.21549
2020-06-27,18.76513
2020-06-28,17.43341
2020-06-29,54.23728
2020-06-30,51.57384
2020-07-01,54.72154
2020-07-02,54.60048
2020-07-03,49.6368
2020-07-04,17.19128
2020-07-05,18.64406
2020-07-06,54.35835
2020-07-07,56.77966
2020-07-08,52.4213
2020-07-09,48.78934
2020-07-10,43.94673
2020-07-11,17.43341
2020-07-12,15.0121
2020-07-13,44.43099
2020-07-14,53.38983
2020-07-15,51.21065
2020-07-16,48.42615
2020-07-17,39.8305
2020-07-18,17.19128
2020-07-19,13.92251
2020-07-20,49.2736
2020-07-21,44.06779
2020-07-22,50.12106
2020-07-23,42.9782
2020-07-24,38.61985
2020-07-25,13.07506
2020-07-26,13.43825
2020-07-27,41.16222
2020-07-28,50.48426
2020-07-29,42.13075
2020-07-30,42.61501
2020-07-31,39.46731
2020-08-01,15.85956
2020-08-02,9.80629
2020-08-03,44.06779
