date,월배당ETF
2020-12-28,1.2987
2020-12-29,2.85714
2020-12-30,0.77922
2020-12-31,1.03896
2021-01-01,1.16883
2021-01-02,0.90909
2021-01-03,1.94805
2021-01-04,2.33766
2021-01-05,1.55844
2021-01-06,1.42857
2021-01-07,1.2987
2021-01-08,2.72727
2021-01-09,2.72727
2021-01-10,0.77922
2021-01-11,2.46753
2021-01-12,2.46753
2021-01-13,1.55844
2021-01-14,2.20779
2021-01-15,1.68831
2021-01-18,1.81818
2021-01-19,2.07792
2021-01-20,3.11688
2021-01-21,1.81818
2021-01-22,2.20779
2021-01-23,2.07792
2021-01-24,2.46753
2021-01-25,1.68831
2021-01-26,1.55844
2021-01-27,3.37662
2021-01-28,2.46753
2021-01-29,2.46753
2021-01-30,0.77922
2021-01-31,1.42857
2021-02-01,2.20779
2021-02-02,2.20779
2021-02-03,3.11688
2021-02-04,2.33766
2021-02-05,2.07792
2021-02-06,1.81818
2021-02-07,2.85714
2021-02-08,1.16883
2021-02-09,3.50649
2021-02-10,3.8961
2021-02-11,2.85714
2021-02-12,3.11688
2021-02-13,2.98701
2021-02-14,3.37662
2021-02-15,3.37662
2021-02-16,2.98701
2021-02-17,3.76623
2021-02-18,4.67532
2021-02-19,4.54545
2021-02-20,1.81818
2021-02-21,2.98701
2021-02-22,2.46753
2021-02-23,1.81818
2021-02-24,1.81818
2021-02-25,2.5974
2021-02-26,2.07792
2021-02-27,2.07792
2021-02-28,2.72727
2021-03-01,3.11688
2021-03-02,4.02597
2021-03-03,1.94805
2021-03-04,2.98701
2021-03-05,4.02597
2021-03-06,3.63636
2021-03-07,4.28571
2021-03-08,3.37662
2021-03-09,3.63636
2021-03-10,3.37662
2021-03-11,2.98701
2021-03-12,4.28571
2021-03-13,3.11688
2021-03-14,3.50649
2021-03-15,4.28571
2021-03-16,3.63636
2021-03-17,3.76623
2021-03-18,2.07792
2021-03-19,2.72727
2021-03-20,0.90909
2021-03-21,1.81818
2021-03-22,1.16883
2021-03-23,2.98701
2021-03-24,2.72727
2021-03-25,3.24675
2021-03-26,3.50649
2021-03-27,4.67532
2021-03-28,2.33766
2021-03-29,3.37662
2021-03-30,3.8961
2021-03-31,3.63636
2021-04-01,2.20779
2021-04-02,2.98701
2021-04-03,3.76623
2021-04-04,2.20779
2021-04-05,1.68831
2021-04-06,2.85714
2021-04-07,3.11688
2021-04-08,4.15584
2021-04-09,2.85714
2021-04-10,1.55844
2021-04-11,3.37662
2021-04-12,4.02597
