date,보잉주가
2020-03-20,16.33288
2020-03-21,19.48153
2020-03-22,11.61548
2020-03-23,17.22852
2020-03-24,19.73186
2020-03-25,22.21851
2020-03-26,31.95371
2020-03-27,24.84423
2020-03-28,15.99354
2020-03-29,14.95327
2020-03-30,18.68602
2020-03-31,17.81263
2020-04-01,14.02425
2020-04-02,14.85313
2020-04-03,13.75166
2020-04-04,8.33333
2020-04-05,5.70761
2020-04-06,10.24699
2020-04-07,19.15887
2020-04-08,21.5732
2020-04-09,15.56519
2020-04-10,11.02581
2020-04-11,5.69092
2020-04-12,5.0623
2020-04-13,8.13306
2020-04-14,11.33733
2020-04-15,12.80596
2020-04-16,10.11904
2020-04-17,16.28282
2020-04-18,13.06186
2020-04-19,6.70338
2020-04-20,100.0
2020-04-21,19.23676
2020-04-22,15.47619
2020-04-23,13.54027
2020-04-24,11.89919
2020-04-25,11.74343
2020-04-26,6.36404
2020-04-27,11.1927
2020-04-28,12.98397
2020-04-29,12.94503
2020-04-30,12.93391
2020-05-01,10.63084
2020-05-02,7.3765
2020-05-03,4.67846
2020-05-04,9.39586
2020-05-05,9.27903
2020-05-06,11.59879
2020-05-07,10.65865
2020-05-08,10.01335
2020-05-09,6.80907
2020-05-10,3.37116
2020-05-11,6.14708
2020-05-12,7.4655
2020-05-13,7.09279
2020-05-14,8.34445
2020-05-15,7.64908
2020-05-16,5.54072
2020-05-17,3.31553
2020-05-18,6.8647
2020-05-19,13.85736
2020-05-20,8.97863
2020-05-21,10.9813
2020-05-22,10.21361
2020-05-23,5.02892
2020-05-24,2.94281
2020-05-25,4.97329
2020-05-26,8.79506
2020-05-27,11.45972
2020-05-28,12.82821
2020-05-29,8.37783
2020-05-30,4.96217
2020-05-31,3.61036
2020-06-01,6.93702
2020-06-02,10.48064
2020-06-03,11.05919
2020-06-04,30.56853
2020-06-05,27.5534
2020-06-06,22.60235
2020-06-07,8.41121
2020-06-08,20.9724
2020-06-09,32.64908
2020-06-10,23.47018
2020-06-11,25.20026
2020-06-12,26.24054
2020-06-13,11.01468
2020-06-14,4.68402
2020-06-15,11.83244
2020-06-16,16.14931
2020-06-17,13.51246
2020-06-18,11.48753
2020-06-19,10.42501
2020-06-20,6.16377
2020-06-21,2.88718
2020-06-22,7.30418
2020-06-23,10.35825
2020-06-24,9.24009
2020-06-25,9.81864
2020-06-26,7.81041
2020-06-27,4.9566
2020-06-28,2.56453
2020-06-29,7.94948
2020-06-30,14.21339
2020-07-01,9.96328
