date,부동산전망
2020-03-20,46.75453
2020-03-21,34.59637
2020-03-22,37.95716
2020-03-23,52.45469
2020-03-24,47.21581
2020-03-25,36.27677
2020-03-26,38.3855
2020-03-27,31.82866
2020-03-28,25.20593
2020-03-29,28.99505
2020-03-30,33.542
2020-03-31,31.43327
2020-04-01,29.52224
2020-04-02,28.50082
2020-04-03,21.64744
2020-04-04,20.52718
2020-04-05,23.75617
2020-04-06,28.92915
2020-04-07,27.4135
2020-04-08,25.96375
2020-04-09,27.51235
2020-04-10,25.37067
2020-04-11,19.63756
2020-04-12,24.81054
2020-04-13,28.03953
2020-04-14,28.13838
2020-04-15,26.91927
2020-04-16,68.63261
2020-04-17,47.18286
2020-04-18,35.48599
2020-04-19,38.78088
2020-04-20,41.74629
2020-04-21,41.25205
2020-04-22,32.98187
2020-04-23,31.82866
2020-04-24,25.96375
2020-04-25,20.69192
2020-04-26,26.16144
2020-04-27,31.66392
2020-04-28,34.10214
2020-04-29,27.80889
2020-04-30,18.94563
2020-05-01,21.97693
2020-05-02,19.7364
2020-05-03,24.41515
2020-05-04,25.27182
2020-05-05,23.22899
2020-05-06,27.57825
2020-05-07,23.16309
2020-05-08,18.28665
2020-05-09,16.50741
2020-05-10,19.01153
2020-05-11,21.44975
2020-05-12,24.3822
2020-05-13,21.68039
2020-05-14,20.26359
2020-05-15,22.00988
2020-05-16,17.29818
2020-05-17,21.05436
2020-05-18,24.3822
2020-05-19,23.59143
2020-05-20,23.06425
2020-05-21,20.85667
2020-05-22,18.35255
2020-05-23,12.88303
2020-05-24,20.16474
2020-05-25,20.03294
2020-05-26,19.76935
2020-05-27,19.8023
2020-05-28,22.60296
2020-05-29,18.87973
2020-05-30,16.9028
2020-05-31,20.46128
2020-06-01,22.9654
2020-06-02,29.71993
2020-06-03,27.97364
2020-06-04,26.09555
2020-06-05,23.06425
2020-06-06,18.94563
2020-06-07,21.64744
2020-06-08,27.11696
2020-06-09,24.28336
2020-06-10,23.85502
2020-06-11,24.28336
2020-06-12,20.65897
2020-06-13,17.59472
2020-06-14,20.39538
2020-06-15,23.62438
2020-06-16,21.05436
2020-06-17,35.78253
2020-06-18,38.97858
2020-06-19,32.15815
2020-06-20,28.00658
2020-06-21,26.1285
2020-06-22,30.90609
2020-06-23,28.69851
2020-06-24,28.89621
2020-06-25,29.85172
2020-06-26,25.83196
2020-06-27,20.88962
2020-06-28,23.52553
2020-06-29,28.50082
2020-06-30,22.9654
2020-07-01,25.8649
2020-07-02,22.27347
2020-07-03,22.40527
2020-07-04,18.81383
2020-07-05,21.91103
2020-07-06,26.02965
2020-07-07,27.01812
2020-07-08,28.33607
2020-07-09,30.44481
2020-07-10,44.54695
2020-07-11,43.49258
2020-07-12,38.61614
2020-07-13,37.10049
2020-07-14,32.88303
2020-07-15,27.14991
2020-07-16,29.06095
2020-07-17,22.60296
2020-07-18,18.1878
2020-07-19,20.62602
2020-07-20,24.67874
2020-07-21,23.95387
2020-07-22,23.75617
2020-07-23,21.94398
2020-07-24,23.82207
2020-07-25,21.4827
2020-07-26,24.81054
2020-07-27,31.00494
2020-07-28,30.31301
2020-07-29,35.12355
2020-07-30,33.8056
2020-07-31,31.13673
2020-08-01,28.53377
2020-08-02,28.03953
2020-08-03,27.84184
2020-08-04,33.77265
2020-08-05,30.60955
2020-08-06,24.3163
2020-08-07,24.514
2020-08-08,20.29654
2020-08-09,22.9654
2020-08-10,26.82042
2020-08-11,23.29489
2020-08-12,22.86655
2020-08-13,20.95551
2020-08-14,21.87808
2020-08-15,15.74958
2020-08-16,19.70345
2020-08-17,20.16474
2020-08-18,21.64744
2020-08-19,20.65897
2020-08-20,25.43657
2020-08-21,21.81219
2020-08-22,18.91268
2020-08-23,19.83525
2020-08-24,23.0313
2020-08-25,24.01976
2020-08-26,22.99835
2020-08-27,21.12026
2020-08-28,19.67051
2020-08-29,18.61614
2020-08-30,16.67215
2020-08-31,21.15321
2020-09-01,17.33113
2020-09-02,20.82372
2020-09-03,17.62767
2020-09-04,13.90444
2020-09-05,12.42174
2020-09-06,18.61614
2020-09-07,22.10873
2020-09-08,23.16309
2020-09-09,19.63756
2020-09-10,16.07907
