date,두나무상장
2020-06-09,0.1001
2020-07-03,0.0462
2020-07-21,0.0385
2020-08-01,0.0693
2020-08-04,0.0385
2020-09-02,0.0385
2020-10-19,0.48513
2020-10-20,0.0539
2020-10-21,0.1232
2020-10-22,0.33882
2020-10-23,0.1078
2020-10-24,0.0462
2020-10-27,0.0847
2020-10-28,0.0462
2020-11-07,0.0693
2020-11-08,0.1078
2020-11-15,0.0462
2020-11-16,0.0693
2020-11-17,0.0462
2020-11-18,0.0924
2020-11-19,0.0693
2020-11-21,0.0539
2020-11-24,0.1078
2020-11-30,0.0385
2020-12-07,0.0539
2020-12-11,0.0693
2020-12-13,0.0924
2020-12-15,0.0385
2020-12-17,0.0616
2020-12-18,0.0847
2020-12-19,0.0616
2020-12-20,0.0616
2020-12-21,0.077
2020-12-22,0.23101
2020-12-23,0.23101
2020-12-24,0.077
2020-12-25,0.0924
2020-12-27,0.0847
2020-12-28,0.1078
2020-12-29,0.0693
2020-12-30,0.26952
2020-12-31,0.0693
2021-01-01,0.1001
2021-01-02,0.0924
2021-01-03,0.0847
2021-01-04,0.17711
2021-01-05,0.20791
2021-01-06,0.19251
2021-01-07,0.30032
2021-01-08,0.27722
2021-01-09,0.0693
2021-01-10,0.22331
2021-01-11,0.15401
2021-01-12,0.0539
2021-01-13,0.0539
2021-01-15,0.0385
2021-01-16,0.0462
2021-01-17,0.0385
2021-01-19,0.1001
2021-01-20,0.15401
2021-01-21,0.1232
2021-01-22,0.0385
2021-01-26,0.0539
2021-01-27,0.0462
2021-01-28,0.0385
2021-01-31,0.0385
2021-02-03,0.44663
2021-02-04,0.25411
2021-02-05,0.1232
2021-02-06,0.0539
2021-02-07,0.0616
2021-02-08,0.0539
2021-02-09,0.0693
2021-02-10,0.15401
2021-02-11,0.1155
2021-02-13,0.0924
2021-02-14,0.0385
2021-02-15,0.22331
2021-02-16,0.19251
2021-02-17,0.34652
2021-02-18,0.36192
2021-02-19,0.41583
2021-02-20,0.27722
2021-02-21,0.13861
2021-02-22,0.54674
2021-02-23,0.30032
2021-02-24,0.28492
2021-02-25,0.41583
2021-02-26,0.33112
2021-02-27,0.19251
2021-02-28,0.23871
2021-03-01,0.13091
2021-03-02,0.37732
2021-03-03,0.26952
2021-03-04,0.15401
2021-03-05,0.18481
2021-03-06,0.077
2021-03-07,0.0539
2021-03-08,0.17711
2021-03-09,0.52364
2021-03-10,0.43123
2021-03-11,0.26952
2021-03-12,0.56214
2021-03-13,0.49283
2021-03-14,0.82396
2021-03-15,1.15509
2021-03-16,6.22978
2021-03-17,5.34421
2021-03-18,8.74018
2021-03-19,6.06807
2021-03-20,3.54997
2021-03-21,3.63468
2021-03-22,6.99984
2021-03-23,5.01309
2021-03-24,6.82273
2021-03-25,5.25951
2021-03-26,6.26058
2021-03-27,4.07361
2021-03-28,4.01201
2021-03-29,5.2441
2021-03-30,50.1155
2021-03-31,61.38148
2021-04-01,70.27568
2021-04-02,57.10765
2021-04-03,26.45926
2021-04-04,24.16448
2021-04-05,49.47635
2021-04-06,95.94948
2021-04-07,72.83228
2021-04-08,45.28723
2021-04-09,44.50177
2021-04-10,26.06653
2021-04-11,24.56491
2021-04-12,45.59525
2021-04-13,72.27783
2021-04-14,59.14831
2021-04-15,54.57415
2021-04-16,30.02464
2021-04-17,17.26474
2021-04-18,14.05359
2021-04-19,25.60449
2021-04-20,25.15016
2021-04-21,24.01047
2021-04-22,20.26028
2021-04-23,20.36038
2021-04-24,10.71923
2021-04-25,8.13953
2021-04-26,13.14492
2021-04-27,16.31757
2021-04-28,13.12182
2021-04-29,17.83459
2021-04-30,15.67842
2021-05-01,8.64007
2021-05-02,7.08455
2021-05-03,12.9139
2021-05-04,23.70244
2021-05-05,11.44309
2021-05-06,18.72786
2021-05-07,14.1075
2021-05-08,8.13953
2021-05-09,8.49376
2021-05-10,12.80609
2021-05-11,10.00308
2021-05-12,100.0
2021-05-13,41.67565
2021-05-14,21.34606
2021-05-15,8.82488
2021-05-16,9.90297
2021-05-17,17.01062
2021-05-18,21.8081
2021-05-19,8.95579
2021-05-20,26.36685
2021-05-21,22.43184
2021-05-22,11.21977
2021-05-23,11.48929
2021-05-24,19.39781
2021-05-25,19.62113
2021-05-26,19.59802
2021-05-27,20.6222
2021-05-28,24.01047
2021-05-29,9.29462
2021-05-30,7.61589
2021-05-31,14.1922
2021-06-01,12.05144
2021-06-02,11.21207
2021-06-03,11.28137
2021-06-04,9.11751
2021-06-05,4.95918
2021-06-06,4.60495
2021-06-07,9.49484
2021-06-08,9.16371
2021-06-09,8.45525
2021-06-10,9.34852
2021-06-11,9.57954
2021-06-12,5.61373
2021-06-13,5.04389
2021-06-14,7.16925
2021-06-15,6.37609
2021-06-16,7.716
2021-06-17,5.76774
2021-06-18,6.98444
2021-06-19,3.37286
2021-06-20,3.24195
2021-06-21,7.50038
2021-06-22,6.29909
2021-06-23,6.59171
2021-06-24,6.18358
2021-06-25,4.11982
