date,모텔
2020-03-20,18.6214
2020-03-21,23.11287
2020-03-22,20.18562
2020-03-23,19.70532
2020-03-24,19.33536
2020-03-25,19.582
2020-03-26,18.03076
2020-03-27,17.67378
2020-03-28,24.83935
2020-03-29,18.91997
2020-03-30,17.82955
2020-03-31,19.21853
2020-04-01,20.24404
2020-04-02,19.31589
2020-04-03,19.49763
2020-04-04,26.30622
2020-04-05,18.77068
2020-04-06,20.43227
2020-04-07,18.01778
2020-04-08,19.64042
2020-04-09,18.44616
2020-04-10,19.36132
2020-04-11,25.13792
2020-04-12,21.06185
2020-04-13,19.68585
2020-04-14,18.40721
2020-04-15,20.32842
2020-04-16,19.35483
2020-04-17,18.08918
2020-04-18,26.05958
2020-04-19,20.60102
2020-04-20,20.38034
2020-04-21,21.04238
2020-04-22,20.18562
2020-04-23,21.04887
2020-04-24,20.36087
2020-04-25,26.65022
2020-04-26,21.97053
2020-04-27,23.30109
2020-04-28,21.93808
2020-04-29,20.39332
2020-04-30,39.16401
2020-05-01,50.57441
2020-05-02,37.44401
2020-05-03,24.59271
2020-05-04,22.56766
2020-05-05,20.26351
2020-05-06,21.77581
2020-05-07,23.14532
2020-05-08,19.4457
2020-05-09,26.68267
2020-05-10,22.02894
2020-05-11,26.79301
2020-05-12,24.742
2020-05-13,26.02063
2020-05-14,22.52223
2020-05-15,22.93762
2020-05-16,30.52508
2020-05-17,23.48283
2020-05-18,23.72947
2020-05-19,22.6066
2020-05-20,24.44343
2020-05-21,23.96962
2020-05-22,24.29415
2020-05-23,31.71285
2020-05-24,25.72207
2020-05-25,24.03452
2020-05-26,24.36554
2020-05-27,23.83332
2020-05-28,22.71045
2020-05-29,23.74245
2020-05-30,30.58999
2020-05-31,23.34004
2020-06-01,20.90608
2020-06-02,21.66547
2020-06-03,22.43785
2020-06-04,23.21671
2020-06-05,22.89868
2020-06-06,34.98409
2020-06-07,24.65762
2020-06-08,22.79483
2020-06-09,23.20373
2020-06-10,24.54728
2020-06-11,24.1903
2020-06-12,23.96962
2020-06-13,33.70545
2020-06-14,25.27422
2020-06-15,25.22879
2020-06-16,23.04796
2020-06-17,23.19724
2020-06-18,23.86577
2020-06-19,24.66411
2020-06-20,35.393
2020-06-21,25.54033
2020-06-22,24.77445
2020-06-23,24.70954
2020-06-24,23.12585
2020-06-25,23.21022
2020-06-26,23.12585
2020-06-27,33.77036
2020-06-28,26.07256
2020-06-29,22.86622
2020-06-30,22.32751
2020-07-01,25.0146
2020-07-02,23.82034
2020-07-03,24.28766
2020-07-04,33.36145
2020-07-05,26.05309
2020-07-06,22.71045
2020-07-07,23.43739
2020-07-08,24.66411
2020-07-09,23.46985
2020-07-10,23.32056
2020-07-11,34.95813
2020-07-12,26.8709
2020-07-13,22.59362
2020-07-14,23.65158
2020-07-15,26.47497
2020-07-16,24.35256
2020-07-17,23.52177
2020-07-18,32.99149
2020-07-19,25.59875
2020-07-20,23.20373
2020-07-21,24.93671
2020-07-22,24.07347
2020-07-23,26.46848
2020-07-24,23.32705
2020-07-25,32.55013
2020-07-26,25.9103
2020-07-27,23.56071
2020-07-28,23.05445
2020-07-29,24.69656
2020-07-30,26.69565
2020-07-31,30.67436
2020-08-01,51.92444
2020-08-02,37.72311
2020-08-03,35.62017
2020-08-04,30.54455
2020-08-05,27.40961
2020-08-06,27.29278
2020-08-07,27.81852
2020-08-08,31.55059
2020-08-09,24.99513
2020-08-10,24.22275
2020-08-11,26.31271
2020-08-12,28.59739
2020-08-13,29.22697
2020-08-14,32.79029
2020-08-15,68.0405
2020-08-16,46.01155
2020-08-17,31.03783
2020-08-18,28.55844
2020-08-19,30.18757
2020-08-20,29.53203
2020-08-21,29.42818
2020-08-22,34.26364
2020-08-23,27.98727
2020-08-24,28.09761
2020-08-25,26.85792
2020-08-26,24.42396
2020-08-27,22.63256
2020-08-28,28.70773
2020-08-29,36.28869
2020-08-30,31.56357
2020-08-31,28.3118
2020-09-01,26.80599
2020-09-02,24.88479
2020-09-03,23.12585
2020-09-04,27.52644
2020-09-05,31.52463
2020-09-06,22.79483
2020-09-07,21.75634
2020-09-08,23.26864
2020-09-09,27.20192
2020-09-10,28.62335
2020-09-11,26.85792
2020-09-12,31.58304
2020-09-13,23.69053
2020-09-14,24.39151
2020-09-15,24.43045
2020-09-16,23.02849
2020-09-17,23.64509
2020-09-18,22.53521
2020-09-19,27.92237
2020-09-20,20.93853
2020-09-21,22.56766
2020-09-22,22.08087
2020-09-23,21.65898
2020-09-24,21.96404
2020-09-25,21.25008
2020-09-26,28.18848
2020-09-27,20.58804
2020-09-28,17.47257
2020-09-29,16.02518
2020-09-30,18.68631
2020-10-01,19.68585
2020-10-02,27.24735
2020-10-03,26.10501
2020-10-04,19.16661
2020-10-05,22.04192
2020-10-06,23.11936
2020-10-07,22.19121
2020-10-08,20.94502
2020-10-09,32.74485
2020-10-10,31.07029
2020-10-11,22.50275
2020-10-12,23.93717
2020-10-13,23.04147
2020-10-14,23.92419
2020-10-15,23.37249
2020-10-16,23.65807
2020-10-17,30.72629
2020-10-18,22.94411
2020-10-19,25.28071
2020-10-20,25.50139
2020-10-21,25.9038
2020-10-22,24.88479
2020-10-23,24.79392
2020-10-24,35.96417
2020-10-25,25.64418
2020-10-26,23.91769
2020-10-27,26.3192
2020-10-28,25.19633
2020-10-29,26.09852
2020-10-30,24.59271
2020-10-31,36.30817
2020-11-01,28.1041
2020-11-02,24.48886
2020-11-03,24.68358
2020-11-04,25.30667
2020-11-05,25.04056
2020-11-06,24.93671
2020-11-07,34.28311
2020-11-08,34.30258
2020-11-09,23.89822
2020-11-10,25.95573
2020-11-11,26.36463
2020-11-12,26.30622
2020-11-13,24.41747
2020-11-14,36.18485
2020-11-15,39.59888
2020-11-16,26.08554
2020-11-17,24.22924
2020-11-18,25.20932
2020-11-19,24.85883
2020-11-20,24.00207
2020-11-21,31.81021
2020-11-22,24.98864
2020-11-23,25.63769
2020-11-24,25.81943
2020-11-25,26.94878
2020-11-26,25.57279
2020-11-27,22.5417
2020-11-28,27.68871
2020-11-29,21.4383
2020-11-30,24.26818
2020-12-01,24.17732
2020-12-02,24.23573
2020-12-03,23.60615
2020-12-04,25.1509
2020-12-05,29.7527
2020-12-06,24.04751
2020-12-07,25.44298
2020-12-08,25.55981
2020-12-09,24.27468
