date,고용지원금
2020-03-20,13.43661
2020-03-21,5.21126
2020-03-22,4.33802
2020-03-23,15.88732
2020-03-24,18.73239
2020-03-25,27.7183
2020-03-26,20.95774
2020-03-27,15.66197
2020-03-28,5.7183
2020-03-29,4.64788
2020-03-30,30.0
2020-03-31,22.95774
2020-04-01,20.0845
2020-04-02,15.83098
2020-04-03,14.76056
2020-04-04,4.39436
2020-04-05,3.35211
2020-04-06,14.8169
2020-04-07,14.33802
2020-04-08,12.73239
2020-04-09,12.42253
2020-04-10,11.66197
2020-04-11,3.32394
2020-04-12,3.07042
2020-04-13,13.43661
2020-04-14,12.98591
2020-04-15,6.61971
2020-04-16,12.84507
2020-04-17,15.04225
2020-04-18,4.70422
2020-04-19,8.36619
2020-04-20,19.38028
2020-04-21,17.7183
2020-04-22,61.7183
2020-04-23,23.85915
2020-04-24,18.0
2020-04-25,5.49295
2020-04-26,8.0845
2020-04-27,20.87323
2020-04-28,19.69014
2020-04-29,17.88732
2020-04-30,7.09859
2020-05-01,7.80281
2020-05-02,5.32394
2020-05-03,4.50704
2020-05-04,14.05633
2020-05-05,7.83098
2020-05-06,17.57746
2020-05-07,55.01408
2020-05-08,29.57746
2020-05-09,9.54929
2020-05-10,8.70422
2020-05-11,27.38028
2020-05-12,21.01408
2020-05-13,20.33802
2020-05-14,20.28169
2020-05-15,16.73239
2020-05-16,8.78873
2020-05-17,5.66197
2020-05-18,20.87323
2020-05-19,16.84507
2020-05-20,16.95774
2020-05-21,16.70422
2020-05-22,14.70422
2020-05-23,5.83098
2020-05-24,7.7183
2020-05-25,28.87323
2020-05-26,26.73239
2020-05-27,24.67605
2020-05-28,19.91549
2020-05-29,19.80281
2020-05-30,8.25352
2020-05-31,12.05633
2020-06-01,85.52112
2020-06-02,49.85915
2020-06-03,37.04225
2020-06-04,34.56338
2020-06-05,29.49295
2020-06-06,15.49295
2020-06-07,11.38028
2020-06-08,35.97183
2020-06-09,25.18309
2020-06-10,27.2676
2020-06-11,26.42253
2020-06-12,24.0
2020-06-13,11.74647
2020-06-14,12.19718
2020-06-15,29.29577
2020-06-16,25.18309
2020-06-17,24.0845
2020-06-18,22.11267
2020-06-19,19.69014
2020-06-20,9.04225
2020-06-21,9.80281
2020-06-22,28.47887
2020-06-23,29.88732
2020-06-24,26.76056
2020-06-25,26.92957
2020-06-26,23.40845
2020-06-27,9.18309
2020-06-28,8.19718
2020-06-29,25.32394
2020-06-30,25.7183
2020-07-01,25.57746
