date,신규상장
2020-03-20,4.41705
2020-03-21,1.54083
2020-03-22,1.84899
2020-03-23,5.18746
2020-03-24,5.85516
2020-03-25,6.47149
2020-03-26,5.59835
2020-03-27,5.44427
2020-03-28,3.13302
2020-03-29,2.61941
2020-03-30,4.82794
2020-03-31,5.75243
2020-04-01,4.98202
2020-04-02,6.67693
2020-04-03,5.70107
2020-04-04,1.84899
2020-04-05,2.3626
2020-04-06,5.8038
2020-04-07,6.9851
2020-04-08,5.90652
2020-04-09,6.67693
2020-04-10,5.75243
2020-04-11,3.0303
2020-04-12,2.82485
2020-04-13,4.98202
2020-04-14,4.82794
2020-04-15,2.20852
2020-04-16,5.49563
2020-04-17,4.46841
2020-04-18,2.97894
2020-04-19,3.69799
2020-04-20,6.21468
2020-04-21,4.72521
2020-04-22,6.62557
2020-04-23,6.83102
2020-04-24,5.49563
2020-04-25,2.20852
2020-04-26,2.67077
2020-04-27,5.85516
2020-04-28,5.59835
2020-04-29,4.77657
2020-04-30,2.15716
2020-05-01,1.12994
2020-05-02,0.92449
2020-05-03,2.05444
2020-05-04,4.05752
2020-05-05,2.92758
2020-05-06,5.08474
2020-05-07,5.64971
2020-05-08,5.75243
2020-05-09,2.15716
2020-05-10,2.87621
2020-05-11,6.00924
2020-05-12,6.62557
2020-05-13,6.0606
2020-05-14,5.08474
2020-05-15,4.67385
2020-05-16,2.41397
2020-05-17,2.41397
2020-05-18,5.90652
2020-05-19,7.85824
2020-05-20,9.29635
2020-05-21,14.38109
2020-05-22,43.6569
2020-05-23,11.45351
2020-05-24,5.85516
2020-05-25,14.43246
2020-05-26,11.71032
2020-05-27,10.16949
2020-05-28,8.11504
2020-05-29,7.19054
2020-05-30,3.54391
2020-05-31,3.64663
2020-06-01,8.93682
2020-06-02,8.42321
2020-06-03,7.29327
2020-06-04,7.24191
2020-06-05,9.19363
2020-06-06,3.80071
2020-06-07,4.36569
2020-06-08,11.24807
2020-06-09,9.91268
2020-06-10,11.24807
2020-06-11,8.98818
2020-06-12,8.57729
2020-06-13,4.8793
2020-06-14,5.29019
2020-06-15,9.80996
2020-06-16,15.40832
2020-06-17,35.13097
2020-06-18,15.45968
2020-06-19,10.37493
2020-06-20,6.11196
2020-06-21,6.42013
2020-06-22,28.65947
2020-06-23,18.48998
2020-06-24,18.23317
2020-06-25,18.48998
2020-06-26,9.45043
2020-06-27,4.00616
2020-06-28,4.36569
2020-06-29,9.19363
2020-06-30,14.38109
2020-07-01,37.08269
2020-07-02,31.7925
2020-07-03,37.28813
2020-07-04,5.70107
2020-07-05,5.90652
2020-07-06,28.29994
2020-07-07,17.56548
2020-07-08,15.15151
2020-07-09,13.50796
2020-07-10,10.11813
2020-07-11,4.2116
2020-07-12,4.72521
2020-07-13,25.11556
2020-07-14,22.85567
2020-07-15,31.07344
2020-07-16,48.48484
2020-07-17,19.31176
2020-07-18,4.93066
2020-07-19,6.31741
2020-07-20,14.94607
2020-07-21,18.3359
2020-07-22,33.8983
2020-07-23,29.019
2020-07-24,21.46892
2020-07-25,3.85208
2020-07-26,4.57113
2020-07-27,19.00359
2020-07-28,13.09707
2020-07-29,26.75911
2020-07-30,24.85875
2020-07-31,28.04314
2020-08-01,6.47149
2020-08-02,4.82794
2020-08-03,16.23009
2020-08-04,16.28145
2020-08-05,21.00667
2020-08-06,23.36928
2020-08-07,15.25423
2020-08-08,5.8038
2020-08-09,5.8038
2020-08-10,22.2907
2020-08-11,17.82229
2020-08-12,21.72573
2020-08-13,19.15767
2020-08-14,11.19671
2020-08-15,3.85208
2020-08-16,3.13302
2020-08-17,3.08166
2020-08-18,14.84334
2020-08-19,10.99126
2020-08-20,11.14535
2020-08-21,20.49306
2020-08-22,5.1361
2020-08-23,4.57113
2020-08-24,25.37236
2020-08-25,13.91884
2020-08-26,11.55624
2020-08-27,10.73446
2020-08-28,9.24499
2020-08-29,3.80071
2020-08-30,3.13302
2020-08-31,13.35387
2020-09-01,10.83718
2020-09-02,11.71032
2020-09-03,11.29943
2020-09-04,8.62865
2020-09-05,3.69799
2020-09-06,5.85516
2020-09-07,10.42629
2020-09-08,11.50487
2020-09-09,25.47508
2020-09-10,19.46584
2020-09-11,13.81612
2020-09-12,4.8793
2020-09-13,3.90344
2020-09-14,18.23317
2020-09-15,13.14843
2020-09-16,19.46584
2020-09-17,13.61068
2020-09-18,14.48382
2020-09-19,3.85208
2020-09-20,3.69799
2020-09-21,12.89162
