date,투자유치
2020-03-20,25.07739
2020-03-21,11.4551
2020-03-22,16.71826
2020-03-23,32.81733
2020-03-24,36.8421
2020-03-25,27.24458
2020-03-26,25.38699
2020-03-27,24.7678
2020-03-28,9.28792
2020-03-29,10.83591
2020-03-30,32.19814
2020-03-31,37.1517
2020-04-01,33.12693
2020-04-02,21.36222
2020-04-03,21.67182
2020-04-04,8.35913
2020-04-05,10.83591
2020-04-06,33.12693
2020-04-07,30.34055
2020-04-08,29.10216
2020-04-09,29.41176
2020-04-10,20.43343
2020-04-11,12.3839
2020-04-12,11.7647
2020-04-13,35.29411
2020-04-14,27.86377
2020-04-15,8.35913
2020-04-16,29.41176
2020-04-17,31.26934
2020-04-18,8.66873
2020-04-19,14.24148
2020-04-20,40.86687
2020-04-21,37.4613
2020-04-22,32.50773
2020-04-23,33.74613
2020-04-24,31.26934
2020-04-25,8.35913
2020-04-26,18.26625
2020-04-27,30.34055
2020-04-28,36.5325
2020-04-29,29.72136
2020-04-30,13.31269
2020-05-01,9.28792
2020-05-02,10.83591
2020-05-03,11.14551
2020-05-04,16.71826
2020-05-05,18.57585
2020-05-06,32.81733
2020-05-07,26.31578
2020-05-08,27.86377
2020-05-09,13.00309
2020-05-10,15.17027
2020-05-11,29.10216
2020-05-12,30.34055
2020-05-13,33.74613
2020-05-14,35.60371
2020-05-15,30.34055
2020-05-16,9.59752
2020-05-17,12.0743
2020-05-18,33.12693
2020-05-19,36.5325
2020-05-20,29.10216
2020-05-21,32.81733
2020-05-22,33.74613
2020-05-23,8.97832
2020-05-24,11.7647
2020-05-25,35.29411
2020-05-26,34.36532
2020-05-27,36.22291
2020-05-28,32.19814
2020-05-29,28.48297
2020-05-30,10.21671
2020-05-31,13.93188
2020-06-01,37.4613
2020-06-02,27.55417
2020-06-03,32.50773
2020-06-04,25.38699
2020-06-05,28.17337
2020-06-06,13.62229
2020-06-07,10.52631
2020-06-08,33.43653
2020-06-09,34.36532
2020-06-10,36.22291
2020-06-11,36.22291
2020-06-12,32.50773
2020-06-13,10.52631
2020-06-14,13.93188
2020-06-15,29.41176
2020-06-16,33.12693
2020-06-17,34.36532
2020-06-18,31.88854
2020-06-19,29.10216
2020-06-20,11.14551
2020-06-21,11.7647
2020-06-22,35.91331
2020-06-23,32.81733
2020-06-24,37.1517
2020-06-25,30.95975
2020-06-26,29.72136
2020-06-27,11.14551
2020-06-28,15.78947
2020-06-29,36.8421
2020-06-30,29.72136
2020-07-01,20.12383
2020-07-02,26.93498
2020-07-03,24.4582
2020-07-04,7.12074
2020-07-05,9.90712
2020-07-06,32.81733
2020-07-07,35.91331
2020-07-08,30.34055
2020-07-09,25.69659
2020-07-10,26.31578
2020-07-11,8.97832
2020-07-12,7.73993
2020-07-13,24.7678
2020-07-14,30.95975
2020-07-15,27.24458
2020-07-16,36.5325
2020-07-17,28.79256
2020-07-18,8.35913
2020-07-19,5.57275
2020-07-20,33.12693
2020-07-21,28.79256
2020-07-22,36.22291
2020-07-23,30.65015
2020-07-24,27.55417
