date,OKX
2020-05-30,0.17537
2020-07-14,0.17537
2020-09-08,0.17537
2020-09-10,0.21045
2020-10-04,0.21045
2020-10-17,0.17537
2020-12-06,0.17537
2020-12-17,0.21045
2020-12-26,0.17537
2021-01-05,0.21045
2021-03-03,0.17537
2021-04-01,0.21045
2021-04-10,0.17537
2021-04-12,0.17537
2021-04-15,0.17537
2021-04-18,0.21045
2021-05-01,0.17537
2021-05-10,0.21045
2021-05-18,0.17537
2021-06-09,0.17537
2021-08-05,0.17537
2021-08-20,0.17537
2021-09-30,0.17537
2021-11-30,0.17537
2022-01-03,0.17537
2022-01-18,0.91196
2022-01-19,1.12241
2022-01-20,1.01718
2022-01-21,1.54331
2022-01-22,1.54331
2022-01-23,1.82392
2022-01-24,5.64714
2022-01-25,22.72886
2022-01-26,37.91652
2022-01-27,13.01297
2022-01-28,100.0
2022-01-29,24.76324
2022-01-30,7.01508
2022-01-31,4.4195
2022-02-01,2.20975
2022-02-02,2.91125
2022-02-03,3.78814
2022-02-04,2.59558
2022-02-05,1.99929
2022-02-06,2.73588
2022-02-07,4.06874
2022-02-08,3.99859
2022-02-09,4.24412
2022-02-10,3.26201
2022-02-11,2.66573
2022-02-12,1.85899
2022-02-13,2.77095
2022-02-14,7.50613
2022-02-15,3.15678
2022-02-16,3.15678
2022-02-17,3.78814
2022-02-18,3.96352
2022-02-19,3.01648
2022-02-20,3.75306
2022-02-21,3.29708
2022-02-22,4.34935
2022-02-23,3.08663
2022-02-24,4.66502
2022-02-25,4.5598
2022-02-26,2.4202
2022-02-27,2.03437
2022-02-28,3.99859
2022-03-01,6.31357
2022-03-02,5.85759
2022-03-03,6.03297
2022-03-04,5.64714
2022-03-05,3.19186
2022-03-06,1.96422
2022-03-07,2.91125
2022-03-08,2.45527
2022-03-09,4.48965
2022-03-10,9.89126
2022-03-11,5.15608
2022-03-12,5.99789
2022-03-13,3.57769
2022-03-14,9.29498
2022-03-15,6.80462
2022-03-16,7.29568
2022-03-17,8.48824
2022-03-18,8.5584
2022-03-19,8.839
2022-03-20,13.29358
2022-03-21,24.37741
2022-03-22,21.9572
2022-03-23,27.60434
2022-03-24,15.5384
2022-03-25,10.13679
2022-03-26,10.06664
2022-03-27,11.22413
2022-03-28,10.87337
2022-03-29,10.38232
2022-03-30,17.78323
2022-03-31,14.94212
2022-04-01,7.68151
2022-04-02,7.64643
2022-04-03,5.89266
2022-04-04,8.90915
2022-04-05,5.82251
2022-04-06,7.89196
2022-04-07,5.85759
2022-04-08,5.96282
2022-04-09,3.36723
2022-04-10,3.89337
2022-04-11,6.17327
2022-04-12,5.08593
2022-04-13,4.7001
2022-04-14,3.99859
2022-04-15,4.31427
2022-04-16,4.20904
2022-04-17,3.85829
2022-04-18,4.45457
2022-04-19,4.10382
2022-04-20,6.17327
2022-04-21,5.57699
2022-04-22,4.10382
2022-04-23,3.05156
2022-04-24,4.5598
2022-04-25,4.77025
2022-04-26,7.82181
2022-04-27,7.61136
2022-04-28,9.54051
2022-04-29,8.48824
2022-04-30,6.10312
2022-05-01,4.13889
2022-05-02,6.73447
2022-05-03,4.9807
2022-05-04,4.13889
2022-05-05,4.24412
2022-05-06,4.73518
2022-05-07,3.22693
2022-05-08,3.29708
2022-05-09,4.24412
2022-05-10,5.85759
2022-05-11,5.61206
2022-05-12,8.03226
2022-05-13,7.61136
2022-05-14,7.47106
2022-05-15,5.19116
2022-05-16,5.68221
2022-05-17,5.50683
2022-05-18,5.01578
2022-05-19,7.19045
2022-05-20,5.19116
2022-05-21,3.85829
2022-05-22,3.36723
2022-05-23,4.59487
2022-05-24,3.82321
2022-05-25,4.10382
2022-05-26,3.78814
2022-05-27,5.64714
2022-05-28,4.59487
2022-05-29,7.36583
2022-05-30,7.43598
2022-05-31,7.68151
2022-06-01,3.19186
2022-06-02,8.45317
