date,종부세계산기
2020-03-20,5.59395
2020-03-21,2.55248
2020-03-22,2.49615
2020-03-23,2.8725
2020-03-24,2.17869
2020-03-25,1.66922
2020-03-26,1.6513
2020-03-27,1.34664
2020-03-28,1.0727
2020-03-29,1.18791
2020-03-30,1.54121
2020-03-31,1.09575
2020-04-01,0.95238
2020-04-02,3.8044
2020-04-03,6.66666
2020-04-04,1.27752
2020-04-05,1.20583
2020-04-06,1.37736
2020-04-07,1.28008
2020-04-08,1.23143
2020-04-09,0.86021
2020-04-10,0.68612
2020-04-11,0.83973
2020-04-12,0.59907
2020-04-13,0.98566
2020-04-14,1.02406
2020-04-15,1.15719
2020-04-16,2.91346
2020-04-17,2.01228
2020-04-18,1.53609
2020-04-19,1.2852
2020-04-20,1.73323
2020-04-21,2.09165
2020-04-22,1.84075
2020-04-23,1.52841
2020-04-24,1.13927
2020-04-25,0.94214
2020-04-26,0.92677
2020-04-27,1.26472
2020-04-28,3.09779
2020-04-29,3.52278
2020-04-30,1.95596
2020-05-01,1.58986
2020-05-02,1.04454
2020-05-03,1.08294
2020-05-04,1.46953
2020-05-05,1.95084
2020-05-06,1.91756
2020-05-07,1.76651
2020-05-08,1.03686
2020-05-09,0.91397
2020-05-10,0.80133
2020-05-11,1.33128
2020-05-12,1.45417
2020-05-13,1.0727
2020-05-14,1.05734
2020-05-15,1.16743
2020-05-16,0.97542
2020-05-17,0.88837
2020-05-18,1.28264
2020-05-19,1.24935
2020-05-20,1.52585
2020-05-21,1.13415
2020-05-22,1.19559
2020-05-23,0.88837
2020-05-24,0.82949
2020-05-25,1.14951
2020-05-26,1.298
2020-05-27,1.21607
2020-05-28,1.17767
2020-05-29,1.13671
2020-05-30,0.75268
2020-05-31,0.7066
2020-06-01,1.00102
2020-06-02,1.0087
2020-06-03,0.98054
2020-06-04,0.98054
2020-06-05,1.28776
2020-06-06,0.9703
2020-06-07,0.86533
2020-06-08,1.11111
2020-06-09,0.9447
2020-06-10,1.02918
2020-06-11,0.9831
2020-06-12,0.84741
2020-06-13,0.81157
2020-06-14,0.76036
2020-06-15,1.3748
2020-06-16,1.19559
2020-06-17,4.47516
2020-06-18,3.1874
2020-06-19,2.72913
2020-06-20,2.32718
2020-06-21,1.94828
2020-06-22,2.11469
2020-06-23,1.83051
2020-06-24,1.90732
2020-06-25,1.53609
2020-06-26,1.35944
2020-06-27,1.22631
2020-06-28,1.52841
2020-06-29,1.6897
2020-06-30,2.42959
2020-07-01,1.84587
2020-07-02,4.77726
2020-07-03,4.98207
2020-07-04,3.18484
2020-07-05,3.53302
2020-07-06,6.14951
2020-07-07,5.86277
2020-07-08,5.17409
2020-07-09,21.67946
2020-07-10,44.30107
2020-07-11,19.14746
2020-07-12,21.21607
2020-07-13,21.72555
2020-07-14,15.01024
2020-07-15,10.07424
2020-07-16,8.14388
2020-07-17,5.87557
