date,실업급여조건
2020-03-20,43.79538
2020-03-21,30.04946
2020-03-22,27.18661
2020-03-23,58.79381
2020-03-24,61.70403
2020-03-25,61.57246
2020-03-26,59.83054
2020-03-27,56.55194
2020-03-28,34.47531
2020-03-29,32.80707
2020-03-30,74.35533
2020-03-31,75.91306
2020-04-01,68.42963
2020-04-02,60.59888
2020-04-03,58.55699
2020-04-04,33.07546
2020-04-05,30.29681
2020-04-06,58.2886
2020-04-07,64.0722
2020-04-08,55.09946
2020-04-09,54.19955
2020-04-10,48.15808
2020-04-11,30.23365
2020-04-12,28.43384
2020-04-13,90.94832
2020-04-14,71.7556
2020-04-15,33.78591
2020-04-16,49.17903
2020-04-17,50.8578
2020-04-18,30.94937
2020-04-19,30.97568
2020-04-20,60.58835
2020-04-21,53.11019
2020-04-22,52.28923
2020-04-23,50.52099
2020-04-24,42.97968
2020-04-25,27.04978
2020-04-26,27.99705
2020-04-27,53.30491
2020-04-28,52.27344
2020-04-29,49.14745
2020-04-30,31.07041
2020-05-01,30.28102
2020-05-02,21.11882
2020-05-03,22.51868
2020-05-04,41.40616
2020-05-05,30.27049
2020-05-06,51.44721
2020-05-07,56.59404
2020-05-08,52.77865
2020-05-09,29.64951
2020-05-10,35.60151
2020-05-11,96.7056
2020-05-12,75.92358
2020-05-13,66.19829
2020-05-14,60.17787
2020-05-15,52.01557
2020-05-16,27.99705
2020-05-17,29.24429
2020-05-18,59.26218
2020-05-19,55.62572
2020-05-20,56.87822
2020-05-21,56.14145
2020-05-22,48.92116
2020-05-23,26.98137
2020-05-24,26.56562
2020-05-25,61.05673
2020-05-26,57.10977
2020-05-27,57.0361
2020-05-28,53.41016
2020-05-29,49.53689
2020-05-30,31.94926
2020-05-31,30.51784
2020-06-01,67.13503
2020-06-02,58.68329
2020-06-03,59.91474
2020-06-04,53.17335
2020-06-05,47.17398
2020-06-06,26.17619
2020-06-07,26.52352
2020-06-08,71.3609
2020-06-09,62.50394
2020-06-10,62.26186
2020-06-11,53.73118
2020-06-12,43.89011
2020-06-13,24.22902
2020-06-14,30.83885
2020-06-15,63.58804
2020-06-16,73.79223
2020-06-17,100.0
2020-06-18,58.44121
2020-06-19,49.02641
2020-06-20,27.22871
2020-06-21,29.32322
2020-06-22,62.65129
2020-06-23,59.44637
2020-06-24,55.2205
2020-06-25,54.84685
2020-06-26,54.86264
2020-06-27,29.30217
2020-06-28,30.45468
2020-06-29,67.95074
2020-06-30,64.05641
2020-07-01,62.19871
2020-07-02,56.26249
2020-07-03,46.73192
2020-07-04,29.54425
2020-07-05,27.5392
2020-07-06,59.79896
2020-07-07,55.6994
2020-07-08,53.63645
2020-07-09,50.76307
2020-07-10,43.19545
2020-07-11,24.90264
2020-07-12,24.84475
2020-07-13,74.41321
2020-07-14,68.71381
2020-07-15,56.7256
