date,반도체관련주
2020-03-20,7.28624
2020-03-21,5.45724
2020-03-22,5.68029
2020-03-23,7.66542
2020-03-24,10.64684
2020-03-25,14.23791
2020-03-26,11.88104
2020-03-27,12.82527
2020-03-28,8.09665
2020-03-29,7.8513
2020-03-30,9.62081
2020-03-31,13.64312
2020-04-01,13.49442
2020-04-02,10.86988
2020-04-03,8.52044
2020-04-04,5.53903
2020-04-05,4.89219
2020-04-06,10.4684
2020-04-07,28.37174
2020-04-08,15.46468
2020-04-09,11.63568
2020-04-10,8.84014
2020-04-11,5.36802
2020-04-12,6.60966
2020-04-13,8.63197
2020-04-14,7.11524
2020-04-15,5.85873
2020-04-16,6.65427
2020-04-17,11.79925
2020-04-18,6.94423
2020-04-19,6.71375
2020-04-20,8.29739
2020-04-21,8.16356
2020-04-22,8.83271
2020-04-23,11.39033
2020-04-24,5.36059
2020-04-25,3.18959
2020-04-26,3.31598
2020-04-27,4.14869
2020-04-28,4.81784
2020-04-29,7.05576
2020-04-30,4.30483
2020-05-01,3.33828
2020-05-02,2.41635
2020-05-03,2.88475
2020-05-04,4.14126
2020-05-05,4.77323
2020-05-06,6.34944
2020-05-07,7.62081
2020-05-08,7.00371
2020-05-09,4.59479
2020-05-10,4.75092
2020-05-11,5.97769
2020-05-12,4.78066
2020-05-13,5.0855
2020-05-14,4.92936
2020-05-15,6.6394
2020-05-16,5.99256
2020-05-17,5.89591
2020-05-18,9.38289
2020-05-19,10.43122
2020-05-20,10.7881
2020-05-21,13.16728
2020-05-22,8.33457
2020-05-23,4.07434
2020-05-24,4.23048
2020-05-25,7.09293
2020-05-26,7.66542
2020-05-27,7.79182
2020-05-28,8.07434
2020-05-29,6.23048
2020-05-30,4.80297
2020-05-31,6.45353
2020-06-01,12.40892
2020-06-02,11.71747
2020-06-03,15.16728
2020-06-04,13.59851
2020-06-05,9.00371
2020-06-06,6.59479
2020-06-07,6.79553
2020-06-08,7.68029
2020-06-09,6.66914
2020-06-10,8.76579
2020-06-11,8.37918
2020-06-12,6.05947
2020-06-13,3.27881
2020-06-14,4.26765
2020-06-15,5.97026
2020-06-16,5.15985
2020-06-17,4.75092
2020-06-18,5.21189
2020-06-19,4.89962
2020-06-20,2.92936
2020-06-21,3.16728
2020-06-22,5.65055
2020-06-23,5.43494
2020-06-24,6.90706
2020-06-25,6.64684
2020-06-26,5.82156
2020-06-27,3.84386
2020-06-28,3.01858
2020-06-29,4.77323
2020-06-30,6.44609
2020-07-01,8.73605
2020-07-02,5.4052
2020-07-03,6.85501
2020-07-04,3.36059
2020-07-05,3.77695
2020-07-06,7.96282
2020-07-07,7.56877
2020-07-08,5.05576
2020-07-09,6.52044
2020-07-10,5.00371
2020-07-11,2.23791
2020-07-12,3.04832
2020-07-13,5.19702
2020-07-14,4.89962
2020-07-15,7.41263
2020-07-16,6.42379
2020-07-17,6.78066
2020-07-18,4.08178
2020-07-19,3.96282
2020-07-20,5.51672
2020-07-21,7.43494
2020-07-22,8.47583
2020-07-23,8.00743
2020-07-24,5.85873
2020-07-25,4.07434
2020-07-26,5.62825
2020-07-27,12.20074
2020-07-28,14.68401
2020-07-29,13.46468
2020-07-30,17.62081
2020-07-31,11.49442
2020-08-01,7.95539
2020-08-02,7.5762
2020-08-03,9.41263
2020-08-04,8.20074
2020-08-05,9.28624
2020-08-06,8.70631
2020-08-07,10.00743
2020-08-08,5.46468
2020-08-09,5.68029
2020-08-10,8.3197
2020-08-11,19.16728
2020-08-12,12.0446
2020-08-13,9.29368
2020-08-14,5.76951
2020-08-15,3.53903
2020-08-16,2.95167
2020-08-17,4.07434
2020-08-18,5.86617
2020-08-19,6.01486
2020-08-20,5.96282
2020-08-21,5.2565
2020-08-22,3.45724
2020-08-23,3.50185
2020-08-24,5.60594
2020-08-25,4.76579
2020-08-26,7.04832
2020-08-27,6.3197
2020-08-28,5.33085
2020-08-29,3.44981
2020-08-30,7.14498
2020-08-31,7.53159
2020-09-01,7.78438
2020-09-02,8.53531
2020-09-03,16.41635
2020-09-04,9.27881
2020-09-05,5.15241
2020-09-06,5.54646
2020-09-07,8.77323
2020-09-08,10.52044
2020-09-09,10.02973
2020-09-10,12.6394
2020-09-11,10.14126
2020-09-12,6.52788
2020-09-13,6.41635
2020-09-14,12.60223
2020-09-15,27.73234
2020-09-16,16.69144
2020-09-17,7.62081
2020-09-18,6.10408
2020-09-19,3.65799
2020-09-20,4.16356
2020-09-21,4.90706
2020-09-22,5.56877
2020-09-23,6.43122
2020-09-24,5.99256
2020-09-25,5.21189
2020-09-26,2.46096
2020-09-27,4.42379
2020-09-28,8.05947
2020-09-29,5.88104
2020-09-30,3.63568
2020-10-01,6.36431
2020-10-02,5.2342
2020-10-03,3.22676
2020-10-04,8.33457
2020-10-05,10.07434
2020-10-06,9.56877
2020-10-07,7.50929
2020-10-08,9.2565
2020-10-09,7.33828
2020-10-10,5.86617
2020-10-11,5.39776
2020-10-12,8.29739
2020-10-13,12.65427
2020-10-14,12.08921
2020-10-15,8.59479
2020-10-16,6.55762
