date,국제금시세
2020-03-20,41.91915
2020-03-21,20.21115
2020-03-22,10.04411
2020-03-23,32.64878
2020-03-24,47.50162
2020-03-25,51.29076
2020-03-26,41.36235
2020-03-27,38.1734
2020-03-28,18.98184
2020-03-29,10.0658
2020-03-30,27.88343
2020-03-31,29.07657
2020-04-01,28.68609
2020-04-02,27.28324
2020-04-03,27.49294
2020-04-04,15.43133
2020-04-05,7.4915
2020-04-06,24.05813
2020-04-07,34.21071
2020-04-08,30.55173
2020-04-09,27.30493
2020-04-10,38.53496
2020-04-11,20.46424
2020-04-12,12.79919
2020-04-13,32.90187
2020-04-14,37.16103
2020-04-15,29.53214
2020-04-16,34.06609
2020-04-17,32.20767
2020-04-18,17.36929
2020-04-19,9.37161
2020-04-20,24.20999
2020-04-21,33.11157
2020-04-22,32.06305
2020-04-23,33.40082
2020-04-24,32.72109
2020-04-25,17.4633
2020-04-26,9.65362
2020-04-27,26.28534
2020-04-28,29.29351
2020-04-29,24.77402
2020-04-30,17.86824
2020-05-01,19.82789
2020-05-02,15.05531
2020-05-03,9.07513
2020-05-04,20.68117
2020-05-05,17.89717
2020-05-06,25.86593
2020-05-07,22.4962
2020-05-08,23.147
2020-05-09,14.03572
2020-05-10,6.72499
2020-05-11,17.17405
2020-05-12,21.20182
2020-05-13,20.63779
2020-05-14,21.31028
2020-05-15,22.98792
2020-05-16,16.29185
2020-05-17,8.22185
2020-05-18,24.78848
2020-05-19,29.18504
2020-05-20,26.03225
2020-05-21,24.92588
2020-05-22,22.99515
2020-05-23,13.6597
2020-05-24,6.77561
2020-05-25,18.98184
2020-05-26,24.26784
2020-05-27,22.48174
2020-05-28,21.41152
2020-05-29,19.72666
2020-05-30,12.71241
2020-05-31,6.66714
2020-06-01,18.32381
2020-06-02,20.99211
2020-06-03,21.25967
2020-06-04,21.07166
2020-06-05,20.46424
2020-06-06,13.11736
2020-06-07,6.21881
2020-06-08,19.49526
2020-06-09,22.35881
2020-06-10,21.11504
2020-06-11,20.70287
2020-06-12,22.72037
2020-06-13,11.59158
2020-06-14,5.27153
2020-06-15,17.60792
2020-06-16,19.98698
2020-06-17,17.81762
2020-06-18,17.02219
2020-06-19,15.77843
2020-06-20,10.0658
2020-06-21,5.02567
2020-06-22,18.43227
2020-06-23,21.87432
2020-06-24,22.92284
2020-06-25,22.17803
2020-06-26,17.53561
2020-06-27,11.51203
2020-06-28,5.48846
2020-06-29,15.59042
2020-06-30,18.39612
2020-07-01,23.87735
2020-07-02,21.62846
2020-07-03,18.55521
2020-07-04,11.54819
2020-07-05,6.07419
2020-07-06,18.23703
2020-07-07,20.34854
2020-07-08,24.39077
2020-07-09,24.8391
2020-07-10,22.46727
2020-07-11,11.82298
2020-07-12,5.89341
2020-07-13,18.40335
2020-07-14,24.85356
2020-07-15,24.33292
2020-07-16,23.19039
2020-07-17,21.97555
2020-07-18,13.1969
2020-07-19,6.29112
2020-07-20,18.99631
2020-07-21,24.06536
2020-07-22,31.25316
2020-07-23,35.63525
2020-07-24,37.21165
2020-07-25,24.42692
2020-07-26,10.5069
2020-07-27,40.97187
2020-07-28,56.38874
2020-07-29,54.95697
2020-07-30,48.69477
2020-07-31,43.27861
2020-08-01,26.06117
2020-08-02,13.60908
2020-08-03,34.5795
2020-08-04,39.34485
2020-08-05,52.831
2020-08-06,54.00968
