date,삼성반도체주가
2020-03-20,100.0
2020-03-21,47.07815
2020-03-22,40.39444
2020-03-23,86.15777
2020-03-24,69.2111
2020-03-25,62.81957
2020-03-26,56.93937
2020-03-27,44.33893
2020-03-28,32.14024
2020-03-29,25.78524
2020-03-30,32.79766
2020-03-31,27.02702
2020-04-01,30.97151
2020-04-02,22.46165
2020-04-03,21.32943
2020-04-04,15.30314
2020-04-05,10.9569
2020-04-06,19.06501
2020-04-07,34.40467
2020-04-08,26.11395
2020-04-09,15.30314
2020-04-10,14.75529
2020-04-11,10.59167
2020-04-12,9.42293
2020-04-13,12.92914
2020-04-14,10.81081
2020-04-15,8.1081
2020-04-16,9.02118
2020-04-17,10.22644
2020-04-18,8.14463
2020-04-19,6.46457
2020-04-20,8.5829
2020-04-21,10.99342
2020-04-22,16.17969
2020-04-23,13.47699
2020-04-24,8.21767
2020-04-25,4.56537
2020-04-26,6.09934
2020-04-27,5.66106
2020-04-28,6.61066
2020-04-29,16.0336
2020-04-30,6.97589
2020-05-01,5.47845
2020-05-02,4.78451
2020-05-03,4.41928
2020-05-04,5.14974
2020-05-05,5.77063
2020-05-06,8.21767
2020-05-07,6.20891
2020-05-08,4.16362
2020-05-09,3.72534
2020-05-10,4.41928
2020-05-11,6.02629
2020-05-12,6.93937
2020-05-13,7.1585
2020-05-14,6.09934
2020-05-15,4.38276
2020-05-16,4.85756
2020-05-17,3.25054
2020-05-18,5.84368
2020-05-19,5.69758
2020-05-20,4.05405
2020-05-21,4.78451
2020-05-22,5.11322
2020-05-23,2.26442
2020-05-24,1.68005
2020-05-25,4.27319
2020-05-26,3.90796
2020-05-27,4.71146
2020-05-28,4.52885
2020-05-29,3.981
2020-05-30,2.92184
2020-05-31,3.57925
2020-06-01,9.67859
2020-06-02,10.33601
2020-06-03,10.44558
2020-06-04,7.99853
2020-06-05,6.06281
2020-06-06,4.89408
2020-06-07,4.30971
2020-06-08,6.8298
2020-06-09,6.39152
2020-06-10,5.55149
2020-06-11,6.42804
2020-06-12,5.11322
2020-06-13,2.62965
2020-06-14,2.99488
2020-06-15,5.55149
2020-06-16,3.39663
2020-06-17,3.90796
2020-06-18,2.92184
2020-06-19,3.36011
2020-06-20,1.93571
2020-06-21,2.11833
2020-06-22,3.6523
2020-06-23,4.01753
2020-06-24,4.74799
2020-06-25,6.13586
2020-06-26,4.71146
2020-06-27,2.81227
2020-06-28,2.55661
2020-06-29,4.27319
2020-06-30,4.52885
2020-07-01,4.9306
2020-07-02,4.9306
2020-07-03,7.66983
2020-07-04,3.14097
2020-07-05,4.05405
