date,계좌개설
2020-03-20,41.25683
2020-03-21,18.57923
2020-03-22,19.3989
2020-03-23,45.35519
2020-03-24,46.44808
2020-03-25,46.72131
2020-03-26,42.34972
2020-03-27,39.07103
2020-03-28,21.85792
2020-03-29,15.84699
2020-03-30,39.61748
2020-03-31,43.98907
2020-04-01,37.43169
2020-04-02,40.16393
2020-04-03,31.14754
2020-04-04,15.02732
2020-04-05,17.21311
2020-04-06,35.51912
2020-04-07,39.34426
2020-04-08,34.69945
2020-04-09,34.153
2020-04-10,31.69398
2020-04-11,13.6612
2020-04-12,16.12021
2020-04-13,34.97267
2020-04-14,31.69398
2020-04-15,18.30601
2020-04-16,39.61748
2020-04-17,28.14207
2020-04-18,12.29508
2020-04-19,12.02185
2020-04-20,39.89071
2020-04-21,38.52459
2020-04-22,28.68852
2020-04-23,36.06557
2020-04-24,27.3224
2020-04-25,12.5683
2020-04-26,15.57377
2020-04-27,28.4153
2020-04-28,25.95628
2020-04-29,26.2295
2020-04-30,14.75409
2020-05-01,15.30054
2020-05-02,12.02185
2020-05-03,12.5683
2020-05-04,34.42622
2020-05-05,13.93442
2020-05-06,31.69398
2020-05-07,32.51366
2020-05-08,21.85792
2020-05-09,9.83606
2020-05-10,14.48087
2020-05-11,33.60655
2020-05-12,31.42076
2020-05-13,22.67759
2020-05-14,29.78142
2020-05-15,27.3224
2020-05-16,12.29508
2020-05-17,9.83606
2020-05-18,31.96721
2020-05-19,27.3224
2020-05-20,24.59016
2020-05-21,22.40437
2020-05-22,24.04371
2020-05-23,7.37704
2020-05-24,13.11475
2020-05-25,27.86885
2020-05-26,31.42076
2020-05-27,22.40437
2020-05-28,24.31693
2020-05-29,21.31147
2020-05-30,9.83606
2020-05-31,14.75409
2020-06-01,28.96174
2020-06-02,22.95081
2020-06-03,24.04371
2020-06-04,23.22404
2020-06-05,21.31147
2020-06-06,9.56284
2020-06-07,10.92896
2020-06-08,29.50819
2020-06-09,30.60109
2020-06-10,26.77595
2020-06-11,24.86338
2020-06-12,21.85792
2020-06-13,9.28961
2020-06-14,12.5683
2020-06-15,28.4153
2020-06-16,25.40983
2020-06-17,23.77049
2020-06-18,22.95081
2020-06-19,22.13114
2020-06-20,9.83606
2020-06-21,11.74863
2020-06-22,27.59562
2020-06-23,27.04918
2020-06-24,26.50273
2020-06-25,19.12568
2020-06-26,22.95081
2020-06-27,9.01639
2020-06-28,12.29508
2020-06-29,25.95628
2020-06-30,30.05464
2020-07-01,31.42076
2020-07-02,31.14754
2020-07-03,20.4918
2020-07-04,10.65573
2020-07-05,16.93989
2020-07-06,33.87978
2020-07-07,25.13661
2020-07-08,23.77049
2020-07-09,25.40983
2020-07-10,27.3224
2020-07-11,15.02732
2020-07-12,15.02732
2020-07-13,30.87431
2020-07-14,31.69398
2020-07-15,34.153
2020-07-16,27.04918
2020-07-17,22.95081
2020-07-18,13.6612
2020-07-19,12.29508
2020-07-20,30.32786
2020-07-21,28.4153
2020-07-22,28.96174
2020-07-23,28.68852
2020-07-24,25.68306
2020-07-25,13.6612
2020-07-26,11.20218
2020-07-27,25.68306
2020-07-28,28.4153
2020-07-29,27.04918
2020-07-30,27.86885
2020-07-31,28.68852
2020-08-01,13.11475
2020-08-02,15.02732
2020-08-03,24.59016
2020-08-04,27.59562
2020-08-05,27.59562
2020-08-06,23.49726
2020-08-07,19.67213
2020-08-08,11.20218
2020-08-09,14.75409
2020-08-10,30.05464
2020-08-11,29.78142
2020-08-12,29.50819
2020-08-13,18.57923
2020-08-14,28.4153
2020-08-15,15.84699
2020-08-16,11.4754
2020-08-17,13.93442
2020-08-18,28.68852
