date,비과세예금
2020-03-20,9.9734
2020-03-21,3.7234
2020-03-22,3.85638
2020-03-23,8.77659
2020-03-24,8.24468
2020-03-25,9.70744
2020-03-26,11.17021
2020-03-27,9.9734
2020-03-28,4.38829
2020-03-29,3.98936
2020-03-30,10.23936
2020-03-31,10.37234
2020-04-01,8.64361
2020-04-02,7.31382
2020-04-03,8.51063
2020-04-04,3.7234
2020-04-05,3.59042
2020-04-06,6.91489
2020-04-07,7.18085
2020-04-08,7.84574
2020-04-09,6.51595
2020-04-10,6.78191
2020-04-11,4.52127
2020-04-12,4.25531
2020-04-13,7.97872
2020-04-14,6.78191
2020-04-15,6.78191
2020-04-16,8.1117
2020-04-17,7.84574
2020-04-18,3.98936
2020-04-19,4.52127
2020-04-20,6.91489
2020-04-21,7.97872
2020-04-22,9.44148
2020-04-23,8.64361
2020-04-24,8.37765
2020-04-25,3.98936
2020-04-26,4.12234
2020-04-27,7.18085
2020-04-28,7.57978
2020-04-29,7.84574
2020-04-30,4.25531
2020-05-01,3.7234
2020-05-02,1.8617
2020-05-03,4.25531
2020-05-04,8.90957
2020-05-05,6.78191
2020-05-06,8.24468
2020-05-07,5.85106
2020-05-08,7.31382
2020-05-09,5.31914
2020-05-10,3.59042
2020-05-11,7.71276
2020-05-12,9.57446
2020-05-13,7.04787
2020-05-14,9.44148
2020-05-15,8.37765
2020-05-16,5.05319
2020-05-17,3.98936
2020-05-18,9.30851
2020-05-19,8.24468
2020-05-20,7.31382
2020-05-21,7.18085
2020-05-22,6.64893
2020-05-23,4.12234
2020-05-24,4.78723
2020-05-25,9.44148
2020-05-26,7.57978
2020-05-27,4.25531
2020-05-28,5.5851
2020-05-29,6.38297
2020-05-30,4.25531
2020-05-31,5.05319
2020-06-01,7.31382
2020-06-02,7.57978
2020-06-03,7.18085
2020-06-04,7.97872
2020-06-05,6.38297
2020-06-06,2.12765
2020-06-07,2.65957
2020-06-08,5.5851
2020-06-09,5.05319
2020-06-10,5.31914
2020-06-11,5.31914
2020-06-12,3.98936
2020-06-13,1.99468
2020-06-14,2.92553
2020-06-15,3.59042
2020-06-16,5.18617
2020-06-17,3.45744
2020-06-18,4.92021
2020-06-19,5.71808
2020-06-20,0.79787
2020-06-21,3.45744
2020-06-22,5.98404
2020-06-23,2.52659
2020-06-24,5.71808
2020-06-25,8.24468
2020-06-26,6.51595
2020-06-27,2.12765
2020-06-28,2.65957
2020-06-29,7.04787
2020-06-30,5.31914
2020-07-01,5.5851
2020-07-02,6.78191
2020-07-03,5.45212
2020-07-04,2.65957
2020-07-05,1.32978
2020-07-06,5.98404
2020-07-07,4.12234
2020-07-08,6.11702
2020-07-09,4.25531
2020-07-10,5.05319
2020-07-11,1.8617
2020-07-12,1.99468
2020-07-13,5.98404
2020-07-14,5.18617
2020-07-15,4.38829
2020-07-16,5.71808
2020-07-17,4.12234
2020-07-18,1.06382
