date,채권수익률계산
2023-01-08,45.61403
2023-01-09,63.15789
2023-01-10,70.17543
2023-01-11,61.4035
2023-01-12,49.1228
2023-01-13,54.38596
2023-01-14,19.29824
2023-01-15,22.80701
2023-01-16,40.35087
2023-01-17,57.89473
2023-01-18,47.36842
2023-01-19,17.54385
2023-01-20,54.38596
2023-01-22,14.03508
2023-01-23,28.07017
2023-01-24,28.07017
2023-01-25,71.92982
2023-01-26,36.8421
2023-01-27,33.33333
2023-01-28,35.08771
2023-01-29,19.29824
2023-01-30,40.35087
2023-01-31,38.59649
2023-02-01,29.82456
2023-02-02,42.10526
2023-02-03,42.10526
2023-02-04,22.80701
2023-02-05,28.07017
2023-02-06,40.35087
2023-02-07,63.15789
2023-02-08,38.59649
2023-02-09,36.8421
2023-02-10,47.36842
2023-02-11,42.10526
2023-02-12,28.07017
2023-02-13,19.29824
2023-02-14,54.38596
2023-02-15,61.4035
2023-02-16,31.57894
2023-02-17,43.85964
2023-02-18,35.08771
2023-02-19,8.77192
2023-02-20,56.14035
2023-02-21,42.10526
2023-02-22,42.10526
2023-02-23,42.10526
2023-02-24,42.10526
2023-02-25,26.31578
2023-02-26,22.80701
2023-02-27,45.61403
2023-02-28,43.85964
2023-03-01,42.10526
2023-03-02,54.38596
2023-03-03,63.15789
2023-03-04,26.31578
2023-03-05,19.29824
2023-03-06,45.61403
2023-03-07,63.15789
2023-03-08,47.36842
2023-03-09,49.1228
2023-03-10,49.1228
2023-03-11,19.29824
2023-03-12,49.1228
2023-03-13,56.14035
2023-03-14,92.98245
2023-03-15,100.0
2023-03-16,52.63157
2023-03-17,75.43859
2023-03-18,56.14035
2023-03-19,17.54385
2023-03-20,47.36842
2023-03-21,63.15789
2023-03-22,61.4035
2023-03-23,68.42105
2023-03-24,64.91228
2023-03-25,28.07017
2023-03-26,54.38596
2023-03-27,70.17543
2023-03-28,68.42105
2023-03-29,75.43859
2023-03-30,59.64912
2023-03-31,50.87719
2023-04-01,22.80701
2023-04-02,24.5614
2023-04-03,47.36842
2023-04-04,45.61403
2023-04-05,52.63157
2023-04-06,26.31578
2023-04-07,52.63157
2023-04-08,40.35087
2023-04-09,40.35087
2023-04-10,31.57894
2023-04-11,73.68421
2023-04-12,52.63157
2023-04-13,56.14035
2023-04-14,63.15789
2023-04-15,45.61403
2023-04-16,28.07017
2023-04-17,61.4035
2023-04-18,68.42105
2023-04-19,66.66666
2023-04-20,82.45614
2023-04-21,50.87719
2023-04-22,29.82456
2023-04-23,17.54385
2023-04-24,56.14035
2023-04-25,57.89473
2023-04-26,42.10526
2023-04-27,52.63157
2023-04-28,28.07017
2023-04-30,17.54385
2023-05-01,10.52631
2023-05-02,66.66666
2023-05-03,22.80701
2023-05-04,31.57894
2023-05-05,21.05263
2023-05-06,26.31578
2023-05-07,26.31578
2023-05-08,42.10526
2023-05-09,29.82456
2023-05-10,66.66666
2023-05-11,50.87719
2023-05-12,43.85964
2023-05-14,12.2807
2023-05-15,42.10526
2023-05-16,29.82456
2023-05-17,31.57894
2023-05-18,66.66666
2023-05-19,54.38596
2023-05-20,21.05263
2023-05-21,24.5614
2023-05-22,45.61403
2023-05-23,28.07017
2023-05-24,70.17543
2023-05-25,29.82456
2023-05-26,38.59649
2023-05-27,28.07017
2023-05-28,10.52631
2023-05-29,26.31578
2023-05-30,64.91228
2023-05-31,49.1228
2023-06-01,52.63157
2023-06-02,35.08771
2023-06-03,24.5614
2023-06-04,15.78947
2023-06-05,54.38596
2023-06-06,38.59649
2023-06-07,31.57894
2023-06-08,35.08771
2023-06-09,50.87719
2023-06-10,12.2807
2023-06-11,38.59649
2023-06-12,52.63157
2023-06-13,52.63157
2023-06-14,38.59649
2023-06-15,49.1228
2023-06-16,35.08771
2023-06-17,22.80701
2023-06-18,21.05263
2023-06-19,40.35087
2023-06-20,40.35087
2023-06-21,47.36842
2023-06-22,38.59649
2023-06-23,33.33333
2023-06-25,21.05263
2023-06-26,33.33333
2023-06-27,24.5614
2023-06-28,35.08771
2023-06-29,42.10526
2023-06-30,17.54385
2023-07-02,26.31578
2023-07-03,33.33333
2023-07-04,43.85964
2023-07-05,50.87719
2023-07-06,26.31578
2023-07-07,29.82456
2023-07-08,21.05263
2023-07-09,21.05263
2023-07-10,31.57894
2023-07-11,47.36842
2023-07-12,19.29824
2023-07-13,59.64912
2023-07-14,42.10526
2023-07-15,15.78947
2023-07-17,24.5614
2023-07-18,29.82456
2023-07-19,36.8421
2023-07-20,45.61403
2023-07-21,15.78947
2023-07-22,17.54385
2023-07-23,14.03508
2023-07-24,15.78947
2023-07-25,19.29824
2023-07-26,49.1228
2023-07-27,28.07017
2023-07-28,26.31578
2023-07-29,24.5614
2023-07-30,10.52631
2023-07-31,36.8421
2023-08-01,47.36842
2023-08-02,38.59649
2023-08-03,54.38596
2023-08-04,33.33333
2023-08-05,17.54385
2023-08-06,21.05263
2023-08-07,42.10526
2023-08-08,47.36842
2023-08-09,35.08771
2023-08-10,45.61403
2023-08-11,26.31578
2023-08-12,8.77192
2023-08-13,17.54385
2023-08-14,26.31578
2023-08-15,12.2807
2023-08-16,54.38596
2023-08-17,54.38596
2023-08-18,35.08771
2023-08-19,21.05263
2023-08-21,50.87719
2023-08-22,36.8421
2023-08-23,50.87719
2023-08-24,35.08771
2023-08-25,38.59649
2023-08-26,12.2807
2023-08-28,43.85964
2023-08-29,38.59649
2023-08-30,49.1228
2023-08-31,36.8421
2023-09-01,50.87719
2023-09-02,10.52631
2023-09-03,28.07017
2023-09-04,47.36842
2023-09-05,52.63157
2023-09-06,40.35087
2023-09-07,43.85964
2023-09-08,29.82456
2023-09-09,15.78947
2023-09-10,26.31578
2023-09-11,42.10526
2023-09-12,56.14035
2023-09-13,40.35087
2023-09-14,26.31578
2023-09-15,54.38596
2023-09-16,17.54385
2023-09-17,15.78947
2023-09-18,28.07017
2023-09-19,61.4035
2023-09-20,71.92982
2023-09-21,43.85964
2023-09-22,52.63157
