date,미국주식수수료
2020-03-20,30.39548
2020-03-21,24.29378
2020-03-22,21.8079
2020-03-23,25.42372
2020-03-24,32.20338
2020-03-25,43.27683
2020-03-26,33.8983
2020-03-27,38.19209
2020-03-28,24.29378
2020-03-29,21.35593
2020-03-30,27.11864
2020-03-31,30.84745
2020-04-01,29.8305
2020-04-02,25.08474
2020-04-03,29.26553
2020-04-04,24.06779
2020-04-05,17.28813
2020-04-06,31.9774
2020-04-07,42.48587
2020-04-08,47.34463
2020-04-09,43.61581
2020-04-10,31.8644
2020-04-11,20.33898
2020-04-12,15.8192
2020-04-13,20.45197
2020-04-14,33.33333
2020-04-15,43.72881
2020-04-16,32.65536
2020-04-17,40.0
2020-04-18,29.49152
2020-04-19,18.07909
2020-04-20,25.8757
2020-04-21,23.61581
2020-04-22,27.45762
2020-04-23,22.59887
2020-04-24,22.25988
2020-04-25,17.28813
2020-04-26,12.88135
2020-04-27,21.8079
2020-04-28,23.8418
2020-04-29,27.57062
2020-04-30,43.38983
2020-05-01,28.70056
2020-05-02,18.19209
2020-05-03,12.99435
2020-05-04,15.25423
2020-05-05,22.93785
2020-05-06,23.61581
2020-05-07,16.27118
2020-05-08,15.70621
2020-05-09,20.45197
2020-05-10,9.03954
2020-05-11,14.80225
2020-05-12,19.77401
2020-05-13,13.78531
2020-05-14,11.75141
2020-05-15,10.50847
2020-05-16,11.41242
2020-05-17,8.36158
2020-05-18,14.80225
2020-05-19,21.9209
2020-05-20,16.15819
2020-05-21,20.90395
2020-05-22,15.70621
2020-05-23,9.60451
2020-05-24,8.81355
2020-05-25,10.62146
2020-05-26,21.46892
2020-05-27,20.33898
2020-05-28,18.30508
2020-05-29,13.44632
2020-05-30,11.29943
2020-05-31,10.28248
2020-06-01,12.42937
2020-06-02,18.19209
2020-06-03,22.37288
2020-06-04,25.19774
2020-06-05,34.46327
2020-06-06,29.26553
2020-06-07,19.66101
2020-06-08,33.78531
2020-06-09,53.67231
2020-06-10,33.22033
2020-06-11,28.02259
2020-06-12,26.77966
2020-06-13,17.28813
2020-06-14,10.39548
