date,생명보험
2020-03-20,60.74007
2020-03-21,39.62093
2020-03-22,38.17689
2020-03-23,67.59927
2020-03-24,71.29963
2020-03-25,75.63176
2020-03-26,64.80144
2020-03-27,54.24187
2020-03-28,35.83032
2020-03-29,39.44043
2020-03-30,62.72563
2020-03-31,63.08664
2020-04-01,50.99277
2020-04-02,53.51985
2020-04-03,46.11913
2020-04-04,28.79061
2020-04-05,25.54151
2020-04-06,54.78339
2020-04-07,50.63176
2020-04-08,56.6787
2020-04-09,58.574
2020-04-10,72.29241
2020-04-11,37.63537
2020-04-12,41.9675
2020-04-13,61.64259
2020-04-14,56.13718
2020-04-15,33.48375
2020-04-16,53.88086
2020-04-17,53.4296
2020-04-18,48.73646
2020-04-19,69.31407
2020-04-20,75.72202
2020-04-21,61.8231
2020-04-22,64.07942
2020-04-23,62.27436
2020-04-24,55.95667
2020-04-25,39.89169
2020-04-26,47.56317
2020-04-27,100.0
2020-04-28,58.48375
2020-04-29,51.44404
2020-04-30,33.12274
2020-05-01,37.81588
2020-05-02,26.08303
2020-05-03,32.67148
2020-05-04,52.61732
2020-05-05,40.0722
2020-05-06,50.90252
2020-05-07,51.35379
2020-05-08,47.92418
2020-05-09,32.12996
2020-05-10,32.22021
2020-05-11,58.30324
2020-05-12,54.06137
2020-05-13,54.96389
2020-05-14,58.574
2020-05-15,58.66425
2020-05-16,32.49097
2020-05-17,36.19133
2020-05-18,60.37906
2020-05-19,61.19133
2020-05-20,58.03249
2020-05-21,60.19855
2020-05-22,62.36462
2020-05-23,42.05776
2020-05-24,35.01805
2020-05-25,68.95306
2020-05-26,69.22382
2020-05-27,57.22021
2020-05-28,62.99638
2020-05-29,47.56317
2020-05-30,31.94945
2020-05-31,38.3574
2020-06-01,60.2888
2020-06-02,57.58122
2020-06-03,57.49097
2020-06-04,45.2166
2020-06-05,50.45126
2020-06-06,30.41516
2020-06-07,30.1444
2020-06-08,53.15884
2020-06-09,57.85198
2020-06-10,56.8592
2020-06-11,50.72202
2020-06-12,51.62454
2020-06-13,36.55234
2020-06-14,34.02527
2020-06-15,56.49819
2020-06-16,58.21299
2020-06-17,58.30324
2020-06-18,59.56678
2020-06-19,58.3935
2020-06-20,36.10108
2020-06-21,33.574
2020-06-22,73.6462
2020-06-23,64.44043
2020-06-24,64.98194
2020-06-25,60.46931
2020-06-26,53.4296
2020-06-27,29.33212
2020-06-28,29.33212
2020-06-29,59.56678
2020-06-30,57.76173
2020-07-01,52.07581
2020-07-02,47.11191
2020-07-03,46.9314
2020-07-04,32.85198
2020-07-05,31.49819
2020-07-06,52.88808
2020-07-07,53.79061
2020-07-08,53.4296
2020-07-09,49.90974
