date,라오스환율
2020-03-20,3.66729
2020-03-21,4.38563
2020-03-22,4.83931
2020-03-23,6.91871
2020-03-24,5.21739
2020-03-25,4.2344
2020-03-26,4.2344
2020-03-27,5.17958
2020-03-28,13.53497
2020-03-29,9.79206
2020-03-30,4.87712
2020-03-31,4.65028
2020-04-01,4.57466
2020-04-02,8.24196
2020-04-03,5.59546
2020-04-04,3.40264
2020-04-05,11.30434
2020-04-06,4.19659
2020-04-07,3.59168
2020-04-08,3.7051
2020-04-09,4.19659
2020-04-10,3.62948
2020-04-11,4.34782
2020-04-12,5.44423
2020-04-13,4.31001
2020-04-14,5.21739
2020-04-15,4.42344
2020-04-16,4.49905
2020-04-17,4.99054
2020-04-18,8.35538
2020-04-19,12.36294
2020-04-20,6.50283
2020-04-21,8.09073
2020-04-22,8.09073
2020-04-23,9.30056
2020-04-24,7.25897
2020-04-25,8.16635
2020-04-26,7.3724
2020-04-27,6.8809
2020-04-28,5.55765
2020-04-29,6.54064
2020-04-30,6.80529
2020-05-01,4.87712
2020-05-02,6.31379
2020-05-03,5.17958
2020-05-04,11.34215
2020-05-05,6.76748
2020-05-06,11.34215
2020-05-07,11.75803
2020-05-08,4.15879
2020-05-09,4.68809
2020-05-10,5.02835
2020-05-11,4.42344
2020-05-12,4.91493
2020-05-13,3.81852
2020-05-14,4.19659
2020-05-15,4.83931
2020-05-16,3.85633
2020-05-17,4.83931
2020-05-18,5.02835
2020-05-19,5.21739
2020-05-20,3.74291
2020-05-21,3.93194
2020-05-22,3.78071
2020-05-23,3.10018
2020-05-24,5.74669
2020-05-25,4.68809
2020-05-26,5.02835
2020-05-27,4.00756
2020-05-28,8.9603
2020-05-29,3.96975
2020-05-30,3.21361
2020-05-31,4.31001
2020-06-01,3.96975
2020-06-02,4.08317
2020-06-03,4.00756
2020-06-04,3.51606
2020-06-05,4.08317
2020-06-06,3.66729
2020-06-07,4.27221
2020-06-08,4.00756
2020-06-09,5.44423
2020-06-10,3.06238
2020-06-11,4.27221
2020-06-12,3.55387
2020-06-13,2.83553
2020-06-14,3.06238
2020-06-15,3.1758
2020-06-16,2.72211
2020-06-17,3.13799
2020-06-18,3.13799
2020-06-19,3.13799
2020-06-20,2.34404
2020-06-21,3.10018
2020-06-22,3.66729
2020-06-23,2.87334
2020-06-24,3.28922
2020-06-25,3.13799
2020-06-26,3.06238
2020-06-27,1.96597
2020-06-28,2.19281
2020-06-29,3.36483
2020-06-30,6.31379
2020-07-01,4.46124
2020-07-02,4.7637
2020-07-03,3.10018
2020-07-04,2.41965
2020-07-05,2.87334
2020-07-06,2.91115
2020-07-07,2.75992
2020-07-08,2.98676
2020-07-09,4.19659
2020-07-10,3.28922
2020-07-11,5.59546
2020-07-12,3.89413
2020-07-13,4.83931
2020-07-14,3.93194
2020-07-15,5.48204
2020-07-16,4.80151
2020-07-17,4.12098
2020-07-18,4.83931
2020-07-19,5.293
2020-07-20,3.40264
2020-07-21,3.7051
2020-07-22,3.25141
2020-07-23,4.42344
2020-07-24,3.85633
2020-07-25,3.81852
2020-07-26,5.06616
2020-07-27,4.12098
2020-07-28,4.83931
2020-07-29,4.7637
2020-07-30,5.293
2020-07-31,5.93572
2020-08-01,5.02835
2020-08-02,6.42722
2020-08-03,7.06994
2020-08-04,10.92627
2020-08-05,10.24574
2020-08-06,7.14555
2020-08-07,4.7637
2020-08-08,5.10396
2020-08-09,4.87712
2020-08-10,7.14555
2020-08-11,4.99054
2020-08-12,3.62948
2020-08-13,3.85633
2020-08-14,3.81852
2020-08-15,2.87334
2020-08-16,3.40264
2020-08-17,3.47826
2020-08-18,4.38563
2020-08-19,4.2344
2020-08-20,4.34782
2020-08-21,2.91115
2020-08-22,4.38563
2020-08-23,10.47258
2020-08-24,5.06616
2020-08-25,5.02835
2020-08-26,4.27221
2020-08-27,4.72589
2020-08-28,4.2344
2020-08-29,14.2155
2020-08-30,5.89792
2020-08-31,5.17958
2020-09-01,6.08695
2020-09-02,5.33081
2020-09-03,5.51984
2020-09-04,14.06427
2020-09-05,11.26654
2020-09-06,12.43856
2020-09-07,13.00567
2020-09-08,10.17013
2020-09-09,8.35538
2020-09-10,8.88468
2020-09-11,8.09073
2020-09-12,6.38941
2020-09-13,6.65406
2020-09-14,5.17958
2020-09-15,6.61625
2020-09-16,5.93572
2020-09-17,5.44423
2020-09-18,3.74291
2020-09-19,5.48204
2020-09-20,4.57466
2020-09-21,8.77126
2020-09-22,5.14177
2020-09-23,5.25519
2020-09-24,4.95274
2020-09-25,3.44045
2020-09-26,5.10396
2020-09-27,4.15879
2020-09-28,4.42344
2020-09-29,4.95274
2020-09-30,7.3724
2020-10-01,5.70888
2020-10-02,4.31001
2020-10-03,6.99432
2020-10-04,6.46502
2020-10-05,5.44423
2020-10-06,4.7637
2020-10-07,5.06616
2020-10-08,3.85633
2020-10-09,3.78071
2020-10-10,3.81852
2020-10-11,4.42344
2020-10-12,3.10018
2020-10-13,4.42344
2020-10-14,4.65028
2020-10-15,2.94896
2020-10-16,2.6465
2020-10-17,3.85633
2020-10-18,4.15879
2020-10-19,3.21361
2020-10-20,3.7051
2020-10-21,5.17958
2020-10-22,4.27221
2020-10-23,4.53686
2020-10-24,3.66729
2020-10-25,38.86578
2020-10-26,18.63894
2020-10-27,16.18147
2020-10-28,5.21739
2020-10-29,5.06616
2020-10-30,5.67107
2020-10-31,4.31001
2020-11-01,5.89792
2020-11-02,4.7637
2020-11-03,4.04536
2020-11-04,4.2344
2020-11-05,3.93194
2020-11-06,3.44045
2020-11-07,2.38185
2020-11-08,4.53686
2020-11-09,5.17958
2020-11-10,4.15879
2020-11-11,4.34782
2020-11-12,4.04536
2020-11-13,5.10396
2020-11-14,3.96975
2020-11-15,4.31001
2020-11-16,4.19659
2020-11-17,4.57466
2020-11-18,4.38563
2020-11-19,4.15879
2020-11-20,6.72967
2020-11-21,3.21361
2020-11-22,7.33459
2020-11-23,5.14177
2020-11-24,3.78071
2020-11-25,4.80151
2020-11-26,4.38563
2020-11-27,4.38563
2020-11-28,5.40642
2020-11-29,5.14177
2020-11-30,5.21739
2020-12-01,4.15879
2020-12-02,4.38563
2020-12-03,4.91493
2020-12-04,4.83931
2020-12-05,4.49905
2020-12-06,5.44423
2020-12-07,6.42722
2020-12-08,5.78449
2020-12-09,4.2344
2020-12-10,4.68809
2020-12-11,5.40642
2020-12-12,13.27032
2020-12-13,4.65028
2020-12-14,14.55576
2020-12-15,8.58223
2020-12-16,5.97353
2020-12-17,5.36862
2020-12-18,3.96975
2020-12-19,5.59546
2020-12-20,4.95274
2020-12-21,5.51984
2020-12-22,5.14177
2020-12-23,6.69187
2020-12-24,4.38563
2020-12-25,4.87712
2020-12-26,5.97353
2020-12-27,7.63705
2020-12-28,6.65406
2020-12-29,5.86011
2020-12-30,7.03213
2020-12-31,7.4102
2021-01-01,6.91871
2021-01-02,8.50661
2021-01-03,6.95652
2021-01-04,7.71266
2021-01-05,7.59924
2021-01-06,11.37996
2021-01-07,9.64083
2021-01-08,9.03591
2021-01-09,10.51039
2021-01-10,9.4896
2021-01-11,7.52362
2021-01-12,6.8809
2021-01-13,8.54442
2021-01-14,6.42722
2021-01-15,6.46502
2021-01-16,5.93572
2021-01-17,7.25897
2021-01-18,6.38941
2021-01-19,6.23818
2021-01-20,6.23818
2021-01-21,21.20982
2021-01-22,20.60491
2021-01-23,11.83364
2021-01-24,9.41398
2021-01-25,6.46502
2021-01-26,8.88468
2021-01-27,10.0189
