date,미국국채10년
2020-03-20,0.01512
2020-04-08,0.01512
2020-05-07,0.01512
2020-06-14,0.01512
2020-08-25,0.02419
2020-08-26,0.02419
2020-08-28,0.01814
2020-09-01,0.03327
2020-09-02,0.01512
2020-09-22,0.01814
2020-11-25,0.01814
2020-12-03,0.03024
2020-12-13,0.01512
2020-12-25,0.01512
2020-12-28,0.01814
2020-12-29,0.01512
2020-12-30,0.04536
2020-12-31,0.01814
2021-01-03,0.01512
2021-01-05,0.03629
2021-01-06,0.09376
2021-01-07,0.10586
2021-01-08,0.10586
2021-01-09,0.08771
2021-01-10,0.08771
2021-01-11,0.1482
2021-01-12,0.28733
2021-01-13,0.09073
2021-01-14,0.09376
2021-01-15,0.07561
2021-01-16,0.06654
2021-01-17,0.02117
2021-01-18,0.04839
2021-01-19,0.10888
2021-01-20,0.05141
2021-01-21,0.01512
2021-01-22,0.04536
2021-01-25,0.05141
2021-01-26,0.07864
2021-01-27,0.06351
2021-01-28,0.05444
2021-01-29,0.04839
2021-01-30,0.06049
2021-01-31,0.02419
2021-02-01,0.02419
2021-02-02,0.01512
2021-02-04,0.05141
2021-02-05,0.05141
2021-02-06,0.01512
2021-02-07,0.01512
2021-02-08,0.05141
2021-02-09,0.03932
2021-02-10,0.01814
2021-02-12,0.03629
2021-02-13,0.02117
2021-02-14,0.03327
2021-02-17,0.124
2021-02-18,0.09981
2021-02-19,0.10586
2021-02-20,0.04536
2021-02-21,0.03932
2021-02-22,0.11191
2021-02-23,0.14215
2021-02-24,0.15425
2021-02-25,0.19962
2021-02-26,44.09896
2021-02-27,38.57903
2021-02-28,19.62676
2021-03-01,29.07567
2021-03-02,26.97961
2021-03-03,20.73377
2021-03-04,50.05746
2021-03-05,56.55737
2021-03-06,23.81283
2021-03-07,11.81114
2021-03-08,29.54449
2021-03-09,38.62742
2021-03-10,39.40777
2021-03-11,25.43705
2021-03-12,33.15891
2021-03-13,21.64115
2021-03-14,14.61496
2021-03-15,22.51224
2021-03-16,19.00973
2021-03-17,16.4872
2021-03-18,31.18686
2021-03-19,39.19
2021-03-20,13.8709
2021-03-21,9.17367
2021-03-22,16.72615
2021-03-23,16.44788
2021-03-24,12.19526
2021-03-25,10.56802
2021-03-26,7.53735
2021-03-27,5.14185
2021-03-28,4.70933
2021-03-29,7.18649
2021-03-30,11.18202
2021-03-31,10.86746
2021-04-01,8.19067
2021-04-02,7.24094
2021-04-03,5.64999
2021-04-04,4.89686
2021-04-05,7.92753
2021-04-06,7.60692
2021-04-07,6.3154
2021-04-08,4.85451
2021-04-09,5.08136
2021-04-10,4.30101
2021-04-11,4.02879
2021-04-12,6.59669
2021-04-13,5.61067
2021-04-14,5.34752
2021-04-15,4.83636
2021-04-16,6.17627
2021-04-17,6.16115
2021-04-18,5.98269
2021-04-19,7.19859
2021-04-20,7.66438
2021-04-21,7.15322
2021-04-22,5.00574
2021-04-23,4.56717
2021-04-24,2.7887
2021-04-25,3.09418
2021-04-26,5.04506
2021-04-27,4.9271
2021-04-28,7.39822
2021-04-29,6.08856
2021-04-30,5.64091
2021-05-01,3.34523
2021-05-02,2.46809
2021-05-03,4.03484
2021-05-04,4.86358
2021-05-05,5.93128
2021-05-06,4.65791
2021-05-07,3.90478
2021-05-08,3.3664
2021-05-09,2.50136
2021-05-10,4.44014
2021-05-11,7.64019
2021-05-12,7.62506
2021-05-13,11.86256
2021-05-14,6.39707
2021-05-15,3.25449
2021-05-16,3.03671
2021-05-17,5.74677
2021-05-18,5.45943
2021-05-19,5.9464
2021-05-20,6.76607
2021-05-21,5.02994
2021-05-22,2.7161
2021-05-23,2.05069
2021-05-24,4.37662
2021-05-25,5.3082
2021-05-26,6.3517
2021-05-27,6.03714
2021-05-28,5.21142
2021-05-29,2.71913
2021-05-30,2.02347
2021-05-31,3.08813
2021-06-01,5.52295
2021-06-02,5.25376
2021-06-03,5.3445
2021-06-04,5.5532
2021-06-05,4.25261
2021-06-06,4.18909
2021-06-07,5.15395
2021-06-08,4.98154
2021-06-09,5.55017
2021-06-10,7.2984
2021-06-11,6.56342
2021-06-12,3.38757
2021-06-13,2.46506
2021-06-14,5.33845
2021-06-15,6.40614
2021-06-16,5.42314
2021-06-17,9.26743
2021-06-18,7.23186
2021-06-19,4.93618
2021-06-20,2.81894
2021-06-21,8.84096
2021-06-22,7.46778
2021-06-23,5.27796
2021-06-24,5.5653
2021-06-25,4.51273
2021-06-26,4.01972
2021-06-27,2.61327
2021-06-28,4.90593
2021-06-29,5.82541
2021-06-30,4.71235
2021-07-01,5.68931
2021-07-02,4.57322
2021-07-03,3.06394
2021-07-04,2.36827
2021-07-05,3.9199
2021-07-06,4.67001
2021-07-07,7.9245
2021-07-08,9.43379
2021-07-09,10.51055
2021-07-10,5.78307
2021-07-11,3.64466
2021-07-12,8.19974
2021-07-13,8.73812
2021-07-14,9.13435
2021-07-15,6.57854
2021-07-16,5.87078
2021-07-17,3.61744
2021-07-18,2.31685
2021-07-19,9.44286
2021-07-20,13.51702
2021-07-21,9.63039
2021-07-22,9.16762
2021-07-23,7.05946
2021-07-24,3.50553
2021-07-25,2.22309
2021-07-26,5.34752
2021-07-27,5.75585
2021-07-28,5.58344
2021-07-29,5.00574
2021-07-30,4.66698
2021-07-31,2.93993
2021-08-01,1.96297
2021-08-02,4.65791
2021-08-03,7.31655
2021-08-04,6.57552
2021-08-05,5.7377
2021-08-06,6.56947
2021-08-07,5.92825
2021-08-08,3.23936
2021-08-09,6.94755
2021-08-10,8.19067
2021-08-11,9.74532
2021-08-12,7.85493
2021-08-13,7.126
2021-08-14,4.39174
2021-08-15,2.61327
2021-08-16,5.97664
2021-08-17,6.94755
2021-08-18,6.10973
2021-08-19,7.66136
2021-08-20,5.88893
2021-08-21,3.35732
2021-08-22,2.53463
2021-08-23,5.33845
2021-08-24,5.46548
2021-08-25,6.46361
2021-08-26,7.58877
2021-08-27,5.40197
2021-08-28,2.66469
2021-08-29,1.66656
2021-08-30,4.17095
2021-08-31,4.99062
2021-09-01,5.35962
2021-09-02,4.48248
2021-09-03,4.37662
2021-09-04,2.60419
2021-09-05,1.53348
2021-09-06,3.39664
2021-09-07,6.18534
2021-09-08,6.89008
2021-09-09,5.13278
2021-09-10,4.3615
2021-09-11,2.9611
2021-09-12,1.67563
2021-09-13,3.85336
2021-09-14,4.64279
2021-09-15,4.40989
2021-09-16,4.14372
2021-09-17,4.21027
2021-09-18,2.63746
2021-09-19,1.47299
2021-09-20,3.30288
2021-09-21,4.44921
2021-09-22,3.9562
2021-09-23,4.72143
2021-09-24,8.67461
2021-09-25,4.92408
2021-09-26,2.81289
2021-09-27,7.54037
2021-09-28,21.23888
2021-09-29,34.27802
2021-09-30,22.12509
2021-10-01,18.87968
2021-10-02,6.76305
2021-10-03,3.45109
2021-10-04,15.14427
2021-10-05,19.60256
2021-10-06,22.60298
2021-10-07,16.99836
2021-10-08,19.02486
2021-10-09,8.78047
2021-10-10,4.24656
2021-10-11,9.62131
2021-10-12,16.6596
2021-10-13,12.95747
2021-10-14,11.30905
2021-10-15,9.69088
2021-10-16,5.27796
2021-10-17,3.3301
2021-10-18,12.05613
2021-10-19,11.11245
2021-10-20,13.18734
2021-10-21,13.05728
2021-10-22,12.51587
2021-10-23,4.47643
2021-10-24,2.52555
2021-10-25,8.31165
2021-10-26,8.68973
2021-10-27,8.95892
2021-10-28,10.71623
2021-10-29,10.04778
2021-10-30,3.94712
2021-10-31,2.28661
2021-11-01,7.00199
2021-11-02,7.47383
2021-11-03,7.77629
2021-11-04,8.92565
2021-11-05,6.99292
2021-11-06,4.01972
2021-11-07,2.45901
2021-11-08,6.25491
2021-11-09,6.65718
2021-11-10,7.22279
2021-11-11,11.29998
2021-11-12,7.20464
2021-11-13,3.14862
2021-11-14,1.89341
2021-11-15,4.77587
2021-11-16,7.97894
2021-11-17,7.05946
2021-11-18,5.898
2021-11-19,5.49271
2021-11-20,2.58302
2021-11-21,1.65144
2021-11-22,5.1358
2021-11-23,11.82929
2021-11-24,13.23271
2021-11-25,7.82771
2021-11-26,8.49313
2021-11-27,5.06018
2021-11-28,2.62537
2021-11-29,6.82051
2021-11-30,8.3661
2021-12-01,7.64624
2021-12-02,6.56342
2021-12-03,4.90895
2021-12-04,4.82124
2021-12-05,2.52253
2021-12-06,5.51388
2021-12-07,6.05529
2021-12-08,5.32333
2021-12-09,5.14185
2021-12-10,4.86963
2021-12-11,2.40457
2021-12-12,1.39435
2021-12-13,3.69608
2021-12-14,4.9029
2021-12-15,4.80309
2021-12-16,4.83334
2021-12-17,4.07113
2021-12-18,2.51043
2021-12-19,1.21892
2021-12-20,4.07416
2021-12-21,4.29798
2021-12-22,3.92595
2021-12-23,3.3664
2021-12-24,2.77357
2021-12-25,1.23102
2021-12-26,1.1191
2021-12-27,2.63141
2021-12-28,2.9732
2021-12-29,3.12745
2021-12-30,3.92293
2021-12-31,2.41364
2022-01-01,1.52138
2022-01-02,1.07676
2022-01-03,3.3785
2022-01-04,7.97894
2022-01-05,12.38884
2022-01-06,18.82523
2022-01-07,12.65803
2022-01-08,8.64134
2022-01-09,4.64279
2022-01-10,16.69892
2022-01-11,21.09975
2022-01-12,13.52912
2022-01-13,13.19036
2022-01-14,11.59034
2022-01-15,6.17627
2022-01-16,2.78567
2022-01-17,6.98082
2022-01-18,23.17161
2022-01-19,35.97785
2022-01-20,23.51339
2022-01-21,19.36664
2022-01-22,9.66063
2022-01-23,4.17095
2022-01-24,13.1329
2022-01-25,14.02214
2022-01-26,11.42399
2022-01-27,14.33367
2022-01-28,10.26253
2022-01-29,4.50668
2022-01-30,2.22914
2022-01-31,5.53505
2022-02-01,7.59784
2022-02-02,8.03339
2022-02-03,9.30978
2022-02-04,11.07615
2022-02-05,9.72112
2022-02-06,4.39477
2022-02-07,9.80884
2022-02-08,12.67013
2022-02-09,12.00774
2022-02-10,12.23761
2022-02-11,15.33785
2022-02-12,6.66928
2022-02-13,2.80079
2022-02-14,7.04736
2022-02-15,8.94682
2022-02-16,7.47383
2022-02-17,6.56645
2022-02-18,5.99479
2022-02-19,3.50553
2022-02-20,2.01137
2022-02-21,3.55997
2022-02-22,5.50783
2022-02-23,4.71235
2022-02-24,6.3396
2022-02-25,5.03901
2022-02-26,2.45901
2022-02-27,1.70286
2022-02-28,4.49156
2022-03-01,5.60462
2022-03-02,7.22581
2022-03-03,6.00689
2022-03-04,5.11765
2022-03-05,3.37245
2022-03-06,1.70286
2022-03-07,4.79402
2022-03-08,5.10555
2022-03-09,4.21934
2022-03-10,5.20234
2022-03-11,5.49271
2022-03-12,3.11535
2022-03-13,1.88433
2022-03-14,5.87381
2022-03-15,7.76117
2022-03-16,5.75585
2022-03-17,6.67231
2022-03-18,4.39779
2022-03-19,2.7645
2022-03-20,1.83291
2022-03-21,4.96945
2022-03-22,8.33887
2022-03-23,7.26816
2022-03-24,6.41521
2022-03-25,5.3445
2022-03-26,5.49271
2022-03-27,2.91875
2022-03-28,7.7279
2022-03-29,9.13737
2022-03-30,9.89655
2022-03-31,6.78422
2022-04-01,6.66626
2022-04-02,3.93503
2022-04-03,2.08093
2022-04-04,5.25981
2022-04-05,6.45151
2022-04-06,9.86328
2022-04-07,7.42544
2022-04-08,6.25793
2022-04-09,4.00157
2022-04-10,2.01137
2022-04-11,6.57552
2022-04-12,11.83231
2022-04-13,7.65228
2022-04-14,6.98687
2022-04-15,9.08595
2022-04-16,2.69796
2022-04-17,2.60722
2022-04-18,7.57062
2022-04-19,9.65156
2022-04-20,8.97707
