date,비상장주식
2020-03-20,34.64163
2020-03-21,19.11262
2020-03-22,17.40614
2020-03-23,33.95904
2020-03-24,31.82593
2020-03-25,36.43344
2020-03-26,40.10238
2020-03-27,36.17747
2020-03-28,22.86689
2020-03-29,21.58703
2020-03-30,34.04436
2020-03-31,40.78498
2020-04-01,36.77474
2020-04-02,30.46075
2020-04-03,29.35153
2020-04-04,19.96587
2020-04-05,18.94197
2020-04-06,29.26621
2020-04-07,32.08191
2020-04-08,29.86348
2020-04-09,29.69283
2020-04-10,29.09556
2020-04-11,17.06484
2020-04-12,13.31058
2020-04-13,23.63481
2020-04-14,30.20477
2020-04-15,15.52901
2020-04-16,26.62116
2020-04-17,33.78839
2020-04-18,22.01365
2020-04-19,17.91808
2020-04-20,31.14334
2020-04-21,35.06825
2020-04-22,41.04095
2020-04-23,35.49488
2020-04-24,30.54607
2020-04-25,15.52901
2020-04-26,18.08873
2020-04-27,31.14334
2020-04-28,33.27645
2020-04-29,28.07167
2020-04-30,18.43003
2020-05-01,14.33447
2020-05-02,12.20136
2020-05-03,12.96928
2020-05-04,21.843
2020-05-05,15.10238
2020-05-06,28.07167
2020-05-07,25.51194
2020-05-08,29.77815
2020-05-09,16.5529
2020-05-10,13.31058
2020-05-11,27.90102
2020-05-12,24.91467
2020-05-13,28.24232
2020-05-14,29.43686
2020-05-15,26.87713
2020-05-16,16.12627
2020-05-17,14.50511
2020-05-18,30.11945
2020-05-19,30.03412
2020-05-20,31.39931
2020-05-21,34.81228
2020-05-22,26.96245
2020-05-23,15.61433
2020-05-24,17.57679
2020-05-25,34.64163
2020-05-26,41.46757
2020-05-27,39.07849
2020-05-28,38.3959
2020-05-29,31.99658
2020-05-30,15.27303
2020-05-31,18.51535
2020-06-01,35.9215
2020-06-02,35.2389
2020-06-03,36.43344
2020-06-04,34.38566
2020-06-05,31.56996
2020-06-06,17.40614
2020-06-07,20.22184
2020-06-08,38.31058
2020-06-09,39.16382
2020-06-10,37.37201
2020-06-11,34.30034
2020-06-12,30.11945
2020-06-13,17.49146
2020-06-14,20.05119
2020-06-15,36.26279
2020-06-16,33.87372
2020-06-17,37.54266
2020-06-18,34.81228
2020-06-19,31.48464
2020-06-20,17.91808
2020-06-21,17.06484
2020-06-22,33.78839
2020-06-23,38.13993
2020-06-24,41.46757
2020-06-25,36.34812
2020-06-26,32.93515
2020-06-27,18.08873
2020-06-28,15.27303
2020-06-29,32.25255
2020-06-30,30.37542
2020-07-01,26.96245
2020-07-02,43.17406
2020-07-03,39.76109
2020-07-04,20.22184
2020-07-05,23.20819
2020-07-06,40.8703
2020-07-07,39.16382
2020-07-08,38.7372
2020-07-09,38.0546
2020-07-10,33.70307
2020-07-11,20.73378
2020-07-12,20.39249
2020-07-13,35.75085
2020-07-14,35.32423
2020-07-15,35.15358
2020-07-16,35.66552
2020-07-17,38.13993
2020-07-18,18.94197
2020-07-19,19.79522
2020-07-20,37.88395
2020-07-21,43.00341
2020-07-22,49.06143
2020-07-23,52.81569
2020-07-24,40.78498
2020-07-25,22.01365
2020-07-26,28.41296
2020-07-27,46.67235
2020-07-28,39.84641
2020-07-29,46.07508
2020-07-30,38.99317
2020-07-31,35.32423
2020-08-01,19.79522
2020-08-02,17.83276
2020-08-03,41.97952
2020-08-04,46.5017
2020-08-05,43.08873
2020-08-06,48.63481
2020-08-07,46.58703
2020-08-08,22.69624
2020-08-09,21.5017
2020-08-10,47.78156
2020-08-11,47.35494
2020-08-12,45.56313
2020-08-13,44.70989
2020-08-14,40.01706
2020-08-15,22.86689
2020-08-16,18.94197
2020-08-17,21.67235
2020-08-18,39.33447
2020-08-19,45.13651
2020-08-20,42.40614
2020-08-21,37.20136
2020-08-22,22.1843
2020-08-23,20.64846
2020-08-24,45.64846
2020-08-25,40.8703
