date,법인차량보험
2020-03-20,14.43037
2020-03-21,7.0886
2020-03-22,5.06329
2020-03-23,15.44303
2020-03-24,15.44303
2020-03-25,12.40506
2020-03-26,15.44303
2020-03-27,16.70886
2020-03-28,5.31645
2020-03-29,6.32911
2020-03-30,15.18987
2020-03-31,17.21518
2020-04-01,17.21518
2020-04-02,13.41772
2020-04-03,11.64556
2020-04-04,11.13924
2020-04-05,7.59493
2020-04-06,15.6962
2020-04-07,13.41772
2020-04-08,11.3924
2020-04-09,14.68354
2020-04-10,11.13924
2020-04-11,6.07594
2020-04-12,7.34177
2020-04-13,13.92405
2020-04-14,15.6962
2020-04-15,9.87341
2020-04-16,15.44303
2020-04-17,17.46835
2020-04-18,6.07594
2020-04-19,7.59493
2020-04-20,16.20253
2020-04-21,17.97468
2020-04-22,19.2405
2020-04-23,16.45569
2020-04-24,16.20253
2020-04-25,7.34177
2020-04-26,9.62025
2020-04-27,19.2405
2020-04-28,17.97468
2020-04-29,17.97468
2020-04-30,10.63291
2020-05-01,11.64556
2020-05-02,6.83544
2020-05-03,5.31645
2020-05-04,15.6962
2020-05-05,7.8481
2020-05-06,19.74683
2020-05-07,14.9367
2020-05-08,14.17721
2020-05-09,7.34177
2020-05-10,5.06329
2020-05-11,15.18987
2020-05-12,20.0
2020-05-13,15.6962
2020-05-14,16.70886
2020-05-15,15.44303
2020-05-16,4.05063
2020-05-17,5.56962
2020-05-18,14.9367
2020-05-19,14.9367
2020-05-20,12.40506
2020-05-21,15.94936
2020-05-22,12.15189
2020-05-23,4.81012
2020-05-24,6.83544
2020-05-25,17.21518
2020-05-26,16.96202
2020-05-27,18.22784
2020-05-28,13.92405
2020-05-29,14.43037
2020-05-30,6.58227
2020-05-31,7.8481
2020-06-01,15.6962
2020-06-02,30.12658
2020-06-03,19.2405
2020-06-04,16.20253
2020-06-05,13.92405
2020-06-06,6.58227
2020-06-07,3.29113
2020-06-08,13.41772
2020-06-09,14.68354
2020-06-10,14.17721
2020-06-11,12.15189
2020-06-12,11.3924
2020-06-13,8.86075
2020-06-14,5.31645
2020-06-15,18.98734
2020-06-16,12.40506
2020-06-17,14.9367
2020-06-18,15.6962
2020-06-19,13.41772
2020-06-20,6.58227
2020-06-21,6.83544
2020-06-22,16.96202
2020-06-23,14.68354
2020-06-24,20.25316
2020-06-25,16.45569
2020-06-26,9.36708
2020-06-27,6.83544
2020-06-28,5.06329
2020-06-29,20.50632
2020-06-30,13.16455
2020-07-01,12.40506
2020-07-02,15.44303
2020-07-03,9.62025
2020-07-04,4.30379
2020-07-05,5.06329
2020-07-06,18.98734
2020-07-07,18.73417
2020-07-08,20.25316
2020-07-09,16.96202
2020-07-10,10.88607
2020-07-11,6.32911
2020-07-12,4.05063
2020-07-13,20.0
2020-07-14,11.89873
2020-07-15,16.45569
2020-07-16,13.67088
2020-07-17,14.17721
2020-07-18,6.83544
2020-07-19,5.31645
2020-07-20,15.94936
2020-07-21,13.16455
2020-07-22,18.73417
2020-07-23,16.20253
2020-07-24,13.67088
2020-07-25,8.35443
2020-07-26,8.35443
2020-07-27,15.44303
2020-07-28,20.75949
2020-07-29,14.43037
2020-07-30,16.70886
2020-07-31,14.9367
2020-08-01,4.05063
2020-08-02,6.07594
2020-08-03,12.40506
2020-08-04,11.64556
2020-08-05,12.65822
2020-08-06,12.40506
2020-08-07,12.65822
2020-08-08,2.27848
2020-08-09,5.82278
2020-08-10,10.63291
2020-08-11,12.91139
2020-08-12,8.60759
2020-08-13,15.94936
2020-08-14,11.89873
2020-08-15,4.81012
2020-08-16,7.0886
2020-08-17,8.35443
2020-08-18,14.43037
2020-08-19,19.49367
2020-08-20,17.21518
2020-08-21,14.68354
2020-08-22,5.31645
2020-08-23,5.82278
2020-08-24,15.44303
2020-08-25,14.68354
2020-08-26,16.70886
2020-08-27,13.16455
2020-08-28,9.36708
2020-08-29,7.0886
2020-08-30,4.81012
2020-08-31,11.3924
2020-09-01,11.3924
2020-09-02,13.67088
2020-09-03,13.67088
2020-09-04,17.46835
2020-09-05,3.79746
2020-09-06,5.06329
2020-09-07,16.96202
2020-09-08,12.91139
2020-09-09,17.72151
2020-09-10,13.92405
2020-09-11,14.9367
2020-09-12,3.29113
2020-09-13,8.10126
2020-09-14,27.34177
2020-09-15,29.36708
2020-09-16,23.5443
2020-09-17,20.25316
2020-09-18,15.6962
2020-09-19,8.60759
2020-09-20,6.83544
2020-09-21,20.0
2020-09-22,18.22784
2020-09-23,18.73417
2020-09-24,17.21518
2020-09-25,15.44303
2020-09-26,8.35443
2020-09-27,6.83544
2020-09-28,18.48101
2020-09-29,12.91139
2020-09-30,9.36708
2020-10-01,7.0886
2020-10-02,7.34177
2020-10-03,7.34177
2020-10-04,5.06329
2020-10-05,13.67088
2020-10-06,13.41772
2020-10-07,14.9367
2020-10-08,16.70886
2020-10-09,5.06329
2020-10-10,9.36708
2020-10-11,10.37974
2020-10-12,17.21518
2020-10-13,38.48101
2020-10-14,27.59493
2020-10-15,16.20253
2020-10-16,19.74683
2020-10-17,4.55696
2020-10-18,4.81012
2020-10-19,18.73417
2020-10-20,22.27848
2020-10-21,22.78481
2020-10-22,16.96202
2020-10-23,15.18987
2020-10-24,8.86075
2020-10-25,3.29113
2020-10-26,14.43037
2020-10-27,25.06329
2020-10-28,19.2405
2020-10-29,16.70886
2020-10-30,12.91139
2020-10-31,7.0886
2020-11-01,3.29113
2020-11-02,16.45569
2020-11-03,11.64556
2020-11-04,15.18987
2020-11-05,11.89873
2020-11-06,15.94936
2020-11-07,5.31645
2020-11-08,6.32911
2020-11-09,21.01265
2020-11-10,17.97468
2020-11-11,16.70886
2020-11-12,15.44303
2020-11-13,16.20253
2020-11-14,6.83544
2020-11-15,3.03797
2020-11-16,23.03797
2020-11-17,17.21518
2020-11-18,15.44303
2020-11-19,17.46835
2020-11-20,16.96202
2020-11-21,6.07594
2020-11-22,6.58227
2020-11-23,14.68354
2020-11-24,17.21518
2020-11-25,13.41772
2020-11-26,12.91139
2020-11-27,11.89873
2020-11-28,7.0886
2020-11-29,10.37974
2020-11-30,15.44303
2020-12-01,15.6962
