date,JYP주가
2020-03-20,5.31203
2020-03-21,2.20657
2020-03-22,1.11547
2020-03-23,5.14958
2020-03-24,5.2633
2020-03-25,5.70732
2020-03-26,6.14322
2020-03-27,5.5178
2020-03-28,1.19128
2020-03-29,0.96656
2020-03-30,4.41857
2020-03-31,4.22363
2020-04-01,3.83917
2020-04-02,3.58738
2020-04-03,3.38703
2020-04-04,0.9828
2020-04-05,0.75538
2020-04-06,3.66048
2020-04-07,3.65506
2020-04-08,4.05306
2020-04-09,3.54135
2020-04-10,3.91498
2020-04-11,1.18857
2020-04-12,1.18045
2020-04-13,4.78678
2020-04-14,4.01516
2020-04-15,1.17232
2020-04-16,4.38879
2020-04-17,4.31298
2020-04-18,1.15879
2020-04-19,1.00446
2020-04-20,3.96372
2020-04-21,3.86625
2020-04-22,4.1018
2020-04-23,3.58467
2020-04-24,3.38973
2020-04-25,0.9801
2020-04-26,1.18857
2020-04-27,3.86625
2020-04-28,4.32922
2020-04-29,3.51969
2020-04-30,1.00175
2020-05-01,1.03154
2020-05-02,0.72018
2020-05-03,0.67144
2020-05-04,2.60186
2020-05-05,0.84743
2020-05-06,2.95654
2020-05-07,2.64248
2020-05-08,2.434
2020-05-09,0.62542
2020-05-10,0.56585
2020-05-11,2.20116
2020-05-12,2.33382
2020-05-13,2.71016
2020-05-14,3.87708
2020-05-15,3.19209
2020-05-16,0.81494
2020-05-17,0.97739
2020-05-18,3.31392
2020-05-19,6.70366
2020-05-20,5.05211
2020-05-21,4.21551
2020-05-22,4.06389
2020-05-23,0.90699
2020-05-24,0.90158
2020-05-25,3.60904
2020-05-26,3.84459
2020-05-27,3.89061
2020-05-28,4.11533
2020-05-29,3.8148
2020-05-30,0.8366
2020-05-31,1.00175
2020-06-01,5.86977
2020-06-02,5.80208
2020-06-03,4.52957
2020-06-04,3.96101
2020-06-05,3.71734
2020-06-06,0.8718
2020-06-07,0.86367
2020-06-08,3.84188
2020-06-09,3.87437
2020-06-10,3.75795
2020-06-11,3.45742
2020-06-12,3.2327
2020-06-13,0.72018
2020-06-14,0.69581
2020-06-15,3.59821
2020-06-16,3.63611
2020-06-17,3.11899
2020-06-18,2.79409
2020-06-19,2.88073
2020-06-20,0.7283
2020-06-21,0.55773
2020-06-22,3.24895
2020-06-23,2.97279
2020-06-24,3.04589
2020-06-25,3.65777
2020-06-26,4.08826
2020-06-27,1.17232
2020-06-28,1.08569
2020-06-29,4.31298
2020-06-30,9.14579
2020-07-01,6.01326
2020-07-02,5.85623
2020-07-03,7.04751
2020-07-04,1.5974
2020-07-05,1.54054
2020-07-06,6.4979
2020-07-07,5.52321
2020-07-08,11.39298
2020-07-09,9.64396
2020-07-10,7.2993
2020-07-11,1.87626
2020-07-12,1.416
2020-07-13,6.24069
2020-07-14,6.27318
2020-07-15,6.46811
2020-07-16,5.69649
2020-07-17,8.60159
2020-07-18,2.42859
2020-07-19,1.87897
2020-07-20,9.33802
2020-07-21,8.47434
2020-07-22,8.09801
2020-07-23,7.05293
2020-07-24,6.13239
2020-07-25,1.49993
2020-07-26,1.39704
2020-07-27,6.12968
2020-07-28,5.72356
2020-07-29,5.76147
2020-07-30,6.67117
2020-07-31,5.98077
2020-08-01,1.30228
2020-08-02,1.13442
2020-08-03,4.91403
2020-08-04,6.50602
2020-08-05,7.92744
2020-08-06,7.34262
2020-08-07,6.37877
2020-08-08,2.11994
2020-08-09,1.89251
2020-08-10,10.07716
2020-08-11,9.19182
2020-08-12,11.16826
2020-08-13,16.17165
2020-08-14,10.52389
2020-08-15,7.42926
2020-08-16,3.62528
2020-08-17,4.24529
2020-08-18,10.98145
2020-08-19,12.40828
2020-08-20,10.22065
2020-08-21,8.69365
