date,주식공매도
2020-03-20,2.82475
2020-03-21,1.43936
2020-03-22,0.79165
2020-03-23,3.70636
2020-03-24,3.22058
2020-03-25,2.75278
2020-03-26,2.68082
2020-03-27,2.64483
2020-03-28,1.63727
2020-03-29,1.72724
2020-03-30,2.59086
2020-03-31,2.66282
2020-04-01,1.96113
2020-04-02,2.35696
2020-04-03,1.24145
2020-04-04,1.06153
2020-04-05,1.07952
2020-04-06,1.63727
2020-04-07,2.33897
2020-04-08,1.99712
2020-04-09,1.56531
2020-04-10,1.52932
2020-04-11,1.1155
2020-04-12,1.47535
2020-04-13,1.70924
2020-04-14,1.60129
2020-04-15,0.82763
2020-04-16,1.33141
2020-04-17,1.60129
2020-04-18,0.95358
2020-04-19,1.25944
2020-04-20,2.12306
2020-04-21,1.51133
2020-04-22,1.65527
2020-04-23,1.78121
2020-04-24,1.24145
2020-04-25,0.75566
2020-04-26,1.06153
2020-04-27,1.74523
2020-04-28,1.83519
2020-04-29,1.5833
2020-04-30,1.1155
2020-05-01,0.82763
2020-05-02,0.68369
2020-05-03,1.36739
2020-05-04,2.01511
2020-05-05,1.70924
2020-05-06,1.61928
2020-05-07,1.45735
2020-05-08,1.42137
2020-05-09,0.98956
2020-05-10,1.1335
2020-05-11,1.29543
2020-05-12,1.76322
2020-05-13,1.76322
2020-05-14,1.76322
2020-05-15,2.10507
2020-05-16,0.88161
2020-05-17,1.00755
2020-05-18,1.52932
2020-05-19,1.85318
2020-05-20,1.65527
2020-05-21,2.66282
2020-05-22,2.44692
2020-05-23,2.06908
2020-05-24,1.97912
2020-05-25,2.46491
2020-05-26,2.87873
2020-05-27,3.27455
2020-05-28,2.55487
2020-05-29,2.35696
2020-05-30,1.1155
2020-05-31,1.29543
2020-06-01,2.55487
2020-06-02,3.52644
2020-06-03,6.04534
2020-06-04,5.72148
2020-06-05,5.28967
2020-06-06,4.80388
2020-06-07,4.3181
2020-06-08,6.09931
2020-06-09,5.79345
2020-06-10,5.18172
2020-06-11,5.39762
2020-06-12,4.55199
2020-06-13,1.7992
2020-06-14,2.69881
2020-06-15,4.06621
2020-06-16,2.62684
2020-06-17,2.75278
2020-06-18,3.6344
2020-06-19,2.86074
2020-06-20,0.97157
2020-06-21,1.33141
2020-06-22,1.90716
2020-06-23,2.21302
2020-06-24,2.75278
2020-06-25,2.75278
2020-06-26,1.85318
2020-06-27,0.82763
2020-06-28,1.40338
2020-06-29,2.50089
2020-06-30,2.55487
2020-07-01,2.66282
2020-07-02,1.65527
2020-07-03,2.10507
2020-07-04,1.40338
2020-07-05,1.31342
2020-07-06,2.17704
2020-07-07,2.55487
2020-07-08,2.86074
2020-07-09,4.65994
2020-07-10,2.91471
2020-07-11,1.88916
2020-07-12,1.94314
2020-07-13,3.41849
2020-07-14,3.1666
2020-07-15,2.96869
2020-07-16,3.25656
2020-07-17,2.87873
2020-07-18,1.74523
2020-07-19,2.44692
2020-07-20,3.72436
2020-07-21,4.46203
2020-07-22,4.58798
2020-07-23,5.18172
2020-07-24,5.19971
2020-07-25,2.75278
2020-07-26,2.9507
2020-07-27,5.19971
2020-07-28,4.42605
2020-07-29,5.19971
2020-07-30,6.04534
2020-07-31,4.15617
2020-08-01,2.69881
2020-08-02,3.41849
