date,재산세
2020-03-20,1.46327
2020-03-21,0.81519
2020-03-22,0.8213
2020-03-23,1.06994
2020-03-24,1.09847
2020-03-25,1.12293
2020-03-26,0.99759
2020-03-27,0.91403
2020-03-28,0.63992
2020-03-29,0.63992
2020-03-30,1.49894
2020-03-31,1.21158
2020-04-01,1.10458
2020-04-02,1.28495
2020-04-03,1.62835
2020-04-04,0.80092
2020-04-05,0.69087
2020-04-06,1.18916
2020-04-07,1.12395
2020-04-08,1.02001
2020-04-09,0.93747
2020-04-10,0.87837
2020-04-11,0.63687
2020-04-12,0.63789
2020-04-13,1.06281
2020-04-14,0.96193
2020-04-15,0.73061
2020-04-16,1.69051
2020-04-17,1.05669
2020-04-18,0.72348
2020-04-19,0.72654
2020-04-20,1.1912
2020-04-21,1.17999
2020-04-22,1.10458
2020-04-23,1.18203
2020-04-24,1.03529
2020-04-25,0.69801
2020-04-26,0.64909
2020-04-27,1.19324
2020-04-28,1.59676
2020-04-29,1.83418
2020-04-30,1.14433
2020-05-01,1.0302
2020-05-02,0.76016
2020-05-03,0.83965
2020-05-04,1.34507
2020-05-05,1.03427
2020-05-06,1.5132
2020-05-07,1.37462
2020-05-08,1.127
2020-05-09,0.7245
2020-05-10,0.79073
2020-05-11,1.52135
2020-05-12,1.4378
2020-05-13,1.26151
2020-05-14,1.31654
2020-05-15,1.30838
2020-05-16,0.73061
2020-05-17,0.78972
2020-05-18,1.72311
2020-05-19,1.42557
2020-05-20,1.49588
2020-05-21,1.39704
2020-05-22,1.15757
2020-05-23,0.84576
2020-05-24,0.79379
2020-05-25,1.54377
2020-05-26,1.49894
2020-05-27,1.27883
2020-05-28,1.3359
2020-05-29,1.20954
2020-05-30,0.74692
2020-05-31,0.73469
2020-06-01,1.77814
2020-06-02,1.37666
2020-06-03,1.53154
2020-06-04,1.30125
2020-06-05,1.89532
2020-06-06,0.88346
2020-06-07,0.89671
2020-06-08,1.39194
2020-06-09,1.78527
2020-06-10,1.49078
2020-06-11,1.46225
2020-06-12,1.21973
2020-06-13,0.9069
2020-06-14,0.89263
2020-06-15,1.90551
2020-06-16,1.9799
2020-06-17,2.07059
2020-06-18,1.7975
2020-06-19,1.63956
2020-06-20,1.13108
2020-06-21,1.1749
2020-06-22,2.25401
2020-06-23,1.77101
2020-06-24,2.65346
2020-06-25,2.19185
2020-06-26,1.73025
2020-06-27,1.06281
2020-06-28,1.31144
2020-06-29,2.98565
2020-06-30,3.76314
2020-07-01,3.06003
2020-07-02,3.10385
2020-07-03,2.82057
2020-07-04,1.64873
2020-07-05,1.96563
2020-07-06,10.97354
2020-07-07,9.1475
2020-07-08,8.37205
2020-07-09,6.87107
2020-07-10,10.06052
2020-07-11,4.18398
2020-07-12,4.58853
2020-07-13,11.57475
2020-07-14,29.1045
2020-07-15,22.0174
2020-07-16,22.65733
2020-07-17,15.69658
2020-07-18,10.36011
2020-07-19,6.44819
2020-07-20,13.62293
2020-07-21,12.25238
2020-07-22,11.63691
2020-07-23,7.77288
2020-07-24,7.17371
2020-07-25,3.81918
2020-07-26,4.16768
2020-07-27,8.61151
2020-07-28,7.11461
2020-07-29,7.60475
2020-07-30,7.70155
2020-07-31,9.82921
2020-08-01,1.99009
2020-08-02,1.5774
2020-08-03,2.50468
2020-08-04,2.70135
2020-08-05,2.41399
2020-08-06,1.94016
2020-08-07,1.54887
2020-08-08,1.13006
2020-08-09,1.10153
2020-08-10,2.45679
2020-08-11,2.29885
2020-08-12,2.19593
2020-08-13,2.24891
2020-08-14,1.92691
2020-08-15,1.00269
2020-08-16,1.0037
2020-08-17,1.15452
2020-08-18,1.70987
2020-08-19,1.86374
2020-08-20,1.88208
2020-08-21,1.64465
2020-08-22,0.92422
2020-08-23,0.94358
2020-08-24,2.21223
2020-08-25,1.94424
2020-08-26,1.41232
2020-08-27,1.39805
2020-08-28,1.54785
2020-08-29,0.84168
2020-08-30,0.88244
2020-08-31,3.01418
2020-09-01,1.69458
2020-09-02,1.52747
2020-09-03,1.48263
2020-09-04,1.49995
2020-09-05,0.87123
2020-09-06,1.10764
2020-09-07,2.09912
2020-09-08,2.23261
2020-09-09,2.18472
2020-09-10,2.86235
2020-09-11,4.06578
2020-09-12,2.27235
2020-09-13,2.00639
2020-09-14,19.47093
2020-09-15,100.0
2020-09-16,10.23375
2020-09-17,8.70832
2020-09-18,5.92545
2020-09-19,3.36777
2020-09-20,2.98055
2020-09-21,5.83577
2020-09-22,5.04809
2020-09-23,4.31034
2020-09-24,4.21557
2020-09-25,4.60687
2020-09-26,2.4894
2020-09-27,2.47309
2020-09-28,6.50831
2020-09-29,5.45977
2020-09-30,2.76554
2020-10-01,1.82603
2020-10-02,1.86883
2020-10-03,2.07976
2020-10-04,3.01927
2020-10-05,9.01707
2020-10-06,2.10931
2020-10-07,1.985
2020-10-08,1.32571
2020-10-09,0.77443
2020-10-10,1.24622
2020-10-11,1.03529
2020-10-12,1.30635
2020-10-13,1.1107
2020-10-14,1.21158
2020-10-15,1.13006
