date,삼겹살무한리필
2020-03-20,34.69945
2020-03-21,50.81967
2020-03-22,50.68306
2020-03-23,32.10382
2020-03-24,37.5683
2020-03-25,35.79234
2020-03-26,34.42622
2020-03-27,37.43169
2020-03-28,42.34972
2020-03-29,44.67213
2020-03-30,30.87431
2020-03-31,32.24043
2020-04-01,32.92349
2020-04-02,31.42076
2020-04-03,36.33879
2020-04-04,43.44262
2020-04-05,41.93989
2020-04-06,31.69398
2020-04-07,26.09289
2020-04-08,30.46448
2020-04-09,28.27868
2020-04-10,34.97267
2020-04-11,50.68306
2020-04-12,46.31147
2020-04-13,31.01092
2020-04-14,33.33333
2020-04-15,41.66666
2020-04-16,29.23497
2020-04-17,37.43169
2020-04-18,50.27322
2020-04-19,49.31693
2020-04-20,27.59562
2020-04-21,39.89071
2020-04-22,31.28415
2020-04-23,34.42622
2020-04-24,35.10928
2020-04-25,46.99453
2020-04-26,53.55191
2020-04-27,29.50819
2020-04-28,33.33333
2020-04-29,34.01639
2020-04-30,37.97814
2020-05-01,32.78688
2020-05-02,41.25683
2020-05-03,34.153
2020-05-04,32.78688
2020-05-05,44.94535
2020-05-06,25.0
2020-05-07,31.14754
2020-05-08,30.32786
2020-05-09,43.57923
2020-05-10,45.35519
2020-05-11,27.04918
2020-05-12,36.88524
2020-05-13,33.87978
2020-05-14,23.63387
2020-05-15,28.82513
2020-05-16,37.15846
2020-05-17,40.57377
2020-05-18,24.31693
2020-05-19,35.65573
2020-05-20,35.79234
2020-05-21,32.37704
2020-05-22,28.96174
2020-05-23,39.07103
2020-05-24,34.69945
2020-05-25,24.72677
2020-05-26,37.97814
2020-05-27,31.8306
2020-05-28,33.87978
2020-05-29,33.19672
2020-05-30,45.90163
2020-05-31,31.8306
2020-06-01,20.62841
2020-06-02,22.13114
2020-06-03,29.6448
2020-06-04,30.46448
2020-06-05,27.18579
2020-06-06,28.96174
2020-06-07,34.153
2020-06-08,23.08743
2020-06-09,21.17486
2020-06-10,22.13114
2020-06-11,24.04371
2020-06-12,30.7377
2020-06-13,39.34426
2020-06-14,32.78688
2020-06-15,26.77595
2020-06-16,22.40437
2020-06-17,19.80874
2020-06-18,24.59016
2020-06-19,24.31693
2020-06-20,30.87431
2020-06-21,34.97267
2020-06-22,29.09836
2020-06-23,32.51366
2020-06-24,30.32786
2020-06-25,31.96721
2020-06-26,31.14754
2020-06-27,38.79781
2020-06-28,38.25136
2020-06-29,23.77049
2020-06-30,32.24043
2020-07-01,33.0601
2020-07-02,28.14207
2020-07-03,26.91256
2020-07-04,34.01639
2020-07-05,36.88524
2020-07-06,20.35519
2020-07-07,25.40983
2020-07-08,28.55191
2020-07-09,28.00546
2020-07-10,37.29508
2020-07-11,45.21857
2020-07-12,29.37158
2020-07-13,23.49726
2020-07-14,27.59562
2020-07-15,20.62841
2020-07-16,22.26775
2020-07-17,21.44808
2020-07-18,37.43169
2020-07-19,31.96721
2020-07-20,26.2295
2020-07-21,29.23497
2020-07-22,40.71038
2020-07-23,30.19125
