date,간병비보험
2020-03-20,10.93959
2020-03-21,9.5302
2020-03-22,6.77852
2020-03-23,11.81208
2020-03-24,12.01342
2020-03-25,12.14765
2020-03-26,12.55033
2020-03-27,11.61073
2020-03-28,7.98657
2020-03-29,6.97986
2020-03-30,12.55033
2020-03-31,12.68456
2020-04-01,8.1208
2020-04-02,11.61073
2020-04-03,7.58389
2020-04-04,5.90604
2020-04-05,5.70469
2020-04-06,9.32885
2020-04-07,10.06711
2020-04-08,11.14093
2020-04-09,11.34228
2020-04-10,7.91946
2020-04-11,8.38926
2020-04-12,8.18791
2020-04-13,11.40939
2020-04-14,12.28187
2020-04-15,7.78523
2020-04-16,10.73825
2020-04-17,10.80536
2020-04-18,7.71812
2020-04-19,5.90604
2020-04-20,10.60402
2020-04-21,12.08053
2020-04-22,11.20805
2020-04-23,11.47651
2020-04-24,11.34228
2020-04-25,7.51677
2020-04-26,7.71812
2020-04-27,10.93959
2020-04-28,12.55033
2020-04-29,10.33557
2020-04-30,9.39597
2020-05-01,7.11409
2020-05-02,5.03355
2020-05-03,6.44295
2020-05-04,9.5302
2020-05-05,8.25503
2020-05-06,12.14765
2020-05-07,12.8859
2020-05-08,9.26174
2020-05-09,6.84563
2020-05-10,6.30872
2020-05-11,9.19463
2020-05-12,10.87248
2020-05-13,11.00671
2020-05-14,10.73825
2020-05-15,11.47651
2020-05-16,7.51677
2020-05-17,6.17449
2020-05-18,9.93288
2020-05-19,11.9463
2020-05-20,11.54362
2020-05-21,9.79865
2020-05-22,9.12751
2020-05-23,6.97986
2020-05-24,5.90604
2020-05-25,10.20134
2020-05-26,9.19463
2020-05-27,10.20134
2020-05-28,8.65771
2020-05-29,7.98657
2020-05-30,6.04026
2020-05-31,5.36912
2020-06-01,7.58389
2020-06-02,10.0
2020-06-03,7.58389
2020-06-04,7.651
2020-06-05,8.05369
2020-06-06,4.7651
2020-06-07,5.10067
2020-06-08,10.53691
2020-06-09,9.59731
2020-06-10,10.0
2020-06-11,7.651
2020-06-12,9.26174
2020-06-13,6.04026
2020-06-14,6.51006
2020-06-15,8.32214
2020-06-16,7.24832
2020-06-17,7.78523
2020-06-18,8.72483
2020-06-19,7.98657
2020-06-20,4.22818
2020-06-21,4.36241
2020-06-22,8.1208
2020-06-23,8.18791
2020-06-24,9.86577
2020-06-25,9.0604
2020-06-26,9.5302
2020-06-27,5.70469
2020-06-28,6.30872
2020-06-29,10.26845
2020-06-30,8.85906
