date,현물ETF
2022-07-30,0.07881
2022-07-31,0.05629
2022-08-07,0.05629
2022-08-12,0.18013
2022-08-13,0.05629
2022-08-14,0.05629
2022-08-15,0.07881
2022-08-17,0.05629
2022-08-18,0.10132
2022-08-19,0.10132
2022-08-20,0.1351
2022-08-22,0.16888
2022-08-23,0.09006
2022-08-24,0.06755
2022-08-25,0.07881
2022-08-26,0.07881
2022-08-27,0.07881
2022-08-28,0.05629
2022-08-29,0.05629
2022-08-30,0.41657
2022-08-31,0.33776
2022-09-01,0.07881
2022-09-06,0.11258
2022-09-15,0.14636
2022-09-16,0.05629
2022-09-19,0.07881
2022-09-20,0.05629
2022-09-22,0.06755
2022-09-30,0.11258
2022-10-07,0.06755
2022-10-11,0.23643
2022-10-12,0.10132
2022-10-25,0.1351
2022-11-11,0.05629
2022-11-13,0.10132
2022-11-22,0.07881
2022-11-23,0.06755
2022-12-04,0.09006
2022-12-08,0.05629
2022-12-10,0.05629
2022-12-19,0.06755
2022-12-28,0.07881
2022-12-29,0.05629
2023-01-01,0.05629
2023-01-03,0.07881
2023-01-09,0.05629
2023-01-12,0.06755
2023-01-13,0.05629
2023-01-14,0.11258
2023-01-15,0.18013
2023-01-17,0.06755
2023-01-21,0.05629
2023-01-27,0.11258
2023-01-29,0.06755
2023-01-30,0.06755
2023-01-31,0.05629
2023-02-09,0.05629
2023-02-16,0.10132
2023-03-08,0.06755
2023-03-09,0.11258
2023-03-15,0.05629
2023-03-16,0.05629
2023-04-10,0.09006
2023-05-10,0.05629
2023-05-15,0.05629
2023-06-02,0.06755
2023-06-06,0.05629
2023-06-07,0.1351
2023-06-10,0.09006
2023-06-16,1.63251
2023-06-17,0.72055
2023-06-18,0.52916
2023-06-19,0.54041
2023-06-20,0.54041
2023-06-21,1.5537
2023-06-22,1.77887
2023-06-23,0.69804
2023-06-24,1.1709
2023-06-25,0.60797
2023-06-26,0.55167
2023-06-27,0.653
2023-06-28,1.04706
2023-06-29,0.40531
2023-06-30,1.45237
2023-07-01,0.73181
2023-07-02,0.39405
2023-07-03,0.60797
2023-07-04,0.76559
2023-07-05,0.60797
2023-07-06,0.49538
2023-07-07,0.4616
2023-07-08,0.23643
2023-07-09,0.3265
2023-07-10,0.2702
2023-07-11,0.40531
2023-07-12,0.48412
2023-07-13,0.38279
2023-07-14,2.12789
2023-07-15,0.54041
2023-07-16,0.4616
2023-07-17,0.42783
2023-07-18,0.69804
2023-07-19,0.82188
2023-07-20,0.653
2023-07-21,0.49538
2023-07-22,0.28146
2023-07-23,0.19139
2023-07-24,0.43909
2023-07-25,0.3265
2023-07-26,0.21391
2023-07-27,0.25895
2023-07-28,0.14636
2023-07-29,0.1351
2023-07-30,0.1351
2023-07-31,0.12384
2023-08-01,0.28146
2023-08-02,0.31524
2023-08-03,0.19139
2023-08-04,0.22517
2023-08-05,0.19139
2023-08-06,0.10132
2023-08-07,0.22517
2023-08-08,0.3265
2023-08-09,0.20265
2023-08-10,0.36027
2023-08-11,0.88943
2023-08-12,0.82188
2023-08-13,0.2702
2023-08-14,0.45034
2023-08-15,0.99076
2023-08-16,0.95699
2023-08-17,0.88943
2023-08-18,1.14839
2023-08-19,0.4616
2023-08-20,0.1351
2023-08-21,0.40531
2023-08-22,0.86692
2023-08-23,0.52916
2023-08-24,0.33776
2023-08-25,0.24769
2023-08-26,0.18013
2023-08-27,0.31524
2023-08-28,0.34902
2023-08-29,1.11461
2023-08-30,4.30083
2023-08-31,2.48817
2023-09-01,2.79216
2023-09-02,0.90069
2023-09-03,0.57419
2023-09-04,1.10335
2023-09-05,1.10335
2023-09-06,0.72055
2023-09-07,0.94573
2023-09-08,0.64174
2023-09-09,0.48412
2023-09-10,0.40531
2023-09-11,0.653
2023-09-12,0.48412
2023-09-13,0.61922
2023-09-14,0.54041
2023-09-15,0.36027
2023-09-16,0.29272
2023-09-17,0.19139
2023-09-18,0.2702
2023-09-19,0.23643
2023-09-20,0.28146
2023-09-21,0.18013
2023-09-22,0.36027
2023-09-23,0.14636
2023-09-24,0.15762
2023-09-25,0.39405
2023-09-26,0.40531
2023-09-27,0.49538
2023-09-28,0.23643
2023-09-29,0.25895
2023-09-30,0.21391
2023-10-01,0.3265
2023-10-02,0.47286
2023-10-03,0.24769
2023-10-04,0.38279
2023-10-05,0.2702
2023-10-06,0.34902
2023-10-07,0.1351
2023-10-08,0.25895
2023-10-09,0.25895
2023-10-10,0.20265
2023-10-11,0.28146
2023-10-12,0.43909
2023-10-13,0.92321
2023-10-14,0.77685
2023-10-15,0.19139
2023-10-16,5.51677
2023-10-17,3.8167
2023-10-18,1.38482
2023-10-19,0.94573
2023-10-20,1.99279
2023-10-21,1.53118
2023-10-22,1.11461
2023-10-23,2.61202
2023-10-24,14.41116
2023-10-25,5.11146
2023-10-26,3.41139
2023-10-27,1.92524
2023-10-28,1.33978
2023-10-29,1.40734
2023-10-30,2.5895
2023-10-31,1.75636
2023-11-01,1.64377
2023-11-02,1.72258
2023-11-03,1.1709
2023-11-04,0.74307
2023-11-05,0.70929
2023-11-06,1.71132
2023-11-07,1.13713
2023-11-08,1.0358
2023-11-09,3.73789
2023-11-10,4.43593
2023-11-11,1.58748
2023-11-12,1.15964
2023-11-13,2.30803
2023-11-14,2.13915
2023-11-15,2.18419
2023-11-16,2.93852
2023-11-17,3.32132
2023-11-18,1.75636
2023-11-19,0.9795
2023-11-20,1.06957
2023-11-21,0.77685
2023-11-22,0.96825
2023-11-23,1.44111
2023-11-24,1.21594
2023-11-25,0.88943
2023-11-26,0.48412
2023-11-27,0.91195
2023-11-28,1.1709
2023-11-29,0.87818
2023-11-30,0.94573
2023-12-01,0.77685
2023-12-02,1.51992
2023-12-03,1.44111
2023-12-04,2.83719
2023-12-05,2.65705
2023-12-06,4.61607
2023-12-07,3.07363
2023-12-08,2.12789
2023-12-09,1.5537
2023-12-10,1.71132
2023-12-11,2.5895
2023-12-12,1.51992
2023-12-13,1.30601
2023-12-14,1.42985
2023-12-15,1.49741
2023-12-16,1.05832
2023-12-17,0.86692
2023-12-18,1.57622
2023-12-19,1.66629
2023-12-20,2.48817
2023-12-21,2.36433
2023-12-22,1.65503
2023-12-23,1.26097
2023-12-24,1.28349
2023-12-25,1.48615
2023-12-26,1.8802
2023-12-27,2.22922
2023-12-28,1.92524
2023-12-29,1.85768
2023-12-30,1.70006
2023-12-31,1.7451
2024-01-01,2.66831
2024-01-02,7.61089
2024-01-03,13.73564
2024-01-04,13.47669
