date,KOSPI200
2020-03-20,100.0
2020-03-21,26.00797
2020-03-22,16.65928
2020-03-23,89.85378
2020-03-24,97.3416
2020-03-25,97.51883
2020-03-26,87.63845
2020-03-27,76.78334
2020-03-28,19.71643
2020-03-29,13.95657
2020-03-30,67.74479
2020-03-31,59.28223
2020-04-01,53.34514
2020-04-02,52.4147
2020-04-03,42.13557
2020-04-04,12.45015
2020-04-05,9.30438
2020-04-06,52.85777
2020-04-07,58.61763
2020-04-08,53.21222
2020-04-09,49.31324
2020-04-10,46.38901
2020-04-11,12.67168
2020-04-12,10.54497
2020-04-13,40.9836
2020-04-14,42.3128
2020-04-15,17.27957
2020-04-16,42.93309
2020-04-17,50.46521
2020-04-18,14.39964
2020-04-19,9.4373
2020-04-20,48.60434
2020-04-21,47.49667
2020-04-22,44.74966
2020-04-23,45.10412
2020-04-24,36.02126
2020-04-25,10.01329
2020-04-26,6.60168
2020-04-27,35.22374
2020-04-28,40.93929
2020-04-29,39.69871
2020-04-30,14.22241
2020-05-01,11.96278
2020-05-02,7.22197
2020-05-03,6.07
2020-05-04,34.38192
2020-05-05,11.96278
2020-05-06,34.73637
2020-05-07,32.03367
2020-05-08,30.70447
2020-05-09,9.92467
2020-05-10,7.00044
2020-05-11,33.71732
2020-05-12,29.86264
2020-05-13,30.8817
2020-05-14,29.95126
2020-05-15,25.34337
2020-05-16,7.22197
2020-05-17,5.09525
2020-05-18,28.35622
2020-05-19,34.9579
2020-05-20,26.8941
2020-05-21,31.32476
2020-05-22,26.40673
2020-05-23,7.22197
2020-05-24,5.62693
2020-05-25,29.10943
2020-05-26,32.16659
2020-05-27,40.14178
2020-05-28,41.02791
2020-05-29,33.18564
2020-05-30,8.99424
2020-05-31,7.93088
2020-06-01,33.27425
2020-06-02,34.55914
2020-06-03,45.05981
2020-06-04,44.66105
2020-06-05,40.2747
2020-06-06,10.41205
2020-06-07,8.68409
2020-06-08,36.86309
2020-06-09,38.36951
2020-06-10,34.02747
2020-06-11,35.53389
2020-06-12,41.20513
2020-06-13,8.24102
2020-06-14,4.43066
2020-06-15,39.69871
2020-06-16,41.29375
2020-06-17,38.14798
2020-06-18,32.52104
2020-06-19,29.5525
2020-06-20,8.01949
2020-06-21,5.58263
2020-06-22,28.75498
2020-06-23,30.12848
2020-06-24,29.33097
2020-06-25,27.95746
2020-06-26,27.91315
2020-06-27,6.24723
2020-06-28,4.0319
2020-06-29,25.21045
2020-06-30,30.12848
2020-07-01,25.69782
2020-07-02,27.42578
2020-07-03,22.50775
2020-07-04,6.11431
2020-07-05,4.47496
2020-07-06,26.49534
2020-07-07,31.28046
2020-07-08,27.5587
2020-07-09,25.21045
2020-07-10,21.4887
2020-07-11,6.82321
2020-07-12,4.16482
2020-07-13,25.29906
2020-07-14,25.83074
2020-07-15,25.29906
2020-07-16,25.74213
2020-07-17,22.95081
2020-07-18,6.86752
2020-07-19,5.00664
2020-07-20,22.8622
2020-07-21,28.2233
