date,원천세신고방법
2020-03-20,5.8385
2020-03-21,1.36645
2020-03-22,1.86335
2020-03-23,6.58385
2020-03-24,9.56521
2020-03-25,6.70807
2020-03-26,6.08695
2020-03-27,7.20496
2020-03-28,0.74534
2020-03-29,0.86956
2020-03-30,9.44099
2020-03-31,6.58385
2020-04-01,7.45341
2020-04-02,13.54037
2020-04-03,11.80124
2020-04-04,2.85714
2020-04-05,2.1118
2020-04-06,16.77018
2020-04-07,15.2795
2020-04-08,17.3913
2020-04-09,18.50931
2020-04-10,17.26708
2020-04-11,1.36645
2020-04-12,2.1118
2020-04-13,6.21118
2020-04-14,5.21739
2020-04-15,0.74534
2020-04-16,7.32919
2020-04-17,5.59006
2020-04-18,0.86956
2020-04-19,2.23602
2020-04-20,3.97515
2020-04-21,5.8385
2020-04-22,4.96894
2020-04-23,5.09316
2020-04-24,4.34782
2020-04-26,1.11801
2020-04-27,9.06832
2020-04-28,7.20496
2020-04-29,5.09316
2020-04-30,2.36024
2020-05-01,4.59627
2020-05-02,2.23602
2020-05-03,1.36645
2020-05-04,10.43478
2020-05-05,3.7267
2020-05-06,18.75776
2020-05-07,26.08695
2020-05-08,24.84472
2020-05-09,9.06832
2020-05-10,12.91925
2020-05-11,27.95031
2020-05-12,17.14285
2020-05-13,15.90062
2020-05-14,13.66459
2020-05-15,10.18633
2020-05-16,7.32919
2020-05-17,5.09316
2020-05-18,16.27329
2020-05-19,23.10559
2020-05-20,23.35403
2020-05-21,18.63354
2020-05-22,18.13664
2020-05-23,7.08074
2020-05-24,7.20496
2020-05-25,24.2236
2020-05-26,26.3354
2020-05-27,25.96273
2020-05-28,22.1118
2020-05-29,18.50931
2020-05-30,9.93788
2020-05-31,11.80124
2020-06-01,31.55279
2020-06-02,28.32298
2020-06-03,25.46583
2020-06-04,28.07453
2020-06-05,25.34161
2020-06-06,8.69565
2020-06-07,6.21118
2020-06-08,39.75155
2020-06-09,42.23602
2020-06-10,46.70807
2020-06-11,16.77018
2020-06-12,14.40993
2020-06-13,4.09937
2020-06-14,5.21739
2020-06-15,15.40372
2020-06-16,17.3913
2020-06-17,16.02484
2020-06-18,15.90062
2020-06-19,12.42236
2020-06-20,5.46583
2020-06-21,4.47204
2020-06-22,15.90062
2020-06-23,17.26708
2020-06-24,17.63975
2020-06-25,19.00621
2020-06-26,15.90062
2020-06-27,6.83229
2020-06-28,5.59006
2020-06-29,22.98136
2020-06-30,32.29813
2020-07-01,40.99378
2020-07-02,40.37267
2020-07-03,34.65838
2020-07-04,8.57142
2020-07-05,11.42857
2020-07-06,52.29813
2020-07-07,51.18012
2020-07-08,48.32298
2020-07-09,58.75776
2020-07-10,59.5031
2020-07-11,7.57763
2020-07-12,4.59627
2020-07-13,15.65217
2020-07-14,15.03105
2020-07-15,16.14906
2020-07-16,16.02484
2020-07-17,14.40993
2020-07-18,5.09316
2020-07-19,5.8385
2020-07-20,16.52173
2020-07-21,20.49689
2020-07-22,18.63354
2020-07-23,20.99378
2020-07-24,20.0
2020-07-25,5.46583
2020-07-26,6.21118
2020-07-27,20.49689
2020-07-28,20.12422
2020-07-29,21.24223
2020-07-30,23.10559
2020-07-31,31.80124
2020-08-01,6.58385
2020-08-02,7.82608
2020-08-03,26.45962
2020-08-04,29.81366
2020-08-05,34.16149
2020-08-06,29.81366
2020-08-07,30.31055
2020-08-08,7.32919
2020-08-09,13.54037
2020-08-10,49.68944
2020-08-11,12.79503
2020-08-12,14.16149
2020-08-13,12.54658
2020-08-14,8.32298
2020-08-15,2.36024
2020-08-16,2.36024
2020-08-17,5.71428
2020-08-18,13.78881
2020-08-19,12.29813
2020-08-20,12.91925
2020-08-21,12.42236
2020-08-22,3.10559
2020-08-23,5.21739
2020-08-24,16.02484
2020-08-25,16.8944
2020-08-26,16.8944
2020-08-27,12.91925
2020-08-28,10.93167
2020-08-29,3.97515
2020-08-30,5.59006
2020-08-31,16.39751
2020-09-01,20.24844
2020-09-02,25.59006
2020-09-03,24.47204
2020-09-04,28.81987
2020-09-05,9.56521
2020-09-06,10.43478
2020-09-07,33.78881
2020-09-08,31.80124
2020-09-09,38.88198
2020-09-10,38.38509
2020-09-11,10.31055
2020-09-12,4.34782
2020-09-13,3.22981
2020-09-14,14.7826
2020-09-15,11.18012
2020-09-16,11.92546
2020-09-17,13.91304
2020-09-18,9.68944
