date,금팔때
2020-03-20,24.6077
2020-03-21,16.54778
2020-03-22,11.98288
2020-03-23,23.8231
2020-03-24,30.09985
2020-03-25,32.45363
2020-03-26,27.74607
2020-03-27,23.68045
2020-03-28,15.83452
2020-03-29,12.55349
2020-03-30,22.4679
2020-03-31,22.68188
2020-04-01,22.39657
2020-04-02,17.54636
2020-04-03,22.7532
2020-04-04,15.2639
2020-04-05,12.41084
2020-04-06,23.96576
2020-04-07,29.45791
2020-04-08,23.5378
2020-04-09,24.53637
2020-04-10,39.15834
2020-04-11,22.25392
2020-04-12,41.94008
2020-04-13,59.9144
2020-04-14,63.69472
2020-04-15,35.59201
2020-04-16,50.2853
2020-04-17,42.22539
2020-04-18,26.10556
2020-04-19,20.89871
2020-04-20,29.02995
2020-04-21,35.87731
2020-04-22,36.30527
2020-04-23,39.01569
2020-04-24,46.29101
2020-04-25,30.09985
2020-04-26,31.0271
2020-04-27,65.97717
2020-04-28,45.00713
2020-04-29,32.95292
2020-04-30,22.03994
2020-05-01,22.89586
2020-05-02,26.89015
2020-05-03,22.11126
2020-05-04,29.10128
2020-05-05,31.16975
2020-05-06,46.21968
2020-05-07,27.60342
2020-05-08,27.67475
2020-05-09,19.90014
2020-05-10,14.40798
2020-05-11,25.74893
2020-05-12,24.67902
2020-05-13,28.31669
2020-05-14,26.96148
2020-05-15,26.10556
2020-05-16,22.18259
2020-05-17,19.82881
2020-05-18,50.71326
2020-05-19,45.64907
2020-05-20,34.73609
2020-05-21,33.66619
2020-05-22,28.17403
2020-05-23,21.89728
2020-05-24,21.61198
2020-05-25,30.02853
2020-05-26,24.893
2020-05-27,21.61198
2020-05-28,21.25534
2020-05-29,22.18259
2020-05-30,17.68901
2020-05-31,21.32667
2020-06-01,23.75178
2020-06-02,22.96718
2020-06-03,22.7532
2020-06-04,18.75891
2020-06-05,16.0485
2020-06-06,13.05278
2020-06-07,12.76747
2020-06-08,19.47218
2020-06-09,20.3281
2020-06-10,20.3281
2020-06-11,18.4736
2020-06-12,18.04564
2020-06-13,12.98145
2020-06-14,12.0542
2020-06-15,23.96576
2020-06-16,18.90156
2020-06-17,17.54636
2020-06-18,16.69044
2020-06-19,15.62054
2020-06-20,12.33951
2020-06-21,10.77032
2020-06-22,25.89158
2020-06-23,25.53495
2020-06-24,21.82596
2020-06-25,20.3281
2020-06-26,18.33095
2020-06-27,16.40513
2020-06-28,11.34094
2020-06-29,19.18687
2020-06-30,18.40228
2020-07-01,24.46504
2020-07-02,21.398
2020-07-03,21.398
2020-07-04,13.9087
2020-07-05,15.76319
2020-07-06,26.7475
2020-07-07,22.68188
2020-07-08,22.89586
2020-07-09,26.53352
2020-07-10,20.04279
2020-07-11,15.12125
2020-07-12,15.97717
2020-07-13,30.24251
2020-07-14,53.56633
2020-07-15,32.31098
2020-07-16,28.74465
2020-07-17,26.39087
2020-07-18,18.61626
2020-07-19,17.90299
2020-07-20,26.60485
2020-07-21,27.46077
2020-07-22,39.65763
2020-07-23,46.86162
2020-07-24,45.86305
2020-07-25,74.82168
2020-07-26,31.88302
2020-07-27,63.40941
2020-07-28,89.72895
2020-07-29,83.88017
2020-07-30,46.57631
2020-07-31,40.79885
2020-08-01,31.09843
2020-08-02,28.10271
2020-08-03,36.16262
2020-08-04,34.30813
2020-08-05,77.10413
2020-08-06,50.07132
2020-08-07,48.28815
2020-08-08,30.59914
2020-08-09,25.89158
2020-08-10,38.5164
2020-08-11,42.51069
2020-08-12,54.85021
2020-08-13,31.59771
2020-08-14,23.39514
2020-08-15,17.26105
2020-08-16,14.69329
2020-08-17,23.32382
2020-08-18,33.95149
2020-08-19,26.60485
2020-08-20,23.89443
2020-08-21,21.6833
2020-08-22,15.19258
2020-08-23,16.61911
2020-08-24,27.38944
2020-08-25,19.97146
2020-08-26,17.90299
2020-08-27,22.32524
2020-08-28,20.39942
2020-08-29,14.83594
2020-08-30,15.54921
2020-08-31,22.68188
2020-09-01,22.68188
2020-09-02,16.61911
2020-09-03,22.82453
2020-09-04,18.90156
2020-09-05,12.55349
2020-09-06,11.34094
2020-09-07,20.3281
2020-09-08,20.18544
2020-09-09,20.47075
2020-09-10,19.90014
2020-09-11,18.11697
2020-09-12,13.55206
2020-09-13,13.26676
2020-09-14,21.54065
2020-09-15,20.11412
2020-09-16,22.7532
2020-09-17,18.54493
2020-09-18,17.4037
2020-09-19,13.19543
2020-09-20,10.41369
2020-09-21,18.1883
2020-09-22,18.68758
2020-09-23,15.12125
2020-09-24,16.69044
2020-09-25,15.97717
2020-09-26,11.62624
2020-09-27,8.8445
2020-09-28,14.90727
2020-09-29,16.0485
2020-09-30,7.91726
2020-10-01,9.12981
2020-10-02,8.5592
2020-10-03,9.27246
2020-10-04,10.27104
2020-10-05,15.83452
2020-10-06,17.04707
2020-10-07,14.83594
2020-10-08,17.47503
2020-10-09,10.41369
2020-10-10,11.41226
2020-10-11,9.70042
2020-10-12,17.4037
2020-10-13,15.19258
