date,춘천대출
2020-03-26,3.91061
2020-03-29,3.91061
2020-03-30,3.35195
2020-04-16,2.79329
2020-04-20,2.79329
2020-05-04,2.79329
2020-05-11,3.35195
2020-05-28,2.79329
2020-06-02,2.79329
2020-06-25,3.91061
2020-08-18,2.79329
2020-09-28,3.35195
2020-10-12,2.79329
2020-11-14,3.35195
2020-12-09,3.35195
2020-12-14,3.91061
2021-01-03,2.79329
2021-01-13,2.79329
2021-01-31,2.79329
2021-02-19,5.58659
2021-03-08,2.79329
2021-03-11,2.79329
2021-04-19,5.02793
2021-04-27,3.91061
2021-07-14,5.58659
2021-07-23,2.79329
2021-07-26,2.79329
2021-09-01,3.35195
2021-09-29,2.79329
2021-11-18,2.79329
2021-11-23,2.79329
2021-12-04,3.91061
2021-12-07,2.79329
2021-12-16,3.91061
2022-02-18,3.35195
2022-02-23,2.79329
2022-03-10,3.35195
2022-04-02,6.70391
2022-08-17,3.35195
2022-08-29,3.35195
2022-09-20,3.91061
2022-09-30,5.02793
2022-10-27,2.79329
2022-10-28,2.79329
2022-11-11,3.35195
2022-11-30,2.79329
2023-02-22,2.79329
2023-03-26,2.79329
2023-04-18,5.02793
2023-04-30,2.79329
2023-05-03,5.58659
2023-05-10,3.35195
2023-06-22,5.02793
2023-07-26,5.58659
2023-08-01,3.35195
2023-08-03,3.35195
2023-08-07,3.91061
2023-08-08,5.58659
2023-08-09,7.26256
2023-08-10,6.70391
2023-08-18,8.93854
2023-08-20,4.46927
2023-08-21,4.46927
2023-08-22,3.35195
2023-08-24,6.70391
2023-08-27,3.35195
2023-08-28,3.35195
2023-09-05,4.46927
2023-09-06,3.91061
2023-09-08,2.79329
2023-09-11,2.79329
2023-09-15,3.35195
2023-09-21,2.79329
2023-09-25,2.79329
2023-09-28,5.02793
2023-09-30,2.79329
2023-10-02,3.91061
2023-10-03,4.46927
2023-10-05,6.70391
2023-10-07,3.35195
2023-10-08,3.91061
2023-10-09,2.79329
2023-10-10,8.93854
2023-10-11,5.58659
2023-10-12,6.14525
2023-10-14,4.46927
2023-10-15,10.05586
2023-10-16,10.05586
2023-10-17,6.14525
2023-10-18,6.14525
2023-10-19,3.35195
2023-10-20,4.46927
2023-10-21,5.02793
2023-10-22,11.73184
2023-10-23,3.91061
2023-10-24,5.58659
2023-10-25,3.91061
2023-10-26,6.14525
2023-10-27,6.14525
2023-10-28,5.02793
2023-10-29,7.26256
2023-10-30,5.02793
2023-10-31,6.70391
2023-11-01,3.35195
2023-11-02,4.46927
2023-11-03,8.37988
2023-11-04,5.02793
2023-11-05,6.14525
2023-11-06,8.37988
2023-11-07,5.02793
2023-11-08,8.37988
2023-11-09,8.37988
2023-11-10,6.70391
2023-11-12,3.35195
2023-11-13,7.26256
2023-11-14,5.58659
2023-11-15,8.37988
2023-11-16,6.14525
2023-11-17,8.37988
2023-11-18,6.70391
2023-11-19,6.70391
2023-11-20,7.26256
2023-11-21,6.14525
2023-11-22,4.46927
2023-11-23,7.26256
2023-11-24,3.35195
2023-11-25,3.91061
2023-11-26,3.91061
2023-11-27,5.58659
2023-11-28,5.02793
2023-11-29,10.05586
2023-11-30,6.14525
2023-12-01,5.58659
2023-12-02,10.61452
2023-12-03,7.82122
2023-12-04,10.61452
2023-12-05,7.82122
2023-12-06,13.96648
2023-12-07,8.93854
2023-12-08,8.93854
2023-12-09,12.2905
2023-12-10,11.73184
2023-12-11,11.73184
2023-12-12,10.61452
2023-12-13,15.08379
2023-12-14,8.93854
2023-12-15,8.93854
2023-12-16,5.02793
2023-12-17,18.99441
2023-12-18,11.73184
2023-12-19,7.26256
2023-12-20,11.17318
2023-12-21,10.05586
2023-12-22,10.05586
2023-12-23,2.79329
2023-12-24,10.61452
2023-12-25,14.52513
2023-12-26,7.26256
2023-12-27,9.4972
2023-12-28,11.17318
2023-12-30,3.91061
2023-12-31,8.37988
2024-01-01,7.26256
2024-01-02,5.02793
2024-01-03,9.4972
2024-01-04,9.4972
2024-01-05,16.20111
2024-01-06,12.2905
2024-01-07,20.11173
2024-01-08,12.2905
2024-01-09,9.4972
2024-01-10,8.93854
2024-01-11,6.70391
2024-01-12,5.58659
2024-01-13,3.91061
2024-01-14,6.14525
2024-01-15,10.61452
2024-01-16,5.02793
2024-01-17,6.70391
2024-01-18,6.70391
2024-01-19,80.44692
2024-01-20,52.51396
2024-01-21,42.4581
2024-01-22,63.68715
2024-01-23,79.88826
2024-01-24,61.45251
2024-01-25,73.74301
2024-01-26,64.24581
2024-01-27,51.39664
2024-01-28,51.9553
2024-01-29,87.70949
2024-01-30,80.44692
2024-01-31,63.68715
2024-02-01,67.59776
2024-02-02,58.65921
2024-02-03,53.07262
2024-02-04,50.83798
2024-02-05,61.45251
2024-02-06,79.3296
2024-02-07,64.24581
2024-02-08,73.74301
2024-02-09,54.7486
2024-02-10,54.7486
2024-02-11,55.30726
2024-02-12,67.59776
2024-02-13,78.77094
2024-02-14,100.0
2024-02-15,68.15642
2024-02-16,73.18435
2024-02-17,41.34078
2024-02-18,39.10614
2024-02-19,63.12849
2024-02-20,51.9553
2024-02-21,65.92178
2024-02-22,81.56424
2024-02-23,68.15642
2024-02-24,57.54189
2024-02-25,52.51396
2024-02-26,60.89385
2024-02-27,72.62569
2024-02-28,68.71508
2024-02-29,52.51396
2024-03-01,53.63128
2024-03-02,51.9553
2024-03-03,55.86592
2024-03-04,73.18435
2024-03-05,65.36312
2024-03-06,75.41899
2024-03-07,70.94972
