date,노후준비
2020-03-20,30.32367
2020-03-21,23.33901
2020-03-22,22.65758
2020-03-23,29.64224
2020-03-24,31.17546
2020-03-25,24.87223
2020-03-26,23.50936
2020-03-27,27.76831
2020-03-28,18.05792
2020-03-29,30.49403
2020-03-30,28.96081
2020-03-31,32.53833
2020-04-01,27.76831
2020-04-02,26.23509
2020-04-03,23.33901
2020-04-04,22.31686
2020-04-05,22.48722
2020-04-06,28.44974
2020-04-07,27.25724
2020-04-08,32.87904
2020-04-09,24.87223
2020-04-10,21.12436
2020-04-11,20.954
2020-04-12,29.30153
2020-04-13,29.64224
2020-04-14,33.56047
2020-04-15,29.98296
2020-04-16,25.21294
2020-04-17,21.63543
2020-04-18,25.04258
2020-04-19,36.45655
2020-04-20,28.6201
2020-04-21,25.72402
2020-04-22,30.49403
2020-04-23,28.96081
2020-04-24,25.3833
2020-04-25,28.10902
2020-04-26,30.66439
2020-04-27,36.62691
2020-04-28,37.4787
2020-04-29,34.58262
2020-04-30,28.96081
2020-05-01,31.85689
2020-05-02,26.23509
2020-05-03,35.09369
2020-05-04,32.02725
2020-05-05,36.62691
2020-05-06,34.07155
2020-05-07,27.25724
2020-05-08,23.33901
2020-05-09,18.90971
2020-05-10,26.06473
2020-05-11,28.96081
2020-05-12,25.72402
2020-05-13,23.33901
2020-05-14,26.23509
2020-05-15,29.98296
2020-05-16,25.72402
2020-05-17,28.79045
2020-05-18,42.41908
2020-05-19,36.96763
2020-05-20,24.87223
2020-05-21,27.08688
2020-05-22,29.64224
2020-05-23,20.27257
2020-05-24,28.96081
2020-05-25,36.62691
2020-05-26,21.80579
2020-05-27,28.6201
2020-05-28,24.1908
2020-05-29,28.27938
2020-05-30,19.42078
2020-05-31,26.74616
2020-06-01,23.67972
2020-06-02,25.89437
2020-06-03,28.96081
2020-06-04,37.98977
2020-06-05,39.35264
2020-06-06,30.32367
2020-06-07,33.0494
2020-06-08,40.37478
2020-06-09,32.53833
2020-06-10,25.55366
2020-06-11,25.89437
2020-06-12,26.74616
2020-06-13,25.3833
2020-06-14,26.06473
2020-06-15,30.32367
2020-06-16,28.79045
2020-06-17,25.89437
2020-06-18,20.954
2020-06-19,20.61328
2020-06-20,20.27257
2020-06-21,26.06473
2020-06-22,26.23509
2020-06-23,27.42759
2020-06-24,22.48722
2020-06-25,26.5758
2020-06-26,23.67972
2020-06-27,20.78364
2020-06-28,21.12436
2020-06-29,25.72402
2020-06-30,27.93867
2020-07-01,24.70187
2020-07-02,22.65758
2020-07-03,26.06473
2020-07-04,15.33219
2020-07-05,31.85689
2020-07-06,36.79727
2020-07-07,34.2419
2020-07-08,25.21294
2020-07-09,24.1908
2020-07-10,21.12436
2020-07-11,13.11754
