date,한온시스템주가
2020-03-20,6.46238
2020-03-21,1.13449
2020-03-22,0.7846
2020-03-23,5.61946
2020-03-24,6.38816
2020-03-25,6.9342
2020-03-26,6.22912
2020-03-27,5.7838
2020-03-28,0.90653
2020-03-29,0.68917
2020-03-30,5.03101
2020-03-31,4.96209
2020-04-01,5.3968
2020-04-02,5.23246
2020-04-03,5.11583
2020-04-04,0.99666
2020-04-05,0.81111
2020-04-06,6.5207
2020-04-07,7.77182
2020-04-08,6.42527
2020-04-09,6.34045
2020-04-10,5.55585
2020-04-11,0.91713
2020-04-12,0.8005
2020-04-13,5.68308
2020-04-14,5.32789
2020-04-15,1.33594
2020-04-16,5.53994
2020-04-17,6.71155
2020-04-18,1.01256
2020-04-19,0.95424
2020-04-20,6.44648
2020-04-21,6.5154
2020-04-22,6.26093
2020-04-23,5.49223
2020-04-24,4.70762
2020-04-25,0.7952
2020-04-26,0.67857
2020-04-27,5.30138
2020-04-28,6.17081
2020-04-29,6.21852
2020-04-30,0.82171
2020-05-01,1.06557
2020-05-02,0.49833
2020-05-03,0.55134
2020-05-04,4.57509
2020-05-05,0.86412
2020-05-06,5.17945
2020-05-07,6.31924
2020-05-08,5.55054
2020-05-09,0.94364
2020-05-10,0.93834
2020-05-11,6.87059
2020-05-12,6.66383
2020-05-13,7.00842
2020-05-14,6.71685
2020-05-15,6.11249
2020-05-16,1.1663
2020-05-17,1.12919
2020-05-18,6.27153
2020-05-19,6.71685
2020-05-20,7.79833
2020-05-21,12.81344
2020-05-22,8.54052
2020-05-23,1.07618
2020-05-24,1.22992
2020-05-25,8.23304
2020-05-26,8.39739
2020-05-27,8.33907
2020-05-28,9.90828
2020-05-29,9.72803
2020-05-30,1.60631
2020-05-31,1.1663
2020-06-01,11.39797
2020-06-02,12.56427
2020-06-03,12.10836
2020-06-04,9.62731
2020-06-05,9.5902
2020-06-06,1.1875
2020-06-07,0.89063
2020-06-08,8.91692
2020-06-09,7.52266
2020-06-10,8.4398
2020-06-11,10.52324
2020-06-12,7.49615
2020-06-13,1.1557
2020-06-14,1.32534
2020-06-15,7.09855
2020-06-16,7.17807
2020-06-17,5.97465
2020-06-18,5.43921
2020-06-19,5.65127
2020-06-20,0.84822
2020-06-21,0.84822
2020-06-22,6.18141
2020-06-23,6.57371
2020-06-24,7.25229
2020-06-25,6.34045
2020-06-26,6.19201
2020-06-27,0.85352
2020-06-28,0.62026
2020-06-29,5.25897
2020-06-30,6.29804
2020-07-01,5.85272
2020-07-02,6.01176
2020-07-03,5.88983
2020-07-04,0.76339
2020-07-05,0.71038
2020-07-06,7.24699
2020-07-07,11.1488
2020-07-08,9.47887
2020-07-09,8.30726
2020-07-10,6.88119
2020-07-11,1.12919
2020-07-12,0.90653
2020-07-13,8.28606
2020-07-14,6.44648
2020-07-15,6.5154
2020-07-16,5.87393
2020-07-17,7.33711
2020-07-18,1.25112
2020-07-19,1.02846
2020-07-20,7.89906
2020-07-21,6.39346
2020-07-22,6.10189
2020-07-23,6.76456
2020-07-24,5.3915
2020-07-25,0.82171
2020-07-26,0.73689
2020-07-27,7.53326
2020-07-28,6.62672
2020-07-29,6.41467
2020-07-30,9.6008
2020-07-31,7.70821
2020-08-01,0.90653
2020-08-02,0.95424
2020-08-03,7.89376
2020-08-04,7.77182
2020-08-05,6.60022
2020-08-06,7.88845
2020-08-07,7.48555
2020-08-08,1.60101
2020-08-09,1.32534
2020-08-10,12.70741
2020-08-11,11.48809
2020-08-12,29.18941
2020-08-13,35.14817
2020-08-14,24.49239
2020-08-15,3.66855
2020-08-16,3.11721
2020-08-17,4.51677
2020-08-18,18.71388
2020-08-19,15.99957
2020-08-20,14.39855
2020-08-21,17.45745
2020-08-22,3.18083
2020-08-23,2.59767
2020-08-24,16.64104
2020-08-25,14.45157
2020-08-26,13.08911
2020-08-27,11.94931
2020-08-28,11.74786
2020-08-29,2.28489
2020-08-30,2.29549
2020-08-31,13.17393
2020-09-01,12.77103
2020-09-02,12.74982
2020-09-03,13.0414
2020-09-04,11.22833
2020-09-05,2.53406
2020-09-06,3.54662
2020-09-07,16.99093
2020-09-08,13.21104
2020-09-09,12.76573
2020-09-10,12.46355
2020-09-11,9.92949
2020-09-12,2.07284
2020-09-13,2.23188
2020-09-14,13.48672
2020-09-15,14.34554
2020-09-16,13.67756
2020-09-17,20.3414
2020-09-18,15.96246
2020-09-19,2.87334
2020-09-20,2.06223
2020-09-21,15.70269
2020-09-22,13.46021
2020-09-23,11.8804
2020-09-24,11.95992
2020-09-25,9.2244
2020-09-26,1.52679
2020-09-27,0.93834
2020-09-28,9.63791
2020-09-29,8.69426
2020-09-30,1.20871
2020-10-01,1.5427
2020-10-02,1.68053
2020-10-03,2.18417
2020-10-04,2.63478
2020-10-05,13.8101
2020-10-06,13.14213
2020-10-07,10.62397
2020-10-08,10.19986
2020-10-09,2.20007
2020-10-10,1.25112
2020-10-11,1.33064
2020-10-12,8.65185
2020-10-13,7.85134
2020-10-14,8.25425
2020-10-15,7.6923
2020-10-16,8.85331
2020-10-17,1.26703
2020-10-18,0.97545
2020-10-19,8.18533
2020-10-20,7.97858
2020-10-21,8.48221
2020-10-22,7.74532
2020-10-23,7.61278
2020-10-24,1.04437
2020-10-25,0.73689
2020-10-26,6.60552
2020-10-27,6.09659
2020-10-28,8.4345
2020-10-29,6.913
2020-10-30,6.50479
2020-10-31,1.10268
2020-11-01,0.7952
2020-11-02,7.08794
2020-11-03,6.95011
2020-11-04,7.08794
2020-11-05,8.461
2020-11-06,7.687
2020-11-07,1.46848
2020-11-08,1.09208
2020-11-09,8.8321
2020-11-10,7.87255
2020-11-11,26.0669
2020-11-12,19.68403
2020-11-13,13.92143
2020-11-14,2.57647
2020-11-15,1.9244
2020-11-16,12.99899
2020-11-17,11.57822
2020-11-18,10.82542
2020-11-19,41.37729
2020-11-20,30.24969
2020-11-21,4.06085
2020-11-22,3.32926
2020-11-23,20.87684
2020-11-24,20.84504
2020-11-25,19.00546
2020-11-26,16.80008
2020-11-27,14.44627
2020-11-28,3.11191
2020-11-29,3.28155
2020-11-30,15.10894
2020-12-01,28.51614
2020-12-02,26.67656
2020-12-03,22.49377
2020-12-04,23.17234
2020-12-05,3.99724
2020-12-06,3.11721
2020-12-07,18.0141
2020-12-08,18.4064
2020-12-09,18.76689
2020-12-10,17.2666
2020-12-11,15.90945
2020-12-12,2.49695
2020-12-13,2.38032
2020-12-14,14.01685
2020-12-15,12.90356
2020-12-16,13.52382
2020-12-17,13.12622
2020-12-18,13.24815
2020-12-19,2.38032
2020-12-20,2.58177
2020-12-21,14.12818
2020-12-22,13.65106
2020-12-23,19.9385
2020-12-24,17.02804
2020-12-25,2.6878
2020-12-26,2.24778
2020-12-27,2.25838
2020-12-28,13.84721
2020-12-29,12.87175
2020-12-30,15.09834
2020-12-31,3.93362
2021-01-01,2.27429
2021-01-02,2.91576
2021-01-03,3.52011
2021-01-04,23.64417
2021-01-05,22.93378
2021-01-06,20.80262
2021-01-07,24.25913
2021-01-08,53.83024
2021-01-09,12.07125
2021-01-10,11.70015
2021-01-11,52.97142
2021-01-12,39.51121
2021-01-13,35.89566
2021-01-14,33.26088
2021-01-15,27.02115
2021-01-16,6.88649
2021-01-17,5.16884
2021-01-18,28.96145
2021-01-19,36.56894
2021-01-20,36.37279
2021-01-21,37.1892
2021-01-22,30.96538
2021-01-23,6.27683
2021-01-24,5.66187
2021-01-25,32.94809
2021-01-26,34.96792
2021-01-27,33.07533
2021-01-28,28.78121
2021-01-29,26.74017
2021-01-30,4.37364
2021-01-31,3.88061
2021-02-01,28.12914
2021-02-02,28.7706
2021-02-03,37.25282
2021-02-04,49.64745
2021-02-05,35.31781
2021-02-06,7.47495
2021-02-07,8.68366
2021-02-08,33.80692
2021-02-09,33.23437
2021-02-10,31.99915
2021-02-11,6.30334
2021-02-12,5.12113
2021-02-13,5.82091
2021-02-14,5.95345
2021-02-15,35.24889
2021-02-16,31.8295
2021-02-17,28.98796
2021-02-18,27.73683
2021-02-19,27.65731
2021-02-20,6.97131
2021-02-21,6.8971
2021-02-22,25.88665
2021-02-23,31.4372
2021-02-24,30.72151
2021-02-25,30.38753
2021-02-26,25.86545
2021-02-27,8.91692
2021-02-28,7.38482
2021-03-01,9.09717
