date,힐스테이트
2020-03-20,9.88657
2020-03-21,7.61816
2020-03-22,7.54514
2020-03-23,13.4547
2020-03-24,20.73212
2020-03-25,12.35457
2020-03-26,10.31494
2020-03-27,9.171
2020-03-28,7.38451
2020-03-29,6.8101
2020-03-30,11.01591
2020-03-31,10.29547
2020-04-01,15.30448
2020-04-02,17.38791
2020-04-03,12.81701
2020-04-04,9.80382
2020-04-05,8.68909
2020-04-06,13.55692
2020-04-07,13.20644
2020-04-08,11.58545
2020-04-09,12.02842
2020-04-10,12.00408
2020-04-11,8.97142
2020-04-12,9.22455
2020-04-13,12.67585
2020-04-14,12.3497
2020-04-15,9.5799
2020-04-16,11.72175
2020-04-17,10.17864
2020-04-18,9.18561
2020-04-19,8.87406
2020-04-20,12.84622
2020-04-21,13.43523
2020-04-22,13.91228
2020-04-23,14.47695
2020-04-24,12.69532
2020-04-25,10.38796
2020-04-26,10.23706
2020-04-27,16.5117
2020-04-28,12.40811
2020-04-29,12.25721
2020-04-30,9.3073
2020-05-01,9.81842
2020-05-02,9.36572
2020-05-03,9.78922
2020-05-04,12.44219
2020-05-05,13.82466
2020-05-06,37.63812
2020-05-07,24.45601
2020-05-08,20.9171
2020-05-09,12.73426
2020-05-10,12.96305
2020-05-11,39.77023
2020-05-12,48.01635
2020-05-13,16.01518
2020-05-14,15.62576
2020-05-15,18.72657
2020-05-16,13.71756
2020-05-17,15.30448
2020-05-18,59.09555
2020-05-19,100.0
2020-05-20,20.62016
2020-05-21,14.47208
2020-05-22,15.48946
2020-05-23,11.04999
2020-05-24,11.27878
2020-05-25,17.01796
2020-05-26,17.34897
2020-05-27,15.54787
2020-05-28,13.98529
2020-05-29,16.86219
2020-05-30,13.3038
2020-05-31,13.57153
2020-06-01,27.74667
2020-06-02,27.12359
2020-06-03,17.00335
2020-06-04,15.56247
2020-06-05,15.21686
2020-06-06,14.17514
2020-06-07,13.90254
2020-06-08,16.99849
2020-06-09,17.98666
2020-06-10,18.12296
2020-06-11,24.5485
2020-06-12,20.32809
2020-06-13,11.62439
2020-06-14,11.64386
2020-06-15,22.66465
2020-06-16,16.75509
2020-06-17,15.31421
2020-06-18,14.93452
2020-06-19,13.01173
2020-06-20,10.74331
2020-06-21,12.51521
2020-06-22,19.53463
2020-06-23,14.38446
2020-06-24,14.95886
2020-06-25,15.26554
2020-06-26,11.50756
2020-06-27,9.91578
2020-06-28,9.82329
2020-06-29,16.00058
2020-06-30,15.30935
2020-07-01,23.64309
2020-07-02,23.69663
2020-07-03,13.12369
2020-07-04,9.19534
2020-07-05,9.88657
2020-07-06,14.62785
2020-07-07,14.54023
2020-07-08,14.50128
2020-07-09,12.26208
2020-07-10,11.47836
2020-07-11,10.28574
2020-07-12,10.58754
2020-07-13,13.90254
2020-07-14,13.23078
2020-07-15,13.93175
2020-07-16,15.05622
2020-07-17,12.52007
2020-07-18,10.58754
2020-07-19,10.2614
2020-07-20,13.55206
2020-07-21,14.48668
2020-07-22,13.65915
2020-07-23,12.46653
2020-07-24,11.81911
2020-07-25,9.96933
2020-07-26,10.87961
2020-07-27,13.94635
2020-07-28,13.95609
2020-07-29,13.9999
2020-07-30,13.70296
2020-07-31,14.36499
2020-08-01,12.25721
2020-08-02,11.42481
2020-08-03,17.66051
2020-08-04,16.39974
2020-08-05,14.35038
2020-08-06,14.81769
2020-08-07,13.76137
2020-08-08,11.5319
2020-08-09,10.39283
2020-08-10,15.74745
2020-08-11,15.82047
2020-08-12,13.4401
2020-08-13,15.10976
2020-08-14,17.57289
2020-08-15,13.03607
2020-08-16,10.70437
2020-08-17,12.65637
2020-08-18,15.32882
2020-08-19,21.87119
2020-08-20,15.44565
2020-08-21,13.36221
2020-08-22,11.14734
2020-08-23,11.16195
2020-08-24,18.60487
2020-08-25,15.07569
2020-08-26,13.99016
2020-08-27,13.99503
2020-08-28,18.5854
2020-08-29,13.02146
2020-08-30,11.86778
2020-08-31,16.7989
2020-09-01,16.87679
2020-09-02,16.63827
