date,타이거ETF
2020-03-20,27.85515
2020-03-21,13.09192
2020-03-22,16.99164
2020-03-23,25.34818
2020-03-24,22.84122
2020-03-25,25.34818
2020-03-26,19.22005
2020-03-27,16.15598
2020-03-28,14.48467
2020-03-29,13.64902
2020-03-30,21.44846
2020-03-31,30.08356
2020-04-01,23.67688
2020-04-02,24.51253
2020-04-03,22.56267
2020-04-04,12.53481
2020-04-05,9.7493
2020-04-06,28.96935
2020-04-07,22.00557
2020-04-08,20.61281
2020-04-09,18.9415
2020-04-10,19.4986
2020-04-11,9.1922
2020-04-12,9.47075
2020-04-13,20.05571
2020-04-14,15.59888
2020-04-15,10.02785
2020-04-16,15.32033
2020-04-17,19.77715
2020-04-18,12.53481
2020-04-19,12.53481
2020-04-20,24.23398
2020-04-21,31.47632
2020-04-22,40.94707
2020-04-23,38.99721
2020-04-24,24.51253
2020-04-25,11.69916
2020-04-26,10.02785
2020-04-27,18.10584
2020-04-28,25.34818
2020-04-29,17.82729
2020-04-30,11.14206
2020-05-01,8.07799
2020-05-02,9.7493
2020-05-03,8.91364
2020-05-04,16.15598
2020-05-05,10.02785
2020-05-06,20.05571
2020-05-07,12.81337
2020-05-08,12.53481
2020-05-09,10.3064
2020-05-10,7.79944
2020-05-11,10.58495
2020-05-12,17.54874
2020-05-13,14.76323
2020-05-14,12.81337
2020-05-15,6.12813
2020-05-16,4.45682
2020-05-17,10.58495
2020-05-18,18.9415
2020-05-19,22.84122
2020-05-20,13.64902
2020-05-21,20.89136
2020-05-22,16.99164
2020-05-23,9.7493
2020-05-24,11.69916
2020-05-25,24.79108
2020-05-26,26.18384
2020-05-27,17.54874
2020-05-28,15.59888
2020-05-29,13.37047
2020-05-30,8.91364
2020-05-31,7.79944
2020-06-01,12.53481
2020-06-02,15.87743
2020-06-03,23.39832
2020-06-04,17.54874
2020-06-05,14.48467
2020-06-06,7.52089
2020-06-07,7.24233
2020-06-08,14.76323
2020-06-09,19.77715
2020-06-10,18.3844
2020-06-11,13.37047
2020-06-12,13.92757
2020-06-13,15.04178
2020-06-14,13.64902
2020-06-15,13.64902
2020-06-16,11.14206
2020-06-17,16.43454
2020-06-18,14.48467
2020-06-19,12.53481
2020-06-20,6.68523
2020-06-21,9.1922
2020-06-22,11.69916
2020-06-23,13.37047
2020-06-24,16.43454
2020-06-25,14.76323
2020-06-26,8.91364
2020-06-27,6.96378
2020-06-28,6.68523
2020-06-29,11.69916
2020-06-30,16.99164
2020-07-01,13.92757
2020-07-02,15.87743
2020-07-03,10.3064
2020-07-04,5.01392
2020-07-05,11.14206
2020-07-06,18.3844
2020-07-07,13.37047
2020-07-08,19.77715
2020-07-09,21.44846
2020-07-10,17.82729
2020-07-11,13.37047
2020-07-12,9.1922
2020-07-13,18.3844
2020-07-14,14.48467
2020-07-15,19.22005
2020-07-16,13.09192
2020-07-17,14.48467
2020-07-18,15.59888
2020-07-19,11.69916
2020-07-20,15.59888
2020-07-21,24.51253
2020-07-22,18.66295
2020-07-23,18.9415
2020-07-24,14.76323
2020-07-25,8.07799
2020-07-26,9.7493
2020-07-27,18.3844
2020-07-28,20.61281
2020-07-29,16.43454
2020-07-30,17.27019
2020-07-31,19.4986
2020-08-01,11.97771
2020-08-02,9.1922
2020-08-03,23.11977
2020-08-04,25.34818
2020-08-05,30.64066
2020-08-06,38.71866
2020-08-07,35.09749
2020-08-08,25.62674
2020-08-09,24.23398
2020-08-10,32.31197
2020-08-11,34.54038
2020-08-12,24.51253
2020-08-13,30.64066
2020-08-14,28.96935
2020-08-15,12.81337
2020-08-16,11.97771
2020-08-17,11.97771
2020-08-18,20.33426
2020-08-19,19.77715
2020-08-20,20.61281
2020-08-21,14.48467
2020-08-22,11.14206
2020-08-23,10.58495
2020-08-24,21.44846
2020-08-25,24.79108
2020-08-26,22.56267
2020-08-27,26.46239
2020-08-28,18.10584
2020-08-29,17.54874
2020-08-30,14.20612
2020-08-31,25.06963
2020-09-01,19.22005
2020-09-02,23.11977
2020-09-03,27.5766
2020-09-04,19.4986
2020-09-05,6.96378
2020-09-06,9.47075
2020-09-07,16.15598
2020-09-08,14.76323
2020-09-09,19.4986
2020-09-10,19.22005
2020-09-11,13.92757
2020-09-12,5.57103
2020-09-13,7.79944
2020-09-14,16.43454
2020-09-15,14.48467
2020-09-16,14.76323
2020-09-17,18.3844
2020-09-18,15.87743
2020-09-19,8.91364
2020-09-20,5.57103
2020-09-21,8.91364
2020-09-22,12.53481
2020-09-23,11.14206
2020-09-24,9.7493
2020-09-25,8.35654
2020-09-26,7.52089
2020-09-27,5.57103
2020-09-28,16.43454
2020-09-29,9.1922
2020-09-30,3.89972
2020-10-01,9.47075
2020-10-02,6.12813
2020-10-03,8.07799
2020-10-04,5.84958
2020-10-05,24.79108
2020-10-06,26.74094
2020-10-07,43.73259
2020-10-08,30.64066
2020-10-09,16.99164
2020-10-10,26.74094
2020-10-11,15.59888
2020-10-12,33.98328
2020-10-13,27.5766
2020-10-14,18.10584
2020-10-15,25.34818
2020-10-16,18.66295
2020-10-17,18.3844
2020-10-18,10.02785
2020-10-19,23.67688
2020-10-20,19.4986
2020-10-21,17.27019
2020-10-22,16.71309
2020-10-23,13.64902
2020-10-24,7.79944
2020-10-25,10.58495
2020-10-26,17.27019
2020-10-27,20.61281
2020-10-28,18.9415
2020-10-29,14.76323
2020-10-30,16.15598
2020-10-31,6.96378
2020-11-01,9.7493
2020-11-02,15.04178
2020-11-03,16.99164
2020-11-04,14.76323
2020-11-05,20.61281
2020-11-06,27.5766
2020-11-07,15.32033
2020-11-08,17.82729
2020-11-09,29.24791
2020-11-10,30.64066
2020-11-11,22.28412
2020-11-12,22.56267
2020-11-13,23.67688
2020-11-14,17.54874
2020-11-15,22.28412
2020-11-16,27.5766
2020-11-17,27.85515
2020-11-18,29.24791
2020-11-19,32.86908
2020-11-20,28.41225
2020-11-21,23.11977
2020-11-22,17.82729
2020-11-23,33.70473
2020-11-24,30.64066
2020-11-25,35.09749
2020-11-26,30.36211
2020-11-27,27.29805
2020-11-28,17.27019
2020-11-29,32.59052
2020-11-30,36.49025
2020-12-01,32.59052
2020-12-02,32.31197
2020-12-03,38.44011
2020-12-04,35.93314
2020-12-05,32.86908
2020-12-06,32.31197
2020-12-07,31.19777
2020-12-08,37.3259
2020-12-09,32.03342
2020-12-10,31.47632
2020-12-11,24.51253
2020-12-12,11.69916
2020-12-13,18.3844
2020-12-14,24.51253
2020-12-15,22.28412
2020-12-16,35.93314
2020-12-17,33.98328
2020-12-18,25.06963
2020-12-19,23.95543
2020-12-20,25.62674
2020-12-21,36.7688
2020-12-22,32.59052
2020-12-23,28.41225
2020-12-24,35.37604
2020-12-25,18.9415
2020-12-26,27.01949
2020-12-27,36.7688
2020-12-28,47.63231
2020-12-29,40.11142
2020-12-30,40.66852
2020-12-31,32.86908
2021-01-01,28.96935
2021-01-02,32.03342
2021-01-03,43.73259
2021-01-04,64.3454
2021-01-05,57.66016
2021-01-06,53.76044
2021-01-07,61.55988
2021-01-08,67.13091
2021-01-09,44.84679
2021-01-10,52.36768
2021-01-11,69.08077
2021-01-12,48.46796
2021-01-13,67.96657
2021-01-14,46.79665
2021-01-15,43.45403
2021-01-16,29.24791
2021-01-17,31.47632
2021-01-18,37.04735
2021-01-19,37.60445
2021-01-20,47.35376
2021-01-21,59.88857
2021-01-22,69.35933
2021-01-23,64.06685
2021-01-24,55.98885
2021-01-25,82.7298
2021-01-26,88.57938
2021-01-27,51.81058
2021-01-28,59.05292
2021-01-29,45.40389
2021-01-30,31.47632
2021-01-31,31.75487
2021-02-01,40.66852
2021-02-02,46.23955
2021-02-03,45.961
2021-02-04,46.5181
2021-02-05,53.20334
2021-02-06,32.31197
2021-02-07,37.3259
2021-02-08,43.73259
2021-02-09,45.961
2021-02-10,49.86072
2021-02-11,33.14763
2021-02-12,33.70473
2021-02-13,33.98328
2021-02-14,43.73259
2021-02-15,70.75208
2021-02-16,63.50974
2021-02-17,61.00278
2021-02-18,39.55431
2021-02-19,44.28969
2021-02-20,25.06963
2021-02-21,26.18384
2021-02-22,37.04735
2021-02-23,28.1337
2021-02-24,40.66852
2021-02-25,41.50417
2021-02-26,37.883
2021-02-27,23.95543
2021-02-28,27.01949
2021-03-01,27.5766
2021-03-02,36.49025
2021-03-03,25.06963
2021-03-04,25.62674
2021-03-05,22.00557
2021-03-06,17.27019
2021-03-07,18.3844
2021-03-08,25.34818
2021-03-09,37.3259
2021-03-10,27.5766
2021-03-11,28.41225
2021-03-12,23.39832
2021-03-13,18.9415
2021-03-14,19.22005
2021-03-15,23.67688
2021-03-16,25.34818
2021-03-17,31.19777
2021-03-18,21.16991
2021-03-19,26.74094
2021-03-20,13.92757
2021-03-21,14.20612
2021-03-22,21.16991
2021-03-23,21.16991
2021-03-24,19.4986
2021-03-25,20.89136
2021-03-26,20.05571
2021-03-27,12.25626
2021-03-28,17.82729
2021-03-29,22.84122
2021-03-30,28.1337
2021-03-31,19.4986
2021-04-01,23.95543
2021-04-02,23.67688
2021-04-03,20.61281
2021-04-04,25.06963
2021-04-05,32.86908
2021-04-06,47.0752
2021-04-07,59.05292
2021-04-08,57.93871
2021-04-09,82.45125
2021-04-10,31.75487
2021-04-11,29.52646
2021-04-12,49.58217
2021-04-13,46.79665
2021-04-14,44.28969
2021-04-15,44.56824
2021-04-16,47.91086
2021-04-17,17.54874
2021-04-18,20.89136
2021-04-19,30.08356
2021-04-20,32.03342
2021-04-21,36.21169
