date,주식용어
2020-03-20,93.05431
2020-03-21,49.59928
2020-03-22,43.54407
2020-03-23,77.82724
2020-03-24,78.62867
2020-03-25,93.05431
2020-03-26,100.0
2020-03-27,91.8967
2020-03-28,57.79162
2020-03-29,52.44879
2020-03-30,80.32056
2020-03-31,81.65627
2020-04-01,83.34817
2020-04-02,73.99821
2020-04-03,66.07301
2020-04-04,45.50311
2020-04-05,52.2707
2020-04-06,67.05253
2020-04-07,75.42297
2020-04-08,70.61442
2020-04-09,64.55921
2020-04-10,56.45592
2020-04-11,39.53695
2020-04-12,38.29029
2020-04-13,48.61976
2020-04-14,49.51024
2020-04-15,32.41317
2020-04-16,42.74265
2020-04-17,51.73642
2020-04-18,32.23508
2020-04-19,36.15316
2020-04-20,48.26357
2020-04-21,47.3731
2020-04-22,58.86019
2020-04-23,58.14781
2020-04-24,45.59216
2020-04-25,26.89225
2020-04-26,23.41941
2020-04-27,42.6536
2020-04-28,40.33837
2020-04-29,38.55743
2020-04-30,29.91985
2020-05-01,26.00178
2020-05-02,20.21371
2020-05-03,20.48085
2020-05-04,30.45414
2020-05-05,22.26179
2020-05-06,36.06411
2020-05-07,29.56366
2020-05-08,31.34461
2020-05-09,22.43989
2020-05-10,21.01513
2020-05-11,31.7008
2020-05-12,33.30365
2020-05-13,28.4951
2020-05-14,30.09795
2020-05-15,25.2894
2020-05-16,13.89136
2020-05-17,14.1585
2020-05-18,17.00801
2020-05-19,19.59038
2020-05-20,21.01513
2020-05-21,25.91273
2020-05-22,23.68655
2020-05-23,12.55565
2020-05-24,11.04185
2020-05-25,21.9056
2020-05-26,23.24131
2020-05-27,18.07658
2020-05-28,21.72751
2020-05-29,21.01513
2020-05-30,10.86375
2020-05-31,9.08281
2020-06-01,18.96705
2020-06-02,23.33036
2020-06-03,22.0837
2020-06-04,27.96081
2020-06-05,22.26179
2020-06-06,14.42564
2020-06-07,12.82279
2020-06-08,22.88512
2020-06-09,27.07034
2020-06-10,24.04274
2020-06-11,24.84416
2020-06-12,22.52894
2020-06-13,15.04897
2020-06-14,14.1585
2020-06-15,24.84416
2020-06-16,23.95369
2020-06-17,25.37845
2020-06-18,27.33748
2020-06-19,21.81656
2020-06-20,12.6447
2020-06-21,14.69278
2020-06-22,23.06322
2020-06-23,22.0837
2020-06-24,24.84416
2020-06-25,22.52894
2020-06-26,19.76847
2020-06-27,9.61709
2020-06-28,10.9528
2020-06-29,15.13802
2020-06-30,19.76847
2020-07-01,21.46037
2020-07-02,20.74799
2020-07-03,20.92609
2020-07-04,10.77471
2020-07-05,12.19946
2020-07-06,21.72751
2020-07-07,25.37845
2020-07-08,24.48797
2020-07-09,24.75512
2020-07-10,22.17275
2020-07-11,13.35707
2020-07-12,13.62422
2020-07-13,27.07034
2020-07-14,28.04986
2020-07-15,26.44701
2020-07-16,25.1113
2020-07-17,23.50845
2020-07-18,14.87088
2020-07-19,15.13802
2020-07-20,23.95369
2020-07-21,26.71415
2020-07-22,29.20747
2020-07-23,30.27604
2020-07-24,30.09795
2020-07-25,19.05609
2020-07-26,17.63134
2020-07-27,29.74176
2020-07-28,30.09795
2020-07-29,32.41317
2020-07-30,34.37221
2020-07-31,25.1113
2020-08-01,16.56277
2020-08-02,17.98753
2020-08-03,27.51558
2020-08-04,32.41317
2020-08-05,36.86553
2020-08-06,34.46126
2020-08-07,39.09171
2020-08-08,21.10418
2020-08-09,24.04274
2020-08-10,38.02315
2020-08-11,39.626
2020-08-12,38.02315
2020-08-13,40.42742
2020-08-14,31.7008
2020-08-15,16.47373
2020-08-16,15.04897
2020-08-17,17.1861
2020-08-18,29.11843
2020-08-19,29.83081
2020-08-20,30.89937
2020-08-21,33.65983
2020-08-22,19.59038
2020-08-23,18.07658
2020-08-24,31.78984
2020-08-25,36.06411
2020-08-26,33.83793
2020-08-27,40.07123
2020-08-28,32.50222
2020-08-29,21.19323
2020-08-30,23.7756
2020-08-31,35.88601
2020-09-01,43.18788
2020-09-02,49.065
2020-09-03,40.69456
2020-09-04,46.03739
2020-09-05,26.26892
2020-09-06,24.66607
2020-09-07,47.01691
2020-09-08,47.19501
2020-09-09,44.87978
2020-09-10,47.64024
2020-09-11,37.22172
2020-09-12,23.95369
2020-09-13,23.41941
2020-09-14,40.07123
2020-09-15,37.13268
2020-09-16,44.79073
2020-09-17,40.42742
2020-09-18,36.15316
2020-09-19,17.80943
2020-09-20,20.3918
2020-09-21,29.91985
2020-09-22,35.79697
2020-09-23,34.7284
2020-09-24,34.19412
2020-09-25,33.83793
2020-09-26,18.16562
2020-09-27,18.07658
2020-09-28,31.96794
2020-09-29,24.30988
2020-09-30,18.78895
2020-10-01,22.43989
2020-10-02,20.48085
2020-10-03,15.49421
2020-10-04,19.67943
2020-10-05,29.74176
2020-10-06,29.65271
2020-10-07,26.44701
2020-10-08,30.81032
2020-10-09,18.878
2020-10-10,15.31611
2020-10-11,15.31611
2020-10-12,28.13891
2020-10-13,29.02938
2020-10-14,28.67319
2020-10-15,35.17364
2020-10-16,29.47462
2020-10-17,17.3642
2020-10-18,16.82991
2020-10-19,22.26179
2020-10-20,27.69367
2020-10-21,26.17987
2020-10-22,21.46037
2020-10-23,21.81656
2020-10-24,12.02137
2020-10-25,12.28851
2020-10-26,21.10418
2020-10-27,17.3642
2020-10-28,23.7756
2020-10-29,25.55654
2020-10-30,19.59038
2020-10-31,10.68566
2020-11-01,13.00089
2020-11-02,20.21371
2020-11-03,20.30276
2020-11-04,22.52894
2020-11-05,24.30988
2020-11-06,24.39893
2020-11-07,15.04897
2020-11-08,13.89136
2020-11-09,25.82368
2020-11-10,32.23508
2020-11-11,29.91985
2020-11-12,32.14603
2020-11-13,32.68032
2020-11-14,15.76135
2020-11-15,15.40516
2020-11-16,37.22172
2020-11-17,35.97506
2020-11-18,33.12555
2020-11-19,32.32413
2020-11-20,31.96794
2020-11-21,21.28227
2020-11-22,21.37132
2020-11-23,36.06411
2020-11-24,36.06411
2020-11-25,39.98219
2020-11-26,36.15316
2020-11-27,36.15316
2020-11-28,23.15227
2020-11-29,24.30988
2020-11-30,34.37221
2020-12-01,39.26981
2020-12-02,40.24933
2020-12-03,43.72217
2020-12-04,46.74977
2020-12-05,32.59127
2020-12-06,26.09082
2020-12-07,45.50311
2020-12-08,48.79786
2020-12-09,49.68833
2020-12-10,48.61976
2020-12-11,43.90026
2020-12-12,28.04986
2020-12-13,24.66607
2020-12-14,37.39982
2020-12-15,43.63312
2020-12-16,41.58504
2020-12-17,44.43455
2020-12-18,39.98219
2020-12-19,30.36509
2020-12-20,29.02938
2020-12-21,43.27693
2020-12-22,47.19501
2020-12-23,46.57168
2020-12-24,41.67408
2020-12-25,28.85129
2020-12-26,24.93321
2020-12-27,28.85129
2020-12-28,45.05788
2020-12-29,49.065
2020-12-30,49.95547
2020-12-31,36.68744
2021-01-01,31.5227
2021-01-02,30.98842
2021-01-03,32.68032
2021-01-04,61.35351
2021-01-05,66.6073
2021-01-06,71.50489
2021-01-07,73.82012
2021-01-08,88.691
2021-01-09,57.16829
2021-01-10,54.58593
2021-01-11,95.54764
2021-01-12,94.56812
2021-01-13,77.20391
2021-01-14,81.30008
2021-01-15,71.95013
2021-01-16,41.40694
2021-01-17,37.22172
2021-01-18,54.58593
2021-01-19,65.98397
2021-01-20,71.1487
2021-01-21,69.54585
2021-01-22,61.79875
2021-01-23,40.78361
2021-01-24,38.46838
2021-01-25,57.61353
2021-01-26,59.48352
2021-01-27,61.79875
2021-01-28,57.07925
2021-01-29,53.87355
2021-01-30,38.11219
2021-01-31,36.15316
2021-02-01,50.84594
2021-02-02,58.77114
2021-02-03,55.38735
2021-02-04,56.27782
2021-02-05,46.21549
2021-02-06,33.2146
2021-02-07,31.07747
2021-02-08,47.5512
2021-02-09,47.19501
2021-02-10,41.94122
2021-02-11,26.35796
2021-02-12,32.68032
2021-02-13,29.29652
2021-02-14,34.55031
2021-02-15,54.05164
2021-02-16,54.49688
2021-02-17,61.17542
2021-02-18,59.30543
2021-02-19,50.48975
2021-02-20,35.88601
2021-02-21,35.17364
2021-02-22,49.51024
2021-02-23,54.22974
2021-02-24,49.86642
2021-02-25,53.69545
2021-02-26,43.81121
2021-02-27,26.53606
2021-02-28,26.35796
2021-03-01,27.42653
2021-03-02,34.37221
2021-03-03,37.39982
2021-03-04,38.46838
2021-03-05,38.82457
2021-03-06,26.35796
2021-03-07,23.41941
2021-03-08,40.24933
2021-03-09,48.26357
2021-03-10,41.58504
2021-03-11,41.67408
2021-03-12,42.38646
2021-03-13,30.18699
