date,예쁜그림
2020-03-20,75.05285
2020-03-21,60.67653
2020-03-22,69.55602
2020-03-23,71.45877
2020-03-24,75.6871
2020-03-25,77.80126
2020-03-26,81.60676
2020-03-27,74.4186
2020-03-28,64.48202
2020-03-29,65.75052
2020-03-30,75.26427
2020-03-31,73.99577
2020-04-01,73.99577
2020-04-02,68.49894
2020-04-03,67.86469
2020-04-04,61.31078
2020-04-05,57.50528
2020-04-06,73.57293
2020-04-07,65.32769
2020-04-08,75.47568
2020-04-09,79.06976
2020-04-10,75.05285
2020-04-11,71.8816
2020-04-12,73.36152
2020-04-13,69.13319
2020-04-14,78.01268
2020-04-15,57.7167
2020-04-16,68.92177
2020-04-17,72.09302
2020-04-18,60.25369
2020-04-19,67.44186
2020-04-20,70.82452
2020-04-21,74.63002
2020-04-22,69.3446
2020-04-23,78.64693
2020-04-24,74.84143
2020-04-25,60.25369
2020-04-26,60.04228
2020-04-27,61.52219
2020-04-28,70.19027
2020-04-29,64.69344
2020-04-30,56.87103
2020-05-01,47.99154
2020-05-02,56.23678
2020-05-03,47.99154
2020-05-04,58.56236
2020-05-05,52.6427
2020-05-06,57.29386
2020-05-07,66.80761
2020-05-08,59.19661
2020-05-09,57.50528
2020-05-10,49.47145
2020-05-11,62.15644
2020-05-12,70.82452
2020-05-13,74.4186
2020-05-14,68.71035
2020-05-15,74.20718
2020-05-16,59.40803
2020-05-17,49.68287
2020-05-18,66.17336
2020-05-19,80.76109
2020-05-20,66.38477
2020-05-21,75.89852
2020-05-22,65.75052
2020-05-23,57.92811
2020-05-24,52.6427
2020-05-25,66.38477
2020-05-26,67.44186
2020-05-27,67.23044
2020-05-28,70.6131
2020-05-29,70.19027
2020-05-30,53.69978
2020-05-31,56.23678
2020-06-01,54.75687
2020-06-02,73.57293
2020-06-03,64.48202
2020-06-04,62.79069
2020-06-05,58.56236
2020-06-06,56.87103
2020-06-07,46.72304
2020-06-08,52.00845
2020-06-09,61.52219
2020-06-10,68.71035
2020-06-11,55.1797
2020-06-12,67.01902
2020-06-13,53.27695
2020-06-14,58.77378
2020-06-15,62.36786
2020-06-16,66.59619
2020-06-17,59.40803
2020-06-18,62.15644
2020-06-19,63.42494
2020-06-20,55.1797
2020-06-21,54.75687
2020-06-22,54.96828
2020-06-23,67.86469
2020-06-24,72.09302
2020-06-25,71.45877
2020-06-26,66.59619
2020-06-27,52.85412
2020-06-28,55.39112
2020-06-29,63.00211
2020-06-30,67.23044
2020-07-01,64.69344
2020-07-02,61.09936
2020-07-03,63.42494
2020-07-04,63.42494
2020-07-05,57.92811
2020-07-06,60.88794
2020-07-07,60.04228
