date,만보기앱
2020-03-20,12.37623
2020-03-21,14.85148
2020-03-22,16.66666
2020-03-23,20.46204
2020-03-24,18.81188
2020-03-25,15.67656
2020-03-26,11.88118
2020-03-27,16.50165
2020-03-28,12.70627
2020-03-29,12.0462
2020-03-30,18.48184
2020-03-31,18.97689
2020-04-01,16.66666
2020-04-02,13.86138
2020-04-03,15.0165
2020-04-04,10.23102
2020-04-05,10.39603
2020-04-06,17.49174
2020-04-07,14.52145
2020-04-08,16.50165
2020-04-09,17.98679
2020-04-10,12.37623
2020-04-11,17.65676
2020-04-12,15.0165
2020-04-13,15.51155
2020-04-14,18.31683
2020-04-15,15.67656
2020-04-16,13.0363
2020-04-17,12.87128
2020-04-18,20.29702
2020-04-19,11.55115
2020-04-20,15.84158
2020-04-21,16.33663
2020-04-22,19.14191
2020-04-23,16.17161
2020-04-24,14.0264
2020-04-25,13.69636
2020-04-26,15.67656
2020-04-27,16.99669
2020-04-28,17.16171
2020-04-29,15.0165
2020-04-30,15.0165
2020-05-01,16.0066
2020-05-02,13.36633
2020-05-03,16.33663
2020-05-04,11.22112
2020-05-05,14.85148
2020-05-06,26.89768
2020-05-07,26.40264
2020-05-08,18.97689
2020-05-09,11.71617
2020-05-10,14.19141
2020-05-11,15.84158
2020-05-12,19.47194
2020-05-13,18.64686
2020-05-14,19.47194
2020-05-15,14.68646
2020-05-16,14.0264
2020-05-17,20.95709
2020-05-18,19.96699
2020-05-19,15.84158
2020-05-20,15.0165
2020-05-21,10.39603
2020-05-22,10.89108
2020-05-23,14.35643
2020-05-24,15.34653
2020-05-25,25.0825
2020-05-26,15.34653
2020-05-27,18.15181
2020-05-28,17.49174
2020-05-29,13.36633
2020-05-30,18.64686
2020-05-31,22.60726
2020-06-01,19.63696
2020-06-02,20.62706
2020-06-03,19.47194
2020-06-04,18.64686
2020-06-05,14.85148
2020-06-06,18.81188
2020-06-07,20.46204
2020-06-08,20.13201
2020-06-09,17.82178
2020-06-10,15.67656
2020-06-11,17.32673
2020-06-12,16.17161
2020-06-13,14.68646
2020-06-14,16.33663
2020-06-15,14.19141
