date,아파트취등록세계산기
2020-03-20,52.22024
2020-03-21,39.60923
2020-03-22,36.05683
2020-03-23,65.00888
2020-03-24,53.99644
2020-03-25,52.93072
2020-03-26,56.48312
2020-03-27,46.53641
2020-03-28,33.21492
2020-03-29,35.52397
2020-03-30,51.15452
2020-03-31,49.37833
2020-04-01,48.84547
2020-04-02,46.35879
2020-04-03,46.00355
2020-04-04,31.97158
2020-04-05,34.81349
2020-04-06,57.1936
2020-04-07,52.04262
2020-04-08,44.04973
2020-04-09,50.79928
2020-04-10,45.29307
2020-04-11,38.01065
2020-04-12,32.1492
2020-04-13,60.56838
2020-04-14,53.46358
2020-04-15,36.76731
2020-04-16,52.04262
2020-04-17,52.7531
2020-04-18,40.49733
2020-04-19,49.91119
2020-04-20,72.29129
2020-04-21,53.6412
2020-04-22,50.9769
2020-04-23,50.9769
2020-04-24,49.37833
2020-04-25,40.67495
2020-04-26,36.23445
2020-04-27,57.54884
2020-04-28,64.83126
2020-04-29,65.54174
2020-04-30,42.09591
2020-05-01,37.47779
2020-05-02,33.21492
2020-05-03,33.21492
2020-05-04,55.95026
2020-05-05,54.17406
2020-05-06,57.72646
2020-05-07,51.865
2020-05-08,49.02309
2020-05-09,41.56305
2020-05-10,38.89875
2020-05-11,51.15452
2020-05-12,53.28596
2020-05-13,45.64831
2020-05-14,54.5293
2020-05-15,48.31261
2020-05-16,43.33925
2020-05-17,38.18827
2020-05-18,68.38365
2020-05-19,57.01598
2020-05-20,64.47602
2020-05-21,54.70692
2020-05-22,50.9769
2020-05-23,47.60213
2020-05-24,35.16873
2020-05-25,57.90408
2020-05-26,59.32504
2020-05-27,51.15452
2020-05-28,55.23978
2020-05-29,46.00355
2020-05-30,44.93783
2020-05-31,46.89165
2020-06-01,63.76554
2020-06-02,54.70692
2020-06-03,60.56838
2020-06-04,59.8579
2020-06-05,56.12788
2020-06-06,54.70692
2020-06-07,53.10834
2020-06-08,85.61278
2020-06-09,71.22557
2020-06-10,68.02841
2020-06-11,55.4174
2020-06-12,31.08348
2020-06-13,31.61634
2020-06-14,29.66252
2020-06-15,60.03552
2020-06-16,48.66785
2020-06-17,47.60213
2020-06-18,50.62166
2020-06-19,38.54351
2020-06-20,28.95204
2020-06-21,27.88632
2020-06-22,49.55595
2020-06-23,47.77975
2020-06-24,45.64831
2020-06-25,49.37833
2020-06-26,38.54351
2020-06-27,26.99822
2020-06-28,23.80106
2020-06-29,51.33214
2020-06-30,50.0888
2020-07-01,40.31971
2020-07-02,42.45115
2020-07-03,38.18827
2020-07-04,31.2611
2020-07-05,25.0444
2020-07-06,47.24689
2020-07-07,39.78685
2020-07-08,40.14209
2020-07-09,43.33925
2020-07-10,71.22557
2020-07-11,30.19538
2020-07-12,20.78152
2020-07-13,39.43161
2020-07-14,38.36589
2020-07-15,34.45825
2020-07-16,31.97158
2020-07-17,28.06394
2020-07-18,19.89342
2020-07-19,16.34103
2020-07-20,32.1492
2020-07-21,30.55062
2020-07-22,28.06394
2020-07-23,29.4849
2020-07-24,33.39253
2020-07-25,23.2682
2020-07-26,22.20248
2020-07-27,33.74777
2020-07-28,36.41207
2020-07-29,40.14209
2020-07-30,29.84014
2020-07-31,31.08348
2020-08-01,20.42628
2020-08-02,20.42628
2020-08-03,28.41918
2020-08-04,27.17584
2020-08-05,30.90586
2020-08-06,29.84014
2020-08-07,34.81349
2020-08-08,16.69626
2020-08-09,17.0515
2020-08-10,32.1492
2020-08-11,33.39253
2020-08-12,33.57015
2020-08-13,25.9325
2020-08-14,25.0444
2020-08-15,13.85435
2020-08-16,14.56483
2020-08-17,18.47246
2020-08-18,22.20248
2020-08-19,26.28774
2020-08-20,26.99822
2020-08-21,30.373
2020-08-22,21.66962
2020-08-23,18.11722
2020-08-24,32.32682
2020-08-25,36.05683
2020-08-26,30.373
2020-08-27,30.90586
2020-08-28,20.24866
2020-08-29,13.32149
2020-08-30,18.11722
2020-08-31,22.20248
2020-09-01,25.0444
2020-09-02,22.02486
2020-09-03,19.7158
2020-09-04,20.6039
2020-09-05,16.69626
2020-09-06,15.09769
2020-09-07,30.01776
2020-09-08,27.7087
2020-09-09,28.41918
2020-09-10,25.75488
2020-09-11,22.20248
2020-09-12,14.56483
2020-09-13,20.07104
2020-09-14,35.87921
2020-09-15,34.45825
2020-09-16,20.6039
2020-09-17,28.77442
2020-09-18,20.78152
2020-09-19,19.00532
2020-09-20,14.92007
2020-09-21,29.30728
2020-09-22,31.97158
2020-09-23,22.55772
2020-09-24,22.91296
2020-09-25,38.36589
2020-09-26,39.96447
2020-09-27,41.91829
2020-09-28,59.8579
2020-09-29,47.24689
2020-09-30,38.72113
2020-10-01,33.39253
2020-10-02,32.1492
2020-10-03,39.07637
2020-10-04,50.62166
2020-10-05,79.21847
2020-10-06,75.84369
2020-10-07,68.02841
2020-10-08,60.03552
2020-10-09,55.23978
2020-10-10,54.17406
2020-10-11,49.02309
2020-10-12,82.41563
2020-10-13,76.37655
2020-10-14,77.44227
2020-10-15,70.15985
2020-10-16,67.31793
2020-10-17,46.18117
2020-10-18,50.79928
2020-10-19,77.44227
2020-10-20,80.46181
2020-10-21,69.44937
2020-10-22,77.08703
2020-10-23,69.27175
2020-10-24,56.83836
2020-10-25,56.83836
2020-10-26,76.55417
2020-10-27,89.16518
2020-10-28,77.08703
2020-10-29,67.14031
2020-10-30,67.14031
2020-10-31,53.6412
2020-11-01,55.77264
2020-11-02,83.48134
2020-11-03,78.68561
2020-11-04,71.40319
2020-11-05,69.44937
2020-11-06,68.73889
2020-11-07,60.56838
2020-11-08,62.69982
2020-11-09,75.66607
2020-11-10,76.55417
2020-11-11,75.84369
2020-11-12,69.80461
2020-11-13,68.20603
2020-11-14,61.6341
2020-11-15,62.34458
2020-11-16,93.42806
2020-11-17,100.0
2020-11-18,90.2309
2020-11-19,82.94849
2020-11-20,74.24511
2020-11-21,70.15985
2020-11-22,64.65364
2020-11-23,82.77087
2020-11-24,97.15808
2020-11-25,72.29129
2020-11-26,73.53463
2020-11-27,71.58081
2020-11-28,58.9698
2020-11-29,60.03552
2020-11-30,84.19182
2020-12-01,75.48845
2020-12-02,74.06749
2020-12-03,66.78507
2020-12-04,57.90408
2020-12-05,67.85079
2020-12-06,55.95026
2020-12-07,77.44227
2020-12-08,79.92895
2020-12-09,81.34991
2020-12-10,74.06749
2020-12-11,70.15985
2020-12-12,56.83836
2020-12-13,54.35168
2020-12-14,70.15985
2020-12-15,59.32504
2020-12-16,58.9698
2020-12-17,61.98934
2020-12-18,66.96269
2020-12-19,55.59502
2020-12-20,46.53641
2020-12-21,62.34458
2020-12-22,66.42984
2020-12-23,63.76554
2020-12-24,51.33214
2020-12-25,41.03019
2020-12-26,46.18117
2020-12-27,50.26642
2020-12-28,70.15985
2020-12-29,66.25222
2020-12-30,63.94316
2020-12-31,49.55595
2021-01-01,36.23445
2021-01-02,43.69449
2021-01-03,45.11545
2021-01-04,61.45648
2021-01-05,69.62699
2021-01-06,63.23268
2021-01-07,44.58259
2021-01-08,51.50976
2021-01-09,44.22735
2021-01-10,47.95737
2021-01-11,63.23268
2021-01-12,58.0817
2021-01-13,57.90408
2021-01-14,57.01598
2021-01-15,56.3055
2021-01-16,54.5293
2021-01-17,49.91119
2021-01-18,62.87744
2021-01-19,66.25222
2021-01-20,69.80461
2021-01-21,59.50266
2021-01-22,60.92362
2021-01-23,61.10124
2021-01-24,53.46358
2021-01-25,72.29129
2021-01-26,63.94316
2021-01-27,67.49555
2021-01-28,58.0817
2021-01-29,56.66074
2021-01-30,52.57548
2021-01-31,54.17406
2021-02-01,59.68028
2021-02-02,56.48312
2021-02-03,62.5222
2021-02-04,49.37833
2021-02-05,49.73357
2021-02-06,46.18117
2021-02-07,49.91119
2021-02-08,61.45648
2021-02-09,61.10124
2021-02-10,50.44404
2021-02-11,33.0373
2021-02-12,32.1492
2021-02-13,31.79396
2021-02-14,36.76731
2021-02-15,61.81172
2021-02-16,63.4103
2021-02-17,63.76554
2021-02-18,63.58792
2021-02-19,53.46358
2021-02-20,52.39786
2021-02-21,41.91829
2021-02-22,60.92362
2021-02-23,57.37122
2021-02-24,51.68738
2021-02-25,51.50976
2021-02-26,54.35168
2021-02-27,46.89165
2021-02-28,45.11545
2021-03-01,53.81882
2021-03-02,61.98934
2021-03-03,61.81172
2021-03-04,58.25932
2021-03-05,61.45648
2021-03-06,52.57548
2021-03-07,46.89165
2021-03-08,63.4103
2021-03-09,68.73889
2021-03-10,64.83126
2021-03-11,64.65364
2021-03-12,62.5222
2021-03-13,49.02309
2021-03-14,54.88454
2021-03-15,75.84369
2021-03-16,69.98223
2021-03-17,60.39076
2021-03-18,58.0817
2021-03-19,63.4103
2021-03-20,55.77264
2021-03-21,56.83836
2021-03-22,82.41563
2021-03-23,61.10124
2021-03-24,63.58792
2021-03-25,53.10834
2021-03-26,34.99111
2021-03-27,45.64831
2021-03-28,47.42451
2021-03-29,39.25399
2021-03-30,38.72113
2021-03-31,46.53641
2021-04-01,34.45825
2021-04-02,30.19538
2021-04-03,37.30017
2021-04-04,24.1563
2021-04-05,41.03019
2021-04-06,31.2611
2021-04-07,37.12255
2021-04-08,46.53641
2021-04-09,36.94493
2021-04-10,38.89875
2021-04-11,26.28774
2021-04-12,41.03019
2021-04-13,49.20071
2021-04-14,49.91119
2021-04-15,37.65541
2021-04-16,44.76021
2021-04-17,46.35879
2021-04-18,46.00355
2021-04-19,43.16163
2021-04-20,50.26642
