date,TIGER반도체
2020-03-20,7.75577
2020-03-21,2.80528
2020-03-22,4.12541
2020-03-23,5.77557
2020-03-24,11.88118
2020-03-25,13.69636
2020-03-26,8.0858
2020-03-27,8.58085
2020-03-28,1.65016
2020-03-29,4.78547
2020-03-30,8.25082
2020-03-31,8.41584
2020-04-01,7.75577
2020-04-02,8.41584
2020-04-03,6.43564
2020-04-04,1.48514
2020-04-05,3.13531
2020-04-06,7.0957
2020-04-07,7.92079
2020-04-08,9.0759
2020-04-09,8.41584
2020-04-10,10.72607
2020-04-11,1.65016
2020-04-12,1.32013
2020-04-13,5.11551
2020-04-14,5.61056
2020-04-15,2.80528
2020-04-16,4.45544
2020-04-17,9.24092
2020-04-18,2.80528
2020-04-19,1.81518
2020-04-20,6.43564
2020-04-21,8.41584
2020-04-22,7.59075
2020-04-23,5.94059
2020-04-24,2.97029
2020-04-25,0.99009
2020-04-26,3.79537
2020-04-27,6.76567
2020-04-28,7.75577
2020-04-29,9.24092
2020-04-30,2.14521
2020-05-01,1.15511
2020-05-04,5.44554
2020-05-05,1.65016
2020-05-06,6.60066
2020-05-07,8.25082
2020-05-08,8.91089
2020-05-09,1.98019
2020-05-11,5.77557
2020-05-12,5.94059
2020-05-13,4.62046
2020-05-14,4.29042
2020-05-15,5.28052
2020-05-16,1.65016
2020-05-17,2.31023
2020-05-18,7.92079
2020-05-19,9.24092
2020-05-20,9.90099
2020-05-21,7.42574
2020-05-22,4.62046
2020-05-23,3.79537
2020-05-24,2.14521
2020-05-25,7.0957
2020-05-26,12.21122
2020-05-27,6.93069
2020-05-28,6.60066
2020-05-29,4.95049
2020-05-30,1.48514
2020-06-01,7.59075
2020-06-02,7.92079
2020-06-03,9.0759
2020-06-04,7.42574
2020-06-05,4.62046
2020-06-06,1.81518
2020-06-07,1.65016
2020-06-08,5.61056
2020-06-09,3.96039
2020-06-10,5.11551
2020-06-11,5.77557
2020-06-12,3.63036
2020-06-13,1.15511
2020-06-15,4.29042
2020-06-16,3.63036
2020-06-17,5.77557
2020-06-18,2.80528
2020-06-19,4.29042
2020-06-20,2.31023
2020-06-21,1.48514
2020-06-22,3.63036
2020-06-23,5.94059
2020-06-24,6.76567
2020-06-25,2.80528
2020-06-26,4.29042
2020-06-27,0.82508
2020-06-28,0.82508
2020-06-29,2.80528
2020-06-30,4.62046
2020-07-01,2.64026
2020-07-02,7.59075
2020-07-03,5.44554
2020-07-04,2.47524
2020-07-05,1.65016
2020-07-06,6.93069
2020-07-07,5.28052
2020-07-08,2.14521
2020-07-09,4.62046
2020-07-10,5.94059
2020-07-11,1.48514
2020-07-12,1.15511
2020-07-13,7.75577
2020-07-14,4.45544
2020-07-15,4.45544
2020-07-16,4.95049
2020-07-17,5.61056
2020-07-18,1.15511
2020-07-20,2.64026
2020-07-21,8.58085
2020-07-22,6.27062
2020-07-23,4.45544
2020-07-24,5.11551
2020-07-25,0.99009
2020-07-26,2.14521
2020-07-27,9.57095
2020-07-28,12.70627
2020-07-29,8.91089
2020-07-30,10.066
2020-07-31,8.91089
2020-08-01,3.63036
2020-08-02,3.13531
2020-08-03,12.21122
2020-08-04,11.0561
2020-08-05,11.0561
2020-08-06,12.0462
2020-08-07,9.0759
2020-08-08,2.64026
2020-08-09,5.77557
2020-08-10,6.76567
2020-08-11,7.42574
2020-08-12,8.58085
2020-08-13,10.39603
2020-08-14,7.59075
2020-08-15,0.82508
2020-08-17,1.15511
2020-08-18,7.59075
2020-08-19,6.27062
2020-08-20,6.27062
2020-08-21,7.59075
2020-08-22,1.32013
2020-08-23,2.47524
2020-08-24,11.55115
2020-08-25,7.75577
2020-08-26,7.42574
2020-08-27,6.27062
2020-08-28,10.56105
2020-08-29,1.32013
2020-08-30,0.99009
