date,나스닥지수
2020-03-20,50.76958
2020-03-21,36.86228
2020-03-22,6.83979
2020-03-23,28.86233
2020-03-24,60.52775
2020-03-25,48.05297
2020-03-26,55.97653
2020-03-27,41.87035
2020-03-28,30.02104
2020-03-29,6.22009
2020-03-30,19.91266
2020-03-31,35.6834
2020-04-01,37.91577
2020-04-02,36.53081
2020-04-03,30.04409
2020-04-04,18.80728
2020-04-05,4.30189
2020-04-06,13.23283
2020-04-07,28.27001
2020-04-08,30.69839
2020-04-09,27.74399
2020-04-10,23.48244
2020-04-11,10.39805
2020-04-12,4.0641
2020-04-13,11.46019
2020-04-14,24.82561
2020-04-15,20.08992
2020-04-16,22.11333
2020-04-17,27.39234
2020-04-18,14.06439
2020-04-19,3.67786
2020-04-20,9.73078
2020-04-21,26.3057
2020-04-22,39.06583
2020-04-23,21.79771
2020-04-24,21.18233
2020-04-25,12.89704
2020-04-26,3.21381
2020-04-27,7.386
2020-04-28,17.05338
2020-04-29,18.08525
2020-04-30,13.46774
2020-05-01,13.74733
2020-05-02,12.50936
2020-05-03,3.12157
2020-05-04,6.96662
2020-05-05,19.37366
2020-05-06,19.49616
2020-05-07,21.07424
2020-05-08,16.35873
2020-05-09,10.44272
2020-05-10,2.61716
2020-05-11,6.73747
2020-05-12,20.03228
2020-05-13,67.28396
2020-05-14,24.46388
2020-05-15,20.14757
2020-05-16,11.85219
2020-05-17,2.3981
2020-05-18,6.50256
2020-05-19,16.05176
2020-05-20,18.76116
2020-05-21,17.46987
2020-05-22,28.6721
2020-05-23,12.17069
2020-05-24,2.62293
2020-05-25,5.45195
2020-05-26,12.52954
2020-05-27,15.5387
2020-05-28,17.04905
2020-05-29,15.74191
2020-05-30,9.78411
2020-05-31,2.08105
2020-06-01,5.61048
2020-06-02,13.55565
2020-06-03,14.12636
2020-06-04,14.21715
2020-06-05,14.03124
2020-06-06,100.0
2020-06-07,2.18193
2020-06-08,5.62345
2020-06-09,14.2748
2020-06-10,18.15875
2020-06-11,46.6853
2020-06-12,47.80941
2020-06-13,21.16504
2020-06-14,3.4271
2020-06-15,12.75004
2020-06-16,32.729
2020-06-17,21.77609
2020-06-18,20.23836
2020-06-19,17.68605
2020-06-20,12.07845
2020-06-21,2.50331
2020-06-22,6.51985
2020-06-23,16.40629
2020-06-24,17.30414
2020-06-25,43.57814
2020-06-26,37.12025
2020-06-27,17.3762
2020-06-28,3.34351
2020-06-29,11.32616
2020-06-30,25.36749
2020-07-01,21.67521
2020-07-02,20.71827
2020-07-03,16.56914
2020-07-04,7.12515
2020-07-05,2.15887
2020-07-06,6.30368
2020-07-07,15.7275
2020-07-08,17.5722
2020-07-09,16.12526
2020-07-10,16.34864
2020-07-11,9.76825
2020-07-12,2.14013
2020-07-13,5.83962
2020-07-14,56.35124
2020-07-15,30.85403
2020-07-16,21.57721
2020-07-17,18.42681
2020-07-18,10.07667
2020-07-19,2.56096
2020-07-20,6.44491
2020-07-21,18.66605
2020-07-22,17.74802
2020-07-23,17.19317
2020-07-24,20.51507
2020-07-25,13.29048
2020-07-26,2.38369
2020-07-27,6.27774
2020-07-28,15.02421
2020-07-29,16.25785
2020-07-30,16.72479
2020-07-31,21.30483
2020-08-01,10.59405
2020-08-02,1.99025
2020-08-03,4.87836
2020-08-04,12.7731
2020-08-05,13.62483
2020-08-06,13.70121
2020-08-07,14.30506
2020-08-08,10.54216
2020-08-09,2.40819
2020-08-10,6.13074
2020-08-11,15.96529
2020-08-12,19.15749
2020-08-13,18.33314
2020-08-14,14.89594
2020-08-15,9.02893
2020-08-16,1.92828
2020-08-17,5.88718
2020-08-18,14.46647
2020-08-19,15.04727
2020-08-20,16.78676
2020-08-21,17.57508
2020-08-22,9.50452
2020-08-23,2.10266
2020-08-24,5.52112
2020-08-25,15.73615
2020-08-26,15.85288
2020-08-27,15.311
2020-08-28,13.43604
2020-08-29,7.61082
2020-08-30,1.71211
2020-08-31,4.98357
2020-09-01,12.51369
2020-09-02,12.69527
2020-09-03,15.71165
2020-09-04,82.95526
2020-09-05,61.37228
2020-09-06,5.41303
2020-09-07,9.40508
2020-09-08,24.56332
2020-09-09,57.42635
2020-09-10,36.22384
2020-09-11,32.81547
2020-09-12,19.13299
2020-09-13,4.18227
2020-09-14,10.67187
2020-09-15,21.13189
2020-09-16,20.57992
2020-09-17,24.89047
2020-09-18,24.9755
2020-09-19,15.89467
2020-09-20,2.97025
2020-09-21,13.67527
2020-09-22,47.22142
