date,조세특례제한법
2020-03-20,30.94289
2020-03-21,8.942
2020-03-22,7.92386
2020-03-23,36.83045
2020-03-24,34.74988
2020-03-25,30.72155
2020-03-26,33.24479
2020-03-27,27.00309
2020-03-28,7.12704
2020-03-29,5.13501
2020-03-30,29.52633
2020-03-31,21.91235
2020-04-01,16.33466
2020-04-02,19.43337
2020-04-03,17.48561
2020-04-04,4.07259
2020-04-05,4.29393
2020-04-06,20.67286
2020-04-07,21.91235
2020-04-08,22.97476
2020-04-09,18.10535
2020-04-10,16.8216
2020-04-11,3.45285
2020-04-12,4.2054
2020-04-13,17.66268
2020-04-14,16.37892
2020-04-15,4.7366
2020-04-16,15.31651
2020-04-17,16.20185
2020-04-18,4.6038
2020-04-19,4.82514
2020-04-20,15.36077
2020-04-21,17.26427
2020-04-22,15.44931
2020-04-23,16.8216
2020-04-24,14.96237
2020-04-25,4.91367
2020-04-26,5.79902
2020-04-27,18.01682
2020-04-28,17.0872
2020-04-29,15.09517
2020-04-30,6.86144
2020-05-01,9.07481
2020-05-02,7.03851
2020-05-03,7.03851
2020-05-04,13.98849
2020-05-05,7.61398
2020-05-06,16.51173
2020-05-07,17.88401
2020-05-08,15.67065
2020-05-09,6.6401
2020-05-10,6.41876
2020-05-11,18.76936
2020-05-12,20.93846
2020-05-13,21.95661
2020-05-14,21.24833
2020-05-15,21.60247
2020-05-16,8.63213
2020-05-17,7.12704
2020-05-18,22.62062
2020-05-19,23.50597
2020-05-20,23.77158
2020-05-21,20.31872
2020-05-22,19.30057
2020-05-23,6.7729
2020-05-24,9.42895
2020-05-25,26.47189
2020-05-26,20.00885
2020-05-27,23.50597
2020-05-28,19.96458
2020-05-29,16.64453
2020-05-30,6.19743
2020-05-31,6.55157
2020-06-01,16.91013
2020-06-02,15.75918
2020-06-03,16.06905
2020-06-04,15.13944
2020-06-05,12.79327
2020-06-06,3.67419
2020-06-07,3.71845
2020-06-08,15.22797
2020-06-09,16.64453
2020-06-10,19.47764
2020-06-11,19.07923
2020-06-12,13.41301
2020-06-13,6.28596
2020-06-14,4.95794
2020-06-15,17.57414
2020-06-16,17.97255
2020-06-17,18.06108
2020-06-18,19.69898
2020-06-19,16.91013
2020-06-20,5.62195
2020-06-21,5.75475
2020-06-22,17.88401
2020-06-23,16.77733
2020-06-24,17.57414
2020-06-25,22.31075
2020-06-26,20.23019
2020-06-27,5.00221
2020-06-28,5.71049
2020-06-29,18.41522
2020-06-30,17.79548
2020-07-01,16.77733
2020-07-02,16.37892
2020-07-03,12.92607
2020-07-04,5.22355
2020-07-05,6.41876
2020-07-06,17.79548
2020-07-07,20.18592
2020-07-08,17.48561
2020-07-09,17.30854
2020-07-10,15.80345
2020-07-11,6.10889
2020-07-12,6.41876
2020-07-13,17.97255
2020-07-14,18.59229
2020-07-15,16.11332
2020-07-16,15.53784
2020-07-17,16.02478
2020-07-18,5.84329
2020-07-19,6.19743
2020-07-20,17.17574
2020-07-21,18.59229
2020-07-22,21.33687
2020-07-23,20.09738
2020-07-24,16.55599
2020-07-25,6.41876
2020-07-26,4.86941
2020-07-27,19.03497
2020-07-28,16.15759
2020-07-29,17.75121
2020-07-30,16.9544
2020-07-31,11.73085
2020-08-01,4.42673
2020-08-02,4.82514
2020-08-03,13.14741
2020-08-04,19.1235
2020-08-05,17.13147
2020-08-06,14.47543
2020-08-07,14.47543
2020-08-08,5.04648
2020-08-09,6.59583
2020-08-10,15.67065
2020-08-11,16.6888
2020-08-12,17.0872
2020-08-13,15.09517
2020-08-14,12.43913
2020-08-15,3.14298
2020-08-16,3.76272
2020-08-17,4.24966
2020-08-18,14.87383
2020-08-19,18.23815
2020-08-20,18.59229
2020-08-21,12.57193
2020-08-22,3.76272
2020-08-23,3.18725
2020-08-24,18.8579
2020-08-25,17.13147
2020-08-26,15.84772
2020-08-27,15.36077
2020-08-28,12.43913
2020-08-29,4.16113
2020-08-30,3.27578
2020-08-31,15.71491
2020-09-01,15.22797
2020-09-02,15.09517
2020-09-03,13.45728
2020-09-04,13.63435
2020-09-05,5.04648
2020-09-06,5.13501
2020-09-07,18.19389
2020-09-08,20.09738
2020-09-09,15.67065
2020-09-10,14.9181
2020-09-11,13.59008
2020-09-12,4.38247
2020-09-13,3.93979
2020-09-14,16.73306
2020-09-15,15.71491
2020-09-16,14.56396
2020-09-17,15.93625
2020-09-18,13.05887
2020-09-19,4.02833
2020-09-20,5.13501
2020-09-21,16.99867
2020-09-22,16.77733
2020-09-23,16.77733
2020-09-24,16.24612
2020-09-25,11.81938
2020-09-26,3.45285
2020-09-27,4.29393
2020-09-28,13.28021
2020-09-29,10.31429
2020-09-30,2.03629
2020-10-01,2.34617
2020-10-02,2.96591
2020-10-03,4.2054
2020-10-04,5.57768
2020-10-05,14.07702
2020-10-06,15.22797
2020-10-07,15.09517
2020-10-08,15.84772
2020-10-09,4.16113
2020-10-10,5.09074
2020-10-11,5.31208
2020-10-12,15.98052
2020-10-13,13.63435
2020-10-14,15.00664
2020-10-15,14.25409
2020-10-16,14.9181
2020-10-17,5.57768
