date,카드연회비
2020-03-20,13.69294
2020-03-21,5.80912
2020-03-22,9.33609
2020-03-23,15.14522
2020-03-24,12.44813
2020-03-25,17.01244
2020-03-26,10.78838
2020-03-27,11.20331
2020-03-28,6.639
2020-03-29,6.22406
2020-03-30,10.99585
2020-03-31,12.6556
2020-04-01,11.41078
2020-04-02,11.61825
2020-04-03,12.6556
2020-04-04,6.43153
2020-04-05,6.01659
2020-04-06,13.48547
2020-04-07,13.48547
2020-04-08,12.24066
2020-04-09,10.37344
2020-04-10,14.52282
2020-04-11,8.71369
2020-04-12,6.01659
2020-04-13,17.63485
2020-04-14,13.48547
2020-04-15,8.50622
2020-04-16,13.278
2020-04-17,15.14522
2020-04-18,6.639
2020-04-19,4.97925
2020-04-20,12.86307
2020-04-21,12.03319
2020-04-22,11.20331
2020-04-23,13.90041
2020-04-24,10.99585
2020-04-25,4.77178
2020-04-26,5.60165
2020-04-27,14.93775
2020-04-28,13.278
2020-04-29,16.80497
2020-04-30,7.26141
2020-05-01,7.46887
2020-05-02,7.46887
2020-05-03,8.29875
2020-05-04,12.6556
2020-05-05,6.84647
2020-05-06,15.35269
2020-05-07,10.99585
2020-05-08,14.10788
2020-05-09,6.22406
2020-05-10,6.01659
2020-05-11,13.90041
2020-05-12,20.95435
2020-05-13,17.21991
2020-05-14,13.69294
2020-05-15,16.39004
2020-05-16,7.46887
2020-05-17,7.88381
2020-05-18,15.35269
2020-05-19,13.69294
2020-05-20,15.14522
2020-05-21,14.73029
2020-05-22,9.54356
2020-05-23,6.639
2020-05-24,3.3195
2020-05-25,14.10788
2020-05-26,10.16597
2020-05-27,10.78838
2020-05-28,8.29875
2020-05-29,8.29875
2020-05-30,3.52697
2020-05-31,4.35684
2020-06-01,10.58091
2020-06-02,9.12863
2020-06-03,10.58091
2020-06-04,13.48547
2020-06-05,11.61825
2020-06-06,4.77178
2020-06-07,5.39419
2020-06-08,10.78838
2020-06-09,9.75103
2020-06-10,9.54356
2020-06-11,9.33609
2020-06-12,6.22406
2020-06-13,4.77178
2020-06-14,3.52697
2020-06-15,11.41078
2020-06-16,14.52282
2020-06-17,12.86307
2020-06-18,16.18257
2020-06-19,7.88381
2020-06-20,6.43153
2020-06-21,3.73443
2020-06-22,11.20331
2020-06-23,10.78838
2020-06-24,13.69294
2020-06-25,13.278
2020-06-26,13.90041
2020-06-27,6.639
2020-06-28,3.9419
2020-06-29,10.16597
2020-06-30,13.48547
2020-07-01,9.9585
2020-07-02,9.54356
2020-07-03,8.29875
2020-07-04,3.11203
2020-07-05,5.18672
2020-07-06,9.75103
2020-07-07,9.75103
2020-07-08,10.37344
2020-07-09,10.37344
2020-07-10,10.99585
2020-07-11,6.84647
2020-07-12,5.80912
2020-07-13,12.86307
2020-07-14,14.73029
2020-07-15,10.16597
2020-07-16,11.82572
2020-07-17,10.99585
2020-07-18,4.35684
2020-07-19,6.639
2020-07-20,14.31535
2020-07-21,12.24066
2020-07-22,9.9585
2020-07-23,8.92116
2020-07-24,9.12863
2020-07-25,3.9419
2020-07-26,6.22406
2020-07-27,13.278
2020-07-28,18.25726
2020-07-29,11.20331
2020-07-30,12.6556
2020-07-31,12.24066
2020-08-01,5.80912
2020-08-02,7.67634
2020-08-03,12.44813
