date,전산회계
2020-03-20,2.4228
2020-03-21,1.50214
2020-03-22,1.5129
2020-03-23,3.00966
2020-03-24,2.98812
2020-03-25,2.80507
2020-03-26,3.05812
2020-03-27,2.23436
2020-03-28,1.43214
2020-03-29,1.86825
2020-03-30,3.07965
2020-03-31,3.11734
2020-04-01,3.17387
2020-04-02,2.96928
2020-04-03,2.77276
2020-04-04,1.46176
2020-04-05,1.74172
2020-04-06,3.56421
2020-04-07,3.62882
2020-04-08,3.33001
2020-04-09,3.27886
2020-04-10,2.78353
2020-04-11,1.41868
2020-04-12,1.93555
2020-04-13,3.7365
2020-04-14,3.47538
2020-04-15,1.90863
2020-04-16,3.21694
2020-04-17,3.19272
2020-04-18,1.8171
2020-04-19,2.09168
2020-04-20,4.61679
2020-04-21,4.02185
2020-04-22,4.13492
2020-04-23,3.30309
2020-04-24,3.15503
2020-04-25,1.65289
2020-04-26,1.94632
2020-04-27,3.93033
2020-04-28,3.73919
2020-04-29,4.08646
2020-04-30,2.06476
2020-05-01,2.40396
2020-05-02,2.08092
2020-05-03,2.47664
2020-05-04,4.2749
2020-05-05,3.17118
2020-05-06,7.73413
2020-05-07,4.92637
2020-05-08,3.79842
2020-05-09,2.23167
2020-05-10,2.68931
2020-05-11,5.24941
2020-05-12,5.0179
2020-05-13,4.4095
2020-05-14,4.28029
2020-05-15,3.96801
2020-05-16,2.48203
2020-05-17,2.69469
2020-05-18,6.24007
2020-05-19,13.6727
2020-05-20,49.53832
2020-05-21,12.02519
2020-05-22,8.30484
2020-05-23,4.4445
2020-05-24,5.0502
2020-05-25,8.8217
2020-05-26,8.57135
2020-05-27,4.59525
2020-05-28,4.25337
2020-05-29,3.64767
2020-05-30,2.37704
2020-05-31,2.44434
2020-06-01,4.57372
2020-06-02,4.47411
2020-06-03,4.2426
2020-06-04,4.02724
2020-06-05,3.22233
2020-06-06,2.14283
2020-06-07,2.39857
2020-06-08,4.55487
2020-06-09,4.49834
2020-06-10,4.50372
2020-06-11,4.30451
2020-06-12,4.11338
2020-06-13,3.36231
2020-06-14,3.56421
2020-06-15,7.47301
