date,제넥신주가
2020-03-20,16.36948
2020-03-21,2.09309
2020-03-22,1.98587
2020-03-23,14.83812
2020-03-24,14.3906
2020-03-25,15.08053
2020-03-26,23.92373
2020-03-27,20.4974
2020-03-28,2.80399
2020-03-29,2.20031
2020-03-30,17.05708
2020-03-31,17.23655
2020-04-01,15.48376
2020-04-02,13.75428
2020-04-03,12.06209
2020-04-04,1.83203
2020-04-05,1.5873
2020-04-06,13.53984
2020-04-07,12.62382
2020-04-08,11.08314
2020-04-09,22.29913
2020-04-10,40.5869
2020-04-11,4.92972
2020-04-12,4.21415
2020-04-13,23.74192
2020-04-14,19.311
2020-04-15,2.67347
2020-04-16,15.0409
2020-04-17,14.81947
2020-04-18,2.09775
2020-04-19,1.70151
2020-04-20,13.1063
2020-04-21,15.48376
2020-04-22,15.6073
2020-04-23,16.01985
2020-04-24,15.17609
2020-04-25,1.89264
2020-04-26,1.82271
2020-04-27,27.05405
2020-04-28,28.31736
2020-04-29,17.15031
2020-04-30,2.80633
2020-05-01,2.8949
2020-05-02,1.35421
2020-05-03,1.59429
2020-05-04,14.63534
2020-05-05,2.09309
2020-05-06,23.77922
2020-05-07,18.60475
2020-05-08,14.64699
2020-05-09,2.27489
2020-05-10,1.69218
2020-05-11,16.69813
2020-05-12,17.94047
2020-05-13,17.39738
2020-05-14,19.93566
2020-05-15,16.61655
2020-05-16,2.17001
2020-05-17,1.74113
2020-05-18,16.73542
2020-05-19,16.36016
2020-05-20,19.73055
2020-05-21,15.59797
2020-05-22,16.13406
2020-05-23,2.06279
2020-05-24,1.58497
2020-05-25,14.57473
2020-05-26,14.32533
2020-05-27,15.86835
2020-05-28,15.70985
2020-05-29,14.94068
2020-05-30,2.77602
2020-05-31,2.54993
2020-06-01,16.6958
2020-06-02,20.60461
2020-06-03,21.93086
2020-06-04,19.68393
2020-06-05,15.38587
2020-06-06,2.03482
2020-06-07,1.62692
2020-06-08,15.1388
2020-06-09,17.18061
2020-06-10,17.1876
2020-06-11,39.84802
2020-06-12,38.14418
2020-06-13,6.38416
2020-06-14,4.93205
2020-06-15,29.66459
2020-06-16,25.02855
2020-06-17,21.12672
2020-06-18,25.17539
2020-06-19,77.21138
2020-06-20,9.48185
2020-06-21,7.16033
2020-06-22,41.44232
2020-06-23,34.24236
2020-06-24,31.3661
2020-06-25,26.0681
2020-06-26,21.51131
2020-06-27,3.71302
2020-06-28,3.55452
2020-06-29,23.43192
2020-06-30,22.08703
2020-07-01,21.38312
2020-07-02,19.12919
2020-07-03,19.66296
2020-07-04,2.88557
2020-07-05,3.78528
2020-07-06,20.54867
2020-07-07,17.18994
2020-07-08,21.76304
2020-07-09,18.98468
2020-07-10,19.07791
2020-07-11,4.56145
2020-07-12,5.69657
2020-07-13,35.99748
2020-07-14,29.45947
2020-07-15,24.31764
2020-07-16,22.03808
2020-07-17,19.62799
2020-07-18,3.01843
2020-07-19,2.7364
2020-07-20,22.25951
2020-07-21,25.00291
2020-07-22,28.4642
2020-07-23,36.0068
2020-07-24,35.20033
2020-07-25,6.42612
2020-07-26,7.8153
2020-07-27,49.55597
2020-07-28,68.48239
2020-07-29,53.54171
2020-07-30,43.04827
2020-07-31,39.0602
2020-08-01,5.62897
2020-08-02,5.13017
2020-08-03,45.63783
2020-08-04,42.44458
2020-08-05,38.35862
2020-08-06,34.39386
2020-08-07,33.69461
