date,대만환율
2020-03-20,16.87301
2020-03-21,8.74981
2020-03-22,7.39845
2020-03-23,14.69877
2020-03-24,12.19235
2020-03-25,12.61512
2020-03-26,11.74694
2020-03-27,11.88283
2020-03-28,6.97569
2020-03-29,6.61331
2020-03-30,10.75041
2020-03-31,9.38396
2020-04-01,10.31254
2020-04-02,8.62147
2020-04-03,8.24399
2020-04-04,7.37581
2020-04-05,5.60924
2020-04-06,8.8555
2020-04-07,8.8706
2020-04-08,7.35316
2020-04-09,7.96466
2020-04-10,7.4211
2020-04-11,4.92224
2020-04-12,5.67718
2020-04-13,7.88162
2020-04-14,7.73063
2020-04-15,6.25094
2020-04-16,7.74573
2020-04-17,7.33051
2020-04-18,5.11852
2020-04-19,4.7184
2020-04-20,7.34561
2020-04-21,8.55352
2020-04-22,7.25502
2020-04-23,7.22482
2020-04-24,8.66676
2020-04-25,5.11852
2020-04-26,6.46987
2020-04-27,8.49313
2020-04-28,8.50822
2020-04-29,7.57964
2020-04-30,5.66208
2020-05-01,4.90714
2020-05-02,4.7335
2020-05-03,4.6882
2020-05-04,7.42865
2020-05-05,6.59066
2020-05-06,7.87407
2020-05-07,7.13422
2020-05-08,7.05118
2020-05-09,4.61271
2020-05-10,4.44662
2020-05-11,6.95304
2020-05-12,7.01343
2020-05-13,6.67371
2020-05-14,6.7794
2020-05-15,7.11158
2020-05-16,4.53721
2020-05-17,5.14117
2020-05-18,8.34969
2020-05-19,8.30439
2020-05-20,7.75328
2020-05-21,7.09648
2020-05-22,6.50762
2020-05-23,4.78635
2020-05-24,4.86939
2020-05-25,8.00241
2020-05-26,8.40253
2020-05-27,7.51925
2020-05-28,6.74165
2020-05-29,7.05118
2020-05-30,4.99773
2020-05-31,4.15219
2020-06-01,7.70798
2020-06-02,7.17952
2020-06-03,7.35316
2020-06-04,7.54944
2020-06-05,7.41355
2020-06-06,4.28808
2020-06-07,4.658
2020-06-08,9.33866
2020-06-09,7.20217
2020-06-10,7.72308
2020-06-11,7.28521
2020-06-12,6.98324
2020-06-13,7.12667
2020-06-14,5.72248
2020-06-15,7.85897
2020-06-16,7.35316
2020-06-17,7.37581
2020-06-18,6.719
2020-06-19,7.66269
2020-06-20,4.61271
2020-06-21,4.6882
2020-06-22,6.96814
2020-06-23,6.06975
2020-06-24,6.50007
2020-06-25,6.01691
2020-06-26,5.74513
2020-06-27,5.96406
2020-06-28,4.80144
2020-06-29,7.41355
2020-06-30,6.68881
2020-07-01,6.85489
2020-07-02,6.8096
2020-07-03,6.40948
2020-07-04,4.55986
