date,HMM주가
2020-03-30,0.00645
2020-03-31,0.00403
2020-04-01,0.01855
2020-04-06,0.00726
2020-04-07,0.00403
2020-04-09,0.00403
2020-04-14,0.06858
2020-04-15,0.01694
2020-04-16,0.13152
2020-04-17,0.14443
2020-04-18,0.03308
2020-04-19,0.01855
2020-04-20,0.16945
2020-04-21,0.14685
2020-04-22,0.12749
2020-04-23,0.23642
2020-04-24,0.33164
2020-04-25,0.03953
2020-04-26,0.03146
2020-04-27,0.18155
2020-04-28,0.1993
2020-04-29,0.15412
2020-04-30,0.08876
2020-05-01,0.14363
2020-05-02,0.05809
2020-05-03,0.17187
2020-05-04,0.34939
2020-05-05,0.1638
2020-05-06,0.33486
2020-05-07,0.45429
2020-05-08,0.49383
2020-05-09,0.16299
2020-05-10,0.32195
2020-05-11,0.78189
2020-05-12,0.63019
2020-05-13,0.58339
2020-05-14,0.55999
2020-05-15,0.64714
2020-05-16,0.22028
2020-05-17,0.16622
2020-05-18,0.64391
2020-05-19,0.7359
2020-05-20,0.63504
2020-05-21,0.72057
2020-05-22,1.31284
2020-05-23,0.19446
2020-05-24,0.22432
2020-05-25,1.36207
2020-05-26,2.19964
2020-05-27,2.80079
2020-05-28,2.28195
2020-05-29,1.74212
2020-05-30,0.33083
2020-05-31,0.35584
2020-06-01,2.03422
2020-06-02,1.86074
2020-06-03,1.99549
2020-06-04,3.10984
2020-06-05,2.55872
2020-06-06,0.4672
2020-06-07,0.40345
2020-06-08,2.31745
2020-06-09,2.15607
2020-06-10,2.02373
2020-06-11,2.43687
2020-06-12,2.29405
2020-06-13,0.33728
2020-06-14,0.29452
2020-06-15,2.16817
2020-06-16,2.15123
2020-06-17,1.89382
2020-06-18,1.77036
2020-06-19,1.70984
2020-06-20,0.26466
2020-06-21,0.22432
2020-06-22,1.7865
2020-06-23,1.70823
2020-06-24,1.78812
2020-06-25,1.60737
2020-06-26,1.93659
2020-06-27,0.31066
2020-06-28,0.2808
2020-06-29,2.08264
2020-06-30,1.88737
2020-07-01,1.83734
2020-07-02,1.99146
2020-07-03,2.15768
2020-07-04,0.30178
2020-07-05,0.21302
2020-07-06,2.02696
2020-07-07,1.95353
2020-07-08,1.70742
2020-07-09,1.62915
2020-07-10,1.38789
2020-07-11,0.17429
2020-07-12,0.18478
2020-07-13,1.7042
2020-07-14,1.86397
2020-07-15,1.8793
2020-07-16,1.79538
2020-07-17,1.6461
2020-07-18,0.2461
2020-07-19,0.21705
