date,하이브주가
2021-02-11,0.00677
2021-03-10,0.0145
2021-03-11,0.04255
2021-03-12,0.02224
2021-03-15,0.0087
2021-03-17,0.00483
2021-03-19,0.07253
2021-03-20,0.05802
2021-03-21,0.02998
2021-03-22,0.04835
2021-03-23,0.02611
2021-03-24,0.02417
2021-03-25,0.0145
2021-03-26,0.02321
2021-03-27,0.01837
2021-03-28,0.05899
2021-03-29,0.08607
2021-03-30,0.05899
2021-03-31,0.02127
2021-04-01,0.03191
2021-04-02,0.94975
2021-04-03,2.41404
2021-04-04,0.59964
2021-04-05,0.72924
2021-04-06,1.16543
2021-04-07,0.78727
2021-04-08,0.41878
2021-04-09,0.28337
2021-04-10,0.20987
2021-04-11,0.24662
2021-04-12,0.25726
2021-04-13,0.37429
2021-04-14,6.51675
2021-04-15,7.0071
2021-04-16,4.19169
2021-04-17,1.10353
2021-04-18,0.76406
2021-04-19,3.93249
2021-04-20,3.3077
2021-04-21,3.48179
2021-04-22,4.47507
2021-04-23,4.44025
2021-04-24,0.94201
2021-04-25,0.90623
2021-04-26,3.7671
2021-04-27,3.80869
2021-04-28,4.40156
2021-04-29,3.74969
2021-04-30,3.5079
2021-05-01,0.89752
2021-05-02,0.80177
2021-05-03,4.0292
2021-05-04,3.81062
2021-05-05,1.17607
2021-05-06,5.27588
2021-05-07,4.47797
2021-05-08,1.16543
2021-05-09,1.20895
2021-05-10,6.55447
2021-05-11,5.60858
2021-05-12,7.11929
2021-05-13,5.42772
2021-05-14,4.52536
2021-05-15,0.8511
2021-05-16,0.78243
2021-05-17,4.29711
2021-05-18,6.24594
2021-05-19,1.62677
2021-05-20,6.69278
2021-05-21,7.9704
2021-05-22,1.74379
2021-05-23,1.64031
2021-05-24,9.85347
2021-05-25,7.55935
2021-05-26,6.0941
2021-05-27,6.43841
2021-05-28,6.92103
2021-05-29,1.60452
2021-05-30,1.33275
2021-05-31,7.07674
2021-06-01,6.18985
2021-06-02,6.97035
2021-06-03,7.89303
2021-06-04,6.27109
2021-06-05,1.30663
2021-06-06,1.21959
2021-06-07,5.43449
2021-06-08,5.29812
2021-06-09,4.88514
2021-06-10,8.93273
2021-06-11,7.4607
2021-06-12,2.13936
2021-06-13,1.97688
2021-06-14,8.99463
2021-06-15,12.62053
2021-06-16,13.13022
