date,비트코인채굴방법
2020-03-20,0.49291
2020-03-21,0.38214
2020-03-22,0.33229
2020-03-23,1.97164
2020-03-24,2.30948
2020-03-25,1.42888
2020-03-26,1.29042
2020-03-27,0.98582
2020-03-28,0.86951
2020-03-29,0.99136
2020-03-30,1.03566
2020-03-31,1.00243
2020-04-01,1.02459
2020-04-02,1.03566
2020-04-03,0.8972
2020-04-04,0.8529
2020-04-05,0.7809
2020-04-06,0.99136
2020-04-07,1.07997
2020-04-08,0.80859
2020-04-09,0.84182
2020-04-10,0.88059
2020-04-11,0.71998
2020-04-12,0.78644
2020-04-13,0.84736
2020-04-14,0.68121
2020-04-15,0.60367
2020-04-16,0.73105
2020-04-17,0.72552
2020-04-18,0.75321
2020-04-19,0.72552
2020-04-20,0.65906
2020-04-21,0.7089
2020-04-22,0.71998
2020-04-23,0.72552
2020-04-24,0.79198
2020-04-25,0.68121
2020-04-26,0.75875
2020-04-27,0.77536
2020-04-28,0.7089
2020-04-29,0.79751
2020-04-30,2.44793
2020-05-01,1.24058
2020-05-02,0.72552
2020-05-03,0.7809
2020-05-04,0.51506
2020-05-05,0.80305
2020-05-06,0.80859
2020-05-07,0.87505
2020-05-08,0.99136
2020-05-09,0.83074
2020-05-10,0.75321
2020-05-11,0.94705
2020-05-12,1.05782
2020-05-13,0.81413
2020-05-14,0.59813
2020-05-15,0.39875
2020-05-16,0.61475
2020-05-17,0.46521
2020-05-18,0.52614
2020-05-19,0.52614
2020-05-20,0.38768
2020-05-21,0.42091
2020-05-22,0.34337
2020-05-23,0.31568
2020-05-24,0.48183
2020-05-25,0.58152
2020-05-26,1.06889
2020-05-27,1.19627
2020-05-28,1.31258
2020-05-29,1.32365
2020-05-30,1.00797
2020-05-31,1.11874
2020-06-01,1.16858
2020-06-02,0.95813
2020-06-03,1.11874
2020-06-04,0.76982
2020-06-05,0.80305
2020-06-06,0.70336
2020-06-07,0.9249
2020-06-08,0.76428
2020-06-09,0.57598
2020-06-10,0.5926
2020-06-11,0.48183
2020-06-12,0.35445
2020-06-13,0.29353
2020-06-14,0.21599
2020-06-15,0.32122
2020-06-16,0.42645
2020-06-17,0.35445
2020-06-18,0.5926
2020-06-19,0.80305
2020-06-20,0.27691
2020-06-21,0.27137
2020-06-22,0.21599
2020-06-23,0.28245
2020-06-24,0.2326
2020-06-25,0.23814
2020-06-26,0.31014
2020-06-27,0.2603
2020-06-28,0.24368
2020-06-29,0.34337
2020-06-30,0.2326
2020-07-01,0.22707
2020-07-02,0.21599
2020-07-03,0.28799
2020-07-04,0.28245
2020-07-05,0.20491
2020-07-06,0.20491
2020-07-07,0.27137
2020-07-08,0.28245
2020-07-09,0.27691
2020-07-10,0.2326
2020-07-11,0.21045
2020-07-12,0.2603
2020-07-13,0.2326
2020-07-14,0.24368
2020-07-15,0.27137
2020-07-16,0.31568
2020-07-17,0.21599
2020-07-18,0.27691
2020-07-19,0.26583
2020-07-20,0.34891
2020-07-21,0.31014
2020-07-22,0.31014
2020-07-23,0.31568
2020-07-24,0.14399
2020-07-25,0.12184
2020-07-26,0.18276
2020-07-27,0.3046
2020-07-28,0.38214
2020-07-29,0.3046
2020-07-30,0.31014
2020-07-31,0.22707
2020-08-01,0.27137
2020-08-02,0.27691
2020-08-03,0.23814
2020-08-04,0.28799
2020-08-05,0.32676
2020-08-06,0.34337
2020-08-07,0.4486
2020-08-08,0.29353
2020-08-09,0.37106
2020-08-10,0.39875
2020-08-11,0.32676
2020-08-12,0.42645
2020-08-13,0.31014
2020-08-14,0.33229
2020-08-15,0.27137
2020-08-16,0.22153
2020-08-17,0.31014
2020-08-18,0.40983
2020-08-19,0.4486
2020-08-20,0.32122
2020-08-21,0.29906
2020-08-22,0.25476
2020-08-23,0.35445
2020-08-24,0.36552
2020-08-25,0.40429
2020-08-26,0.31014
