date,기술특례상장
2020-03-20,33.33333
2020-03-21,12.0155
2020-03-22,23.64341
2020-03-23,24.4186
2020-03-24,24.4186
2020-03-25,25.96899
2020-03-26,25.19379
2020-03-27,33.72093
2020-03-28,36.04651
2020-03-29,18.21705
2020-03-30,21.70542
2020-03-31,17.44186
2020-04-01,32.55813
2020-04-02,23.64341
2020-04-03,13.56589
2020-04-04,6.97674
2020-04-05,15.11627
2020-04-06,15.50387
2020-04-07,17.82945
2020-04-08,16.27906
2020-04-09,20.93023
2020-04-10,22.86821
2020-04-11,14.72868
2020-04-12,14.34108
2020-04-13,23.25581
2020-04-14,12.4031
2020-04-15,14.34108
2020-04-16,18.60465
2020-04-17,19.76744
2020-04-18,12.0155
2020-04-19,9.30232
2020-04-20,19.37984
2020-04-21,19.37984
2020-04-22,24.4186
2020-04-23,23.25581
2020-04-24,18.60465
2020-04-25,10.85271
2020-04-26,6.97674
2020-04-27,23.25581
2020-04-28,26.35658
2020-04-29,22.86821
2020-04-30,10.07751
2020-05-01,3.10077
2020-05-02,3.48837
2020-05-03,9.30232
2020-05-04,13.56589
2020-05-05,10.07751
2020-05-06,24.8062
2020-05-07,21.70542
2020-05-08,10.46511
2020-05-09,9.68992
2020-05-10,12.4031
2020-05-11,25.58139
2020-05-12,15.50387
2020-05-13,19.76744
2020-05-14,18.21705
2020-05-15,21.70542
2020-05-16,15.50387
2020-05-17,20.15503
2020-05-18,24.031
2020-05-19,25.19379
2020-05-20,23.25581
2020-05-21,28.29457
2020-05-22,23.64341
2020-05-23,8.52713
2020-05-24,9.30232
2020-05-25,18.99224
2020-05-26,23.25581
2020-05-27,26.74418
2020-05-28,27.51937
2020-05-29,19.76744
2020-05-30,7.75193
2020-05-31,5.03875
2020-06-01,25.19379
2020-06-02,22.09302
2020-06-03,21.70542
2020-06-04,20.93023
2020-06-05,19.76744
2020-06-06,6.97674
2020-06-07,8.91472
2020-06-08,22.09302
2020-06-09,27.13178
2020-06-10,31.39534
2020-06-11,20.15503
2020-06-12,17.44186
2020-06-13,8.13953
2020-06-14,6.58914
2020-06-15,19.37984
2020-06-16,25.58139
