date,유류분반환청구소송
2020-11-07,5.05514
2020-11-08,5.05514
2020-11-09,7.44485
2020-11-10,6.80147
2020-11-11,5.14705
2020-11-12,5.23897
2020-11-13,7.35294
2020-11-14,5.88235
2020-11-15,6.34191
2020-11-16,10.29411
2020-11-17,10.9375
2020-11-18,8.73161
2020-11-19,6.80147
2020-11-20,7.72058
2020-11-21,4.77941
2020-11-22,6.25
2020-11-23,9.83455
2020-11-24,8.91544
2020-11-25,7.72058
2020-11-26,7.53676
2020-11-27,6.06617
2020-11-28,4.31985
2020-11-29,3.49264
2020-11-30,9.09926
2020-12-01,7.35294
2020-12-02,7.90441
2020-12-03,6.06617
2020-12-04,7.26102
2020-12-05,4.77941
2020-12-06,2.57352
2020-12-07,7.72058
2020-12-08,8.45588
2020-12-09,8.6397
2020-12-10,6.43382
2020-12-11,5.42279
2020-12-12,2.84926
2020-12-13,2.29779
2020-12-14,6.70955
2020-12-15,5.14705
2020-12-16,6.80147
2020-12-17,6.43382
2020-12-18,6.89338
2020-12-19,2.94117
2020-12-20,4.13602
2020-12-21,4.6875
2020-12-22,4.87132
2020-12-23,5.23897
2020-12-24,5.69852
2020-12-25,4.6875
2020-12-26,5.69852
2020-12-27,7.72058
2020-12-28,8.6397
2020-12-29,9.00735
2020-12-30,7.26102
2020-12-31,5.88235
2021-01-01,7.26102
2021-01-02,11.7647
2021-01-03,6.98529
2021-01-04,11.94852
2021-01-05,9.09926
2021-01-06,7.62867
2021-01-07,8.54779
2021-01-08,9.375
2021-01-09,6.15808
2021-01-10,4.13602
2021-01-11,10.2022
2021-01-12,9.65073
2021-01-13,12.13235
2021-01-14,8.82352
2021-01-15,12.22426
2021-01-16,7.62867
2021-01-17,4.59558
2021-01-18,12.40808
2021-01-19,14.61397
2021-01-20,12.13235
2021-01-21,11.48897
2021-01-22,10.29411
2021-01-23,7.44485
2021-01-24,9.09926
2021-01-25,9.46691
2021-01-26,14.8897
2021-01-27,13.05147
2021-01-28,14.61397
2021-01-29,16.63602
2021-01-30,12.68382
2021-01-31,12.77573
2021-02-01,17.92279
2021-02-02,14.33823
2021-02-03,20.12867
2021-02-04,19.5772
2021-02-05,15.625
2021-02-06,21.32352
2021-02-07,13.87867
2021-02-08,89.8897
2021-02-09,46.69117
2021-02-10,29.13602
2021-02-11,35.01838
2021-02-12,33.73161
2021-02-13,27.84926
2021-02-14,28.67647
2021-02-15,35.2022
2021-02-16,23.4375
2021-02-17,27.29779
2021-02-18,39.70588
2021-02-19,25.8272
2021-02-20,18.65808
2021-02-21,17.46323
2021-02-22,23.4375
2021-02-23,22.7022
2021-02-24,19.66911
2021-02-25,19.48529
2021-02-26,19.85294
2021-02-27,17.83088
2021-02-28,15.25735
2021-03-01,17.09558
2021-03-02,20.49632
2021-03-03,17.73897
2021-03-04,16.81985
2021-03-05,16.26838
2021-03-06,11.12132
2021-03-07,12.40808
2021-03-08,16.36029
2021-03-09,16.54411
2021-03-10,14.70588
2021-03-11,19.20955
2021-03-12,18.56617
2021-03-13,16.72794
2021-03-14,17.1875
2021-03-15,18.75
2021-03-16,19.30147
2021-03-17,20.03676
2021-03-18,22.15073
2021-03-19,18.47426
2021-03-20,14.70588
2021-03-21,15.90073
2021-03-22,21.69117
2021-03-23,19.20955
2021-03-24,16.72794
2021-03-25,16.54411
2021-03-26,16.91176
2021-03-27,14.70588
2021-03-28,17.27941
2021-03-29,19.94485
2021-03-30,22.79411
2021-03-31,17.1875
2021-04-01,20.86397
2021-04-02,15.44117
2021-04-03,15.07352
2021-04-04,16.81985
2021-04-05,23.34558
2021-04-06,20.49632
2021-04-07,19.02573
2021-04-08,16.08455
2021-04-09,16.72794
2021-04-10,12.77573
2021-04-11,20.77205
2021-04-12,20.68014
2021-04-13,16.81985
2021-04-14,23.52941
2021-04-15,20.86397
2021-04-16,11.39705
2021-04-17,11.48897
2021-04-18,11.12132
2021-04-19,17.92279
2021-04-20,20.3125
2021-04-21,19.66911
2021-04-22,21.23161
2021-04-23,24.54044
2021-04-24,15.80882
2021-04-25,14.24632
2021-04-26,27.57352
2021-04-27,23.06985
2021-04-28,28.49264
2021-04-29,25.8272
2021-04-30,23.71323
2021-05-01,15.71691
2021-05-02,16.54411
2021-05-03,21.69117
2021-05-04,26.28676
2021-05-05,16.17647
2021-05-06,23.06985
2021-05-07,22.97794
2021-05-08,15.44117
2021-05-09,16.26838
2021-05-10,31.06617
2021-05-11,26.47058
2021-05-12,22.79411
2021-05-13,27.11397
2021-05-14,19.02573
2021-05-15,16.54411
2021-05-16,14.8897
2021-05-17,21.04779
2021-05-18,19.39338
2021-05-19,13.14338
2021-05-20,19.11764
