date,65세이상혜택
2020-03-20,29.64102
2020-03-21,28.82051
2020-03-22,29.94871
2020-03-23,30.46153
2020-03-24,36.20512
2020-03-25,29.43589
2020-03-26,34.35897
2020-03-27,28.82051
2020-03-28,25.43589
2020-03-29,29.23076
2020-03-30,46.05128
2020-03-31,39.17948
2020-04-01,35.79487
2020-04-02,31.07692
2020-04-03,33.74358
2020-04-04,25.94871
2020-04-05,26.76923
2020-04-06,27.17948
2020-04-07,23.17948
2020-04-08,30.15384
2020-04-09,26.05128
2020-04-10,25.84615
2020-04-11,22.25641
2020-04-12,23.17948
2020-04-13,28.20512
2020-04-14,25.84615
2020-04-15,19.6923
2020-04-16,28.30769
2020-04-17,37.33333
2020-04-18,27.6923
2020-04-19,31.28205
2020-04-20,30.97435
2020-04-21,37.33333
2020-04-22,38.5641
2020-04-23,39.6923
2020-04-24,38.87179
2020-04-25,30.76923
2020-04-26,38.05128
2020-04-27,34.97435
2020-04-28,34.15384
2020-04-29,31.38461
2020-04-30,38.35897
2020-05-01,36.82051
2020-05-02,30.25641
2020-05-03,34.87179
2020-05-04,40.82051
2020-05-05,37.23076
2020-05-06,38.35897
2020-05-07,50.76923
2020-05-08,40.41025
2020-05-09,33.23076
2020-05-10,30.15384
2020-05-11,35.58974
2020-05-12,28.51282
2020-05-13,30.66666
2020-05-14,22.97435
2020-05-15,19.58974
2020-05-16,17.84615
2020-05-17,19.07692
2020-05-18,23.07692
2020-05-19,32.10256
2020-05-20,24.20512
2020-05-21,24.82051
2020-05-22,22.5641
2020-05-23,18.66666
2020-05-24,18.46153
2020-05-25,33.02564
2020-05-26,29.43589
2020-05-27,23.89743
2020-05-28,22.87179
2020-05-29,21.43589
2020-05-30,19.48717
2020-05-31,19.28205
2020-06-01,29.02564
2020-06-02,26.05128
2020-06-03,29.53846
2020-06-04,23.17948
2020-06-05,21.33333
2020-06-06,3.6923
2020-06-07,2.46153
2020-06-08,6.46153
2020-06-09,6.87179
2020-06-10,8.10256
2020-06-11,13.43589
2020-06-12,13.02564
2020-06-13,10.15384
2020-06-14,9.33333
2020-06-15,10.97435
2020-06-16,9.94871
2020-06-17,12.61538
2020-06-18,15.6923
2020-06-19,20.51282
2020-06-20,18.15384
2020-06-21,24.10256
2020-06-22,28.30769
2020-06-23,22.15384
2020-06-24,24.41025
2020-06-25,25.33333
2020-06-26,28.0
2020-06-27,23.48717
2020-06-28,21.33333
2020-06-29,25.1282
2020-06-30,26.5641
2020-07-01,18.97435
2020-07-02,9.33333
2020-07-03,3.6923
2020-07-04,2.25641
2020-07-05,3.38461
2020-07-06,3.6923
2020-07-07,1.84615
2020-07-08,2.97435
2020-07-09,1.94871
2020-07-10,2.35897
2020-07-11,1.94871
2020-07-12,1.02564
2020-07-13,1.43589
2020-07-14,2.46153
2020-07-15,0.92307
