date,소득세
2020-03-20,11.29316
2020-03-21,3.7373
2020-03-22,3.37846
2020-03-23,7.2241
2020-03-24,10.6635
2020-03-25,15.9851
2020-03-26,9.35003
2020-03-27,7.56939
2020-03-28,3.59512
2020-03-29,3.71022
2020-03-30,12.64725
2020-03-31,11.50981
2020-04-01,8.38862
2020-04-02,7.23764
2020-04-03,11.66553
2020-04-04,4.70548
2020-04-05,3.73053
2020-04-06,8.48341
2020-04-07,7.97562
2020-04-08,8.11103
2020-04-09,8.51049
2020-04-10,13.01963
2020-04-11,4.10291
2020-04-12,3.48002
2020-04-13,7.81313
2020-04-14,7.72511
2020-04-15,4.05551
2020-04-16,8.07041
2020-04-17,7.69126
2020-04-18,3.37169
2020-04-19,3.64251
2020-04-20,8.84224
2020-04-21,9.68855
2020-04-22,7.63033
2020-04-23,9.1266
2020-04-24,14.77995
2020-04-25,4.04197
2020-04-26,3.94041
2020-04-27,8.25998
2020-04-28,9.41096
2020-04-29,10.11509
2020-04-30,4.3805
2020-05-01,6.61475
2020-05-02,4.17738
2020-05-03,4.55653
2020-05-04,10.06093
2020-05-05,5.26743
2020-05-06,9.94583
2020-05-07,10.00677
2020-05-08,11.94312
2020-05-09,4.82058
2020-05-10,4.20446
2020-05-11,10.92755
2020-05-12,10.35206
2020-05-13,9.00473
2020-05-14,9.32295
2020-05-15,9.51929
2020-05-16,4.31279
2020-05-17,3.9201
2020-05-18,8.761
2020-05-19,9.00473
2020-05-20,10.10832
2020-05-21,10.55517
2020-05-22,8.12457
2020-05-23,3.9675
2020-05-24,4.17738
2020-05-25,15.79553
2020-05-26,9.75626
2020-05-27,8.51049
2020-05-28,8.78131
2020-05-29,8.67298
2020-05-30,4.24509
2020-05-31,3.96073
2020-06-01,7.42044
2020-06-02,6.43195
2020-06-03,5.80907
2020-06-04,5.34867
2020-06-05,7.36628
2020-06-06,3.37169
2020-06-07,2.97901
2020-06-08,5.70751
2020-06-09,6.4658
2020-06-10,10.15572
2020-06-11,6.1002
2020-06-12,4.9763
2020-06-13,2.5457
2020-06-14,3.04671
2020-06-15,7.6371
2020-06-16,5.83615
2020-06-17,5.73459
2020-06-18,5.81584
2020-06-19,6.96005
2020-06-20,2.80974
2020-06-21,3.04671
2020-06-22,5.63981
2020-06-23,6.48612
